alderman,n_rezonings,n_downzones_lt0,n_downzones_le0_1,n_upzones_gt0,n_upzones_ge0_1,mean_far_change,n_total_t0,n_down_t0,n_up_t0,raw_down_share_t0,eb_down_share_t0,raw_far_down_share_t0,eb_far_down_share_t0,eb_net_restrictive_t0,comp_adj_down_t0,n_total_t01,n_down_t01,n_up_t01,raw_down_share_t01,eb_down_share_t01,raw_far_down_share_t01,eb_far_down_share_t01,eb_net_restrictive_t01,comp_adj_down_t01,imputed_zero_rezonings
Emma Mitts,43,2,2,34,34,0.5802325581395349,43,2,34,0.046511627906976744,0.052289913321499425,0.06908462867012087,0.09947374903501977,0.14410643378416405,0.3245338767200802,43,2,34,0.046511627906976744,0.052289913321499425,0.06908462867012087,0.09947374903501977,0.14410643378416405,0.3245338767200802,0
Eugene Schulter,2,1,1,0,0,-1.05,2,1,0,0.5,0.24605684179086154,1,0.3314916027870398,0.43768914046906837,0.4797388347012869,2,1,0,0.5,0.24605684179086154,1,0.3314916027870398,0.43768914046906837,0.4797388347012869,0
Felix Cardona Jr.,33,0,0,12,12,0.3303030303030303,33,0,12,0,0.002868750462655273,0,0.049069012169412084,0.29715580940531194,0.2083286776459516,33,0,12,0,0.002868750462655273,0,0.049069012169412084,0.29715580940531194,0.2083286776459516,0
Frank Olivo,0,NA,NA,NA,NA,NA,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,1
Fredrenna Lyle,1,0,0,1,1,0.7999999999999998,1,0,1,0,0.13457546504844933,0,0.21305308173946885,0.2305345855826223,0.08421870728827698,1,0,1,0,0.13457546504844933,0,0.21305308173946885,0.2305345855826223,0.08421870728827698,0
George Cardenas,85,11,11,59,59,0.5252941176470588,85,11,59,0.12941176470588237,0.13151127231018547,0.18928322894919994,0.1965860652567704,0.2235282618527053,0.33448238835142596,85,11,59,0.12941176470588237,0.13151127231018547,0.18928322894919994,0.1965860652567704,0.2235282618527053,0.33448238835142596,0
Gilbert Villegas,70,5,5,47,47,0.4785714285714286,70,5,47,0.07142857142857142,0.07527360129836742,0.12359550561797747,0.14235975800976336,0.2066687371380188,0.278860899535109,70,5,47,0.07142857142857142,0.07527360129836742,0.12359550561797747,0.14235975800976336,0.2066687371380188,0.278860899535109,0
Gregory Mitchell,8,0,0,5,5,0.36874999999999997,8,0,5,0,0.03233627674253385,0,0.16310779864059732,0.21449965372189933,0.27477944583574,8,0,5,0,0.03233627674253385,0,0.16310779864059732,0.21449965372189933,0.27477944583574,0
Harry Osterman,23,5,5,8,8,0.26086956521739124,23,5,8,0.21739130434782608,0.20663077104522115,0.3695652173913044,0.29035865217461565,0.3983463748909283,0.40714080989702706,23,5,8,0.21739130434782608,0.20663077104522115,0.3695652173913044,0.29035865217461565,0.3983463748909283,0.40714080989702706,0
Helen Shiller,4,1,1,1,1,0.2500000000000001,4,1,1,0.25,0.19992431920096435,0.30769230769230765,0.24355765719860345,0.37305684638310005,0.3746555293910985,4,1,1,0.25,0.19992431920096435,0.30769230769230765,0.24355765719860345,0.37305684638310005,0.3746555293910985,0
Howard Brookins,35,3,3,17,17,0.3571428571428571,35,3,17,0.08571428571428572,0.09326409021368438,0.1565934065934066,0.18704840961746722,0.2937716340827329,0.26230843181444286,35,3,17,0.08571428571428572,0.09326409021368438,0.1565934065934066,0.18704840961746722,0.2937716340827329,0.26230843181444286,0
Isaac Carothers,0,NA,NA,NA,NA,NA,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,1
James Balcer,60,26,26,26,26,-0.15250000000000016,60,26,26,0.43333333333333335,0.3966657439922615,0.5872259294566257,0.5046537314055413,0.47183157497400813,0.7588439134910551,60,26,26,0.43333333333333335,0.3966657439922615,0.5872259294566257,0.5046537314055413,0.47183157497400813,0.7588439134910551,0
James Cappleman,41,1,1,35,35,1.4585365853658536,41,1,35,0.024390243902439025,0.029046773939435878,0.04281345565749236,0.05923255354405768,0.10206339120496499,0.09870272680289052,41,1,35,0.024390243902439025,0.029046773939435878,0.04281345565749236,0.05923255354405768,0.10206339120496499,0.09870272680289052,0
Jason Ervin,88,31,31,35,35,0.11420454545454534,88,31,35,0.3522727272727273,0.33523057557977853,0.4316791298436442,0.39320712492221327,0.4602206770776107,0.5322874716483234,88,31,35,0.3522727272727273,0.33523057557977853,0.4316791298436442,0.39320712492221327,0.4602206770776107,0.5322874716483234,0
Jeanette Taylor,10,0,0,7,7,0.705,10,0,7,0,0.02330979268631245,0,0.09507018034831988,0.18696814022006036,0.2272186158640326,10,0,7,0,0.02330979268631245,0,0.09507018034831988,0.18696814022006036,0.2272186158640326,0
Jesse Granato,1,1,1,0,0,-1.8,1,1,0,1,0.3442282461906301,1,0.3248085058227784,0.4450855006265614,0.712564826633729,1,1,0,1,0.3442282461906301,1,0.3248085058227784,0.4450855006265614,0.712564826633729,0
Jessie Fuentes,27,0,0,22,22,0.7925925925925926,27,0,22,0,0.004183305130754952,0,0.01631198928009529,0.11521979473531141,0.23275150085436364,27,0,22,0,0.004183305130754952,0,0.01631198928009529,0.11521979473531141,0.23275150085436364,0
Jeylu Gutierrez,7,0,0,4,4,0.5785714285714286,7,0,4,0,0.038738983822857585,0,0.13895143901736004,0.23088564024129293,0.25037360140499915,7,0,4,0,0.038738983822857585,0,0.13895143901736004,0.23088564024129293,0.25037360140499915,0
Jim Gardiner,28,3,3,17,17,0.5571428571428572,28,3,17,0.10714285714285714,0.11524094862334398,0.13551401869158877,0.1651031973223549,0.2570805044978668,0.3142656424769273,28,3,17,0.10714285714285714,0.11524094862334398,0.13551401869158877,0.1651031973223549,0.2570805044978668,0.3142656424769273,0
JoAnn Thompson,19,5,5,6,6,0.19999999999999996,19,5,6,0.2631578947368421,0.2365791282609982,0.31372549019607837,0.2634266610733531,0.42132233027832966,0.42541975646632213,19,5,6,0.2631578947368421,0.2365791282609982,0.31372549019607837,0.2634266610733531,0.42132233027832966,0.42541975646632213,0
Joe Moore,35,5,5,18,18,0.4742857142857143,35,5,18,0.14285714285714285,0.14632029142078268,0.24062499999999998,0.23807384660162476,0.308991199200359,0.2989711110096575,35,5,18,0.14285714285714285,0.14632029142078268,0.24062499999999998,0.23807384660162476,0.308991199200359,0.2989711110096575,0
John Arena,40,5,5,22,22,0.43,40,5,22,0.125,0.12962999390685323,0.19718309859154928,0.20884338124257884,0.2868589182515915,0.29687697856360845,40,5,22,0.125,0.12962999390685323,0.19718309859154928,0.20884338124257884,0.2868589182515915,0.29687697856360845,0
John J. Buchanan,0,NA,NA,NA,NA,NA,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,1
John O. Steele,0,NA,NA,NA,NA,NA,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,1
John Pope,10,1,1,6,6,0.295,10,1,6,0.1,0.12114880419568447,0.08450704225352111,0.16812293118066698,0.2647315372084117,0.3519482718508312,10,1,6,0.1,0.12114880419568447,0.08450704225352111,0.16812293118066698,0.2647315372084117,0.3519482718508312,0
John Rice,2,0,0,1,1,0.14999999999999994,2,0,1,0,0.1107713544531586,0,0.2160000806878091,0.2743462394099839,0.29193281301148294,2,0,1,0,0.1107713544531586,0,0.2160000806878091,0.2743462394099839,0.29193281301148294,0
Julia Ramirez,7,0,0,5,5,0.3714285714285714,7,0,5,0,0.038738983822857585,0,0.14324917912888743,0.1956797900717394,0.2583025447405957,7,0,5,0,0.038738983822857585,0,0.14324917912888743,0.1956797900717394,0.2583025447405957,0
Lamont Robinson,9,1,1,7,7,0.8555555555555556,9,1,7,0.1111111111111111,0.1311629448368581,0.10309278350515465,0.1642222370795306,0.2174419309719134,0.2857410638879815,9,1,7,0.1111111111111111,0.1311629448368581,0.10309278350515465,0.1642222370795306,0.2174419309719134,0.2857410638879815,0
Latasha Thomas,21,4,4,9,9,0.2571428571428571,21,4,9,0.19047619047619047,0.18584535714840553,0.32692307692307687,0.273937153980501,0.3558709944986345,0.3635655773935279,21,4,9,0.19047619047619047,0.18584535714840553,0.32692307692307687,0.273937153980501,0.3558709944986345,0.3635655773935279,0
Leni Manaa-Hoppenworth,10,0,0,7,7,1.5,10,0,7,0,0.02330979268631245,0,0.05335114168200838,0.18696814022006036,0.10022206371472825,10,0,7,0,0.02330979268631245,0,0.05335114168200838,0.18696814022006036,0.10022206371472825,0
Leonard DeVille,0,NA,NA,NA,NA,NA,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,1
Leslie Hairston,31,13,13,14,14,-0.15645161290322587,31,13,14,0.41935483870967744,0.36092434863381934,0.5799011532125207,0.4425201149335518,0.4398838573310341,0.6081062366039047,31,13,14,0.41935483870967744,0.36092434863381934,0.5799011532125207,0.4425201149335518,0.4398838573310341,0.6081062366039047,0
Lona Lane,11,0,0,4,4,0.29090909090909095,11,0,4,0,0.020094628637709982,0,0.15870814788510493,0.28181985644294616,0.22427233349762238,11,0,4,0,0.020094628637709982,0,0.15870814788510493,0.28181985644294616,0.22427233349762238,0
Lorraine Dixon,0,NA,NA,NA,NA,NA,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,1
Madeline Haithcock,2,1,1,1,1,0.25,2,1,1,0.5,0.24605684179086154,0.33333333333333337,0.2468053467400375,0.3419889830788354,0.51611483440625,2,1,1,0.5,0.24605684179086154,0.33333333333333337,0.2468053467400375,0.3419889830788354,0.51611483440625,0
Manuel Flores,10,2,2,7,7,1.02,10,2,7,0.2,0.18837760665968892,0.21348314606741572,0.22838330001153367,0.2695020472067486,0.37029883920688494,10,2,7,0.2,0.18837760665968892,0.21348314606741572,0.22838330001153367,0.2695020472067486,0.37029883920688494,0
Margaret Laurino,38,5,5,19,19,0.438157894736842,38,5,19,0.13157894736842105,0.1358752994465733,0.15811088295687883,0.18154495952527705,0.30994493335204915,0.36334684559662167,38,5,19,0.13157894736842105,0.1358752994465733,0.15811088295687883,0.18154495952527705,0.30994493335204915,0.36334684559662167,0
Maria Hadden,21,0,0,14,14,0.9357142857142856,21,0,14,0,0.006642814571359991,0,0.026437182696377928,0.18185058464173143,0.07532667439723162,21,0,14,0,0.006642814571359991,0,0.026437182696377928,0.18185058464173143,0.07532667439723162,0
Marty Quinn,39,23,23,9,9,-0.1384615384615384,39,23,9,0.5897435897435898,0.5075704594607243,0.6578947368421051,0.5376071428129742,0.6126784807360109,0.6495429800057826,39,23,9,0.5897435897435898,0.5075704594607243,0.6578947368421051,0.5376071428129742,0.6126784807360109,0.6495429800057826,0
Mary Ann Smith,3,2,2,1,1,-0.4333333333333333,3,2,1,0.6666666666666666,0.31818062633656263,0.5730337078651686,0.2898500106261291,0.40676541912754627,0.722091385441108,3,2,1,0.6666666666666666,0.31818062633656263,0.5730337078651686,0.2898500106261291,0.40676541912754627,0.722091385441108,0
Mary O'Connor,11,2,2,5,5,0.19090909090909092,11,2,5,0.18181818181818182,0.17770899887383937,0.25581395348837205,0.24208515389951596,0.3336204703748942,0.3220115673253246,11,2,5,0.18181818181818182,0.17770899887383937,0.25581395348837205,0.24208515389951596,0.3336204703748942,0.3220115673253246,0
Matt Martin,85,3,3,54,54,0.6535294117647058,85,3,54,0.03529411764705882,0.037713947583366714,0.025619128949615735,0.03550352328565867,0.20369844836361994,0.1552439721851696,85,3,54,0.03529411764705882,0.037713947583366714,0.025619128949615735,0.03550352328565867,0.20369844836361994,0.1552439721851696,0
Matthew O'Shea,60,14,14,14,14,0.03333333333333335,60,14,14,0.23333333333333334,0.22660474283845672,0.45555555555555566,0.3747101714404073,0.47899268050949984,0.4306207807656243,60,14,14,0.23333333333333334,0.22660474283845672,0.45555555555555566,0.3747101714404073,0.47899268050949984,0.4306207807656243,0
Melvin Powell Sr.,0,NA,NA,NA,NA,NA,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,1
Michael Chandler,15,3,3,6,6,0.3133333333333333,15,3,6,0.2,0.19106862496346033,0.28037383177570097,0.2527949573869475,0.3624755271512956,0.31710329067143217,15,3,6,0.2,0.19106862496346033,0.28037383177570097,0.2527949573869475,0.3624755271512956,0.31710329067143217,0
Michael Rodriguez,24,5,5,8,8,0.05208333333333333,24,5,8,0.20833333333333334,0.2001008204245064,0.44855967078189296,0.3323788251072085,0.4018348623792021,0.33275336098922315,24,5,8,0.20833333333333334,0.2001008204245064,0.44855967078189296,0.3323788251072085,0.4018348623792021,0.33275336098922315,0
Michael Scott Jr.,40,23,23,9,9,-0.47000000000000014,40,23,9,0.575,0.4966820335392036,0.7701149425287357,0.6417496687737785,0.6106153517286714,0.8927970362079238,40,23,9,0.575,0.4966820335392036,0.7701149425287357,0.6417496687737785,0.6106153517286714,0.8927970362079238,0
Michael Wojcik,0,NA,NA,NA,NA,NA,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,1
Michael Zalewski,37,8,8,18,18,0.024324324324324353,37,8,18,0.21621621621621623,0.20908459679989405,0.4701986754966885,0.36785459067409587,0.35179364807357194,0.43237248589605726,37,8,18,0.21621621621621623,0.20908459679989405,0.4701986754966885,0.36785459067409587,0.35179364807357194,0.43237248589605726,0
Michele Smith,63,18,18,22,22,0.0888888888888889,63,18,22,0.2857142857142857,0.2725132632562105,0.44190871369294615,0.3730061643539507,0.4478132042343273,0.4665517047666351,63,18,22,0.2857142857142857,0.2725132632562105,0.44190871369294615,0.3730061643539507,0.4478132042343273,0.4665517047666351,0
Michelle A. Harris,40,15,15,16,16,-0.20750000000000013,40,15,16,0.375,0.33663621739688604,0.6482142857142856,0.5147891475605323,0.45177976712282963,0.6228276927147711,40,15,16,0.375,0.33663621739688604,0.6482142857142856,0.5147891475605323,0.45177976712282963,0.6228276927147711,0
Milagros Santiago,28,1,1,17,17,0.48035714285714287,28,1,17,0.03571428571428571,0.044282987690712684,0.04095563139931738,0.09586247985469076,0.22160152403155114,0.310344779055956,28,1,17,0.03571428571428571,0.044282987690712684,0.04095563139931738,0.09586247985469076,0.22160152403155114,0.310344779055956,0
Monique Scott,33,21,21,4,4,-0.1454545454545453,33,21,4,0.6363636363636364,0.5358480730888059,0.676470588235294,0.48589861342945573,0.6811643925182964,1,33,21,4,0.6363636363636364,0.5358480730888059,0.676470588235294,0.48589861342945573,0.6811643925182964,1,0
Natashia Holmes,1,1,1,0,0,-0.2999999999999999,1,1,0,1,0.3442282461906301,1,0.2929352868083225,0.4450855006265614,0.585383270675967,1,1,0,1,0.3442282461906301,1,0.2929352868083225,0.4450855006265614,0.585383270675967,0
Nicholas Sposato,59,3,3,44,44,0.7296610169491525,59,3,44,0.05084745762711865,0.05508787283175372,0.08081791626095429,0.10051093996620368,0.16352623366430735,0.21856364336167225,59,3,44,0.05084745762711865,0.05508787283175372,0.08081791626095429,0.10051093996620368,0.16352623366430735,0.21856364336167225,0
Nicole Lee,51,7,7,37,37,0.446078431372549,51,7,37,0.13725490196078433,0.14013183390743705,0.21526908635794745,0.22025387641765862,0.21651866782711537,0.38231419735327,51,7,37,0.13725490196078433,0.14013183390743705,0.21526908635794745,0.22025387641765862,0.21651866782711537,0.38231419735327,0
Pat Dowell,74,25,25,28,28,-0.01486486486486491,74,25,28,0.33783783783783783,0.3198429372021875,0.5101663585951947,0.43433916878394685,0.45990566605936267,0.586195031201683,74,25,28,0.33783783783783783,0.3198429372021875,0.5101663585951947,0.43433916878394685,0.45990566605936267,0.586195031201683,0
Patrick Daley Thompson,105,37,37,55,55,0.06809523809523801,105,37,55,0.3523809523809524,0.33784789410197025,0.4697418535759632,0.42999752099031513,0.4046461548346001,0.6218338813946335,105,37,55,0.3523809523809524,0.33784789410197025,0.4697418535759632,0.42999752099031513,0.4046461548346001,0.6218338813946335,0
