project_id,source_family,source_project_ids,source_addresses,component_pins,project_kind,construction_year,dwelling_units,building_sqft,land_sqft,allow_far,allow_dupac,far,dupac,class_values,external_multifamily,multifamily_source,source_row_ids,tax_year,evidence_ids,decision_references,decision_reason,geometry_source,geometry_evidence,x_3435,y_3435,location_resolved,zoning_group,zoning_year,zoning_source,zoning_note
residential_20041220390000,residential,residential_20041220390000,NA,20041220390000,single_pin_single_card,2013,1,2200,3078,TRUE,TRUE,0.7147498375568551,14.152046783625732,278,FALSE,selected_assessor_class_and_finished_home_count,2004122039000012022,2022,NA,NA,NA,historical_parcel_centroid,1316297,1174072.5927636994,1877182.956684983,TRUE,NA,NA,NA,NA
residential_20041220400000,residential,residential_20041220400000,NA,20041220400000,single_pin_single_card,2008,1,2160,3080,TRUE,TRUE,0.7012987012987013,14.142857142857142,278,FALSE,selected_assessor_class_and_finished_home_count,2004122040000012012,2012,NA,NA,NA,historical_parcel_centroid,1372281,1174097.582428214,1877183.621419177,TRUE,NA,NA,NA,NA
residential_20041230090000,residential,residential_20041230090000,NA,20041230090000,single_pin_single_card,2019,1,2558,2975,TRUE,TRUE,0.8598319327731092,14.642016806722689,278,FALSE,selected_assessor_class_and_finished_home_count,2004123009000012020,2020,NA,NA,NA,historical_parcel_centroid,1015826,1171781.3049056572,1876592.4003456302,TRUE,NA,NA,NA,NA
residential_20041230220000,residential,residential_20041230220000,NA,20041230220000,single_pin_single_card,2019,1,2558,3150,TRUE,TRUE,0.812063492063492,13.82857142857143,278,FALSE,selected_assessor_class_and_finished_home_count,2004123022000012020,2020,NA,NA,NA,historical_parcel_centroid,1015476,1171790.3640938755,1876405.4983394975,TRUE,NA,NA,NA,NA
residential_20041230380000,residential,residential_20041230380000,NA,20041230380000,single_pin_single_card,2020,1,2558,2820,TRUE,TRUE,0.9070921985815603,15.446808510638299,278,FALSE,selected_assessor_class_and_finished_home_count,2004123038000012022,2022,NA,NA,NA,same_property_later_exact_parcel_point,919423,1171781.2873898053,1876593.020120189,TRUE,NA,NA,NA,NA
residential_20041230390000,residential,residential_20041230390000,NA,20041230390000,single_pin_single_card,2020,1,2558,2820,TRUE,TRUE,0.9070921985815603,15.446808510638299,278,FALSE,selected_assessor_class_and_finished_home_count,2004123039000012022,2022,NA,NA,NA,same_property_later_exact_parcel_point,919428,1171781.9617282164,1876569.2792822046,TRUE,NA,NA,NA,NA
residential_20041230400000,residential,residential_20041230400000,NA,20041230400000,single_pin_single_card,2021,1,2558,2820,TRUE,TRUE,0.9070921985815603,15.446808510638299,278,FALSE,selected_assessor_class_and_finished_home_count,2004123040000012022,2022,NA,NA,NA,historical_parcel_centroid,1217738,1171782.6359318318,1876545.538920145,TRUE,NA,NA,NA,NA
residential_20041230410000,residential,residential_20041230410000,NA,20041230410000,single_pin_single_card,2021,1,2558,2820,TRUE,TRUE,0.9070921985815603,15.446808510638299,278,FALSE,selected_assessor_class_and_finished_home_count,2004123041000012022,2022,NA,NA,NA,historical_parcel_centroid,1217737,1171783.309702734,1876521.7984795985,TRUE,NA,NA,NA,NA
residential_20041230420000,residential,residential_20041230420000,NA,20041230420000,single_pin_single_card,2021,1,2558,2820,TRUE,TRUE,0.9070921985815603,15.446808510638299,278,FALSE,selected_assessor_class_and_finished_home_count,2004123042000012022,2022,NA,NA,NA,historical_parcel_centroid,1217736,1171783.9837027283,1876498.0579795993,TRUE,NA,NA,NA,NA
residential_20041230430000,residential,residential_20041230430000,NA,20041230430000,single_pin_single_card,2021,1,2558,2820,TRUE,TRUE,0.9070921985815603,15.446808510638299,278,FALSE,selected_assessor_class_and_finished_home_count,2004123043000012022,2022,NA,NA,NA,historical_parcel_centroid,1217735,1171784.6575600784,1876474.317594427,TRUE,NA,NA,NA,NA
