source_family,project_id,construction_year,allow_far,allow_dupac,location_resolved,construction_date,boundary_year,era,ward,neighbor_ward,ward_pair,distance_to_boundary_ft,within_1500ft,within_500ft
commercial,commercial_13302270030000,2011,TRUE,TRUE,TRUE,2011-06-15,2003,2003_2014,36,29,29_36,1503.9944602785913,FALSE,FALSE
commercial,commercial_13302270040000,2018,TRUE,TRUE,TRUE,2018-06-15,2015,2015_2023,36,29,29_36,226.86171537123244,TRUE,TRUE
commercial,commercial_13302270060000,2011,TRUE,TRUE,TRUE,2011-06-15,2003,2003_2014,36,29,29_36,1504.7095683147481,FALSE,FALSE
commercial,commercial_13302270090000,2011,TRUE,TRUE,TRUE,2011-06-15,2003,2003_2014,36,29,29_36,1504.5944041828393,FALSE,FALSE
commercial,commercial_13302270100000,2011,TRUE,TRUE,TRUE,2011-06-15,2003,2003_2014,36,29,29_36,1503.6544039132746,FALSE,FALSE
commercial,commercial_13303030300000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,36,29,29_36,4296.835377373701,FALSE,FALSE
commercial,commercial_13311040100000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,36,29,29_36,3278.3957202894235,FALSE,FALSE
commercial,commercial_13312050180000,2020,FALSE,FALSE,TRUE,2020-06-15,2015,2015_2023,29,36,29_36,656.8920684864682,TRUE,FALSE
commercial,commercial_13312050690000,2017,TRUE,TRUE,TRUE,2017-06-15,2015,2015_2023,29,36,29_36,376.99474688833743,TRUE,TRUE
commercial,commercial_13312140010000,2020,TRUE,TRUE,TRUE,2020-06-15,2015,2015_2023,29,36,29_36,419.61423448328577,TRUE,TRUE
commercial,commercial_13352360210000,2012,TRUE,TRUE,TRUE,2012-06-15,2003,2003_2014,35,26,26_35,566.7467729511732,TRUE,FALSE
commercial,commercial_13353030380000,2011,TRUE,TRUE,TRUE,2011-06-15,2003,2003_2014,26,30,26_30,647.4060473001275,TRUE,FALSE
commercial,commercial_13354020010000,2011,TRUE,TRUE,TRUE,2011-06-15,2003,2003_2014,35,26,26_35,94.68423124742333,TRUE,TRUE
commercial,commercial_13354150250000,2007,TRUE,TRUE,TRUE,2007-06-15,2003,2003_2014,26,35,26_35,784.4603289145433,TRUE,FALSE
commercial,commercial_13354230170000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,26,35,26_35,1373.1491487447888,TRUE,FALSE
commercial,commercial_13361030360000,2018,TRUE,TRUE,TRUE,2018-06-15,2015,2015_2023,1,32,1_32,454.17319208936,TRUE,TRUE
commercial,commercial_13361070300000,2022,TRUE,TRUE,TRUE,2022-06-15,2015,2015_2023,1,32,1_32,830.7492953121257,TRUE,FALSE
commercial,commercial_13361070340000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,35,1,1_35,316.63327269525814,TRUE,TRUE
commercial,commercial_13361070360000,2006,TRUE,TRUE,TRUE,2006-06-15,2003,2003_2014,35,1,1_35,193.5745822790566,TRUE,TRUE
commercial,commercial_13361150430000,2015,TRUE,TRUE,TRUE,2015-06-15,2015,2015_2023,32,1,1_32,95.888961015374,TRUE,TRUE
commercial,commercial_13361150670000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,35,26,26_35,761.2396968511447,TRUE,FALSE
commercial,commercial_13361250140000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,35,1,1_35,88.54169786107126,TRUE,TRUE
commercial,commercial_13362040010000,2018,TRUE,TRUE,TRUE,2018-06-15,2015,2015_2023,1,32,1_32,299.4468858140147,TRUE,TRUE
commercial,commercial_13362100010000_north,2017,TRUE,TRUE,TRUE,2017-06-15,2015,2015_2023,1,32,1_32,1022.6607141692156,TRUE,FALSE
commercial,commercial_13362100140000_south,2017,TRUE,TRUE,TRUE,2017-06-15,2015,2015_2023,1,32,1_32,1148.235962735339,TRUE,FALSE
commercial,commercial_13362150350000,2015,TRUE,TRUE,TRUE,2015-06-15,2015,2015_2023,1,32,1_32,1488.6651776361969,TRUE,FALSE
commercial,commercial_13362240070000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,1,32,1_32,343.5596316555837,TRUE,TRUE
commercial,commercial_13362250430000,2018,TRUE,TRUE,TRUE,2018-06-15,2015,2015_2023,1,32,1_32,555.464363337599,TRUE,FALSE
commercial,commercial_13362290490000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,1,32,1_32,1331.123150400371,TRUE,FALSE
commercial,commercial_13362300400000,2007,TRUE,TRUE,TRUE,2007-06-15,2003,2003_2014,1,32,1_32,533.7350641440004,TRUE,FALSE
commercial,commercial_13363050010000,2017,TRUE,TRUE,TRUE,2017-06-15,2015,2015_2023,1,32,1_32,546.2390116398298,TRUE,FALSE
commercial,commercial_13363150240000,2017,TRUE,TRUE,TRUE,2017-06-15,2015,2015_2023,1,26,1_26,1293.9187712728465,TRUE,FALSE
commercial,commercial_13363160220000,2011,TRUE,TRUE,TRUE,2011-06-15,2003,2003_2014,26,35,26_35,1132.380558682444,TRUE,FALSE
commercial,commercial_13363200350000,2007,TRUE,TRUE,TRUE,2007-06-15,2003,2003_2014,35,26,26_35,294.8044099185072,TRUE,TRUE
commercial,commercial_13363280310000,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,1,26,1_26,137.85764636171606,TRUE,TRUE
commercial,commercial_13364000330000,2011,TRUE,TRUE,TRUE,2011-06-15,2003,2003_2014,1,35,1_35,96.89827973646217,TRUE,TRUE
commercial,commercial_13364010010000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,1,32,1_32,1835.6485022107222,FALSE,FALSE
commercial,commercial_13364030160000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,1,32,1_32,813.2079994062796,TRUE,FALSE
commercial,commercial_13364040200000,2017,TRUE,TRUE,TRUE,2017-06-15,2015,2015_2023,1,32,1_32,300.63605861891205,TRUE,TRUE
commercial,commercial_13364040260000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,1,32,1_32,194.0551870563593,TRUE,TRUE
commercial,commercial_13364090210000,2011,TRUE,TRUE,TRUE,2011-06-15,2003,2003_2014,1,35,1_35,96.4192291167337,TRUE,TRUE
commercial,commercial_13364140420000,2020,TRUE,TRUE,TRUE,2020-06-15,2015,2015_2023,1,32,1_32,93.82906097823349,TRUE,TRUE
commercial,commercial_13364160400000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,1,32,1_32,835.1751636261714,TRUE,FALSE
commercial,commercial_13364240420000,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,1,32,1_32,103.97162502589376,TRUE,TRUE
commercial,commercial_13364240570000,2022,TRUE,TRUE,TRUE,2022-06-15,2015,2015_2023,1,32,1_32,133.98547050213324,TRUE,TRUE
commercial,commercial_13364250360000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,1,26,1_26,113.45387263107004,TRUE,TRUE
commercial,commercial_13364270320000,2013,TRUE,TRUE,TRUE,2013-06-15,2003,2003_2014,1,26,1_26,116.10401121104637,TRUE,TRUE
commercial,commercial_13364270350000,2007,TRUE,TRUE,TRUE,2007-06-15,2003,2003_2014,1,26,1_26,116.15770334105058,TRUE,TRUE
commercial,commercial_14051050140000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,40,48,40_48,602.1737593938232,TRUE,FALSE
commercial,commercial_14051050280000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,40,48,40_48,602.25390082112,TRUE,FALSE
commercial,commercial_14052000010000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,48,49,48_49,82.38919037024976,TRUE,TRUE
commercial,commercial_14052080070000,2020,TRUE,TRUE,TRUE,2020-06-15,2015,2015_2023,48,49,48_49,1616.0913278725698,FALSE,FALSE
commercial,commercial_14062250100000,2006,TRUE,TRUE,TRUE,2006-06-15,2003,2003_2014,40,50,40_50,1207.3110538451479,TRUE,FALSE
commercial,commercial_14074180020000,2011,TRUE,TRUE,TRUE,2011-06-15,2003,2003_2014,47,40,40_47,1239.0767526022685,TRUE,FALSE
commercial,commercial_14083050540000,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,47,48,47_48,176.54183475005982,TRUE,TRUE
commercial,commercial_14083060130000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,46,48,46_48,54.46002002306292,TRUE,TRUE
commercial,commercial_14083090220000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,47,40,40_47,589.6433775384146,TRUE,FALSE
commercial,commercial_14083170400000,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,47,46,46_47,48.534013135909824,TRUE,TRUE
commercial,commercial_14084000010000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,48,47,47_48,110.55593156676386,TRUE,TRUE
commercial,commercial_14084000040000,2017,TRUE,TRUE,TRUE,2017-06-15,2015,2015_2023,48,47,47_48,154.83923528151266,TRUE,TRUE
commercial,commercial_14084040010000,2022,FALSE,TRUE,TRUE,2022-06-15,2015,2015_2023,48,47,47_48,117.33351833622511,TRUE,TRUE
commercial,commercial_14171000010000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,47,46,46_47,428.86825881256283,TRUE,TRUE
commercial,commercial_14171060100000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,47,46,46_47,456.7891581105706,TRUE,TRUE
commercial,commercial_14171200250000,2022,FALSE,TRUE,TRUE,2022-06-15,2015,2015_2023,47,46,46_47,133.48682213635945,TRUE,TRUE
commercial,commercial_14171210100000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,47,46,46_47,213.3802175642904,TRUE,TRUE
commercial,commercial_14172010070000,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,46,47,46_47,841.9201357622131,TRUE,FALSE
commercial,commercial_14172030160000,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,46,48,46_48,1374.5953265199348,TRUE,FALSE
commercial,commercial_14172110140000,2022,TRUE,TRUE,TRUE,2022-06-15,2015,2015_2023,46,48,46_48,1629.7840005892297,FALSE,FALSE
commercial,commercial_14172170380000,2009,TRUE,TRUE,TRUE,2009-06-15,2003,2003_2014,46,48,46_48,1774.7247326299523,FALSE,FALSE
commercial,commercial_14172170390000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,46,48,46_48,1774.7247326299523,FALSE,FALSE
commercial,commercial_14172200010000,2018,TRUE,TRUE,TRUE,2018-06-15,2015,2015_2023,46,48,46_48,1922.66381513186,FALSE,FALSE
commercial,commercial_14172250210000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,46,48,46_48,2797.2502455651584,FALSE,FALSE
commercial,commercial_14172290030000,2020,TRUE,TRUE,TRUE,2020-06-15,2015,2015_2023,46,48,46_48,2495.8046224757286,FALSE,FALSE
commercial,commercial_14172290080000,2018,TRUE,TRUE,TRUE,2018-06-15,2015,2015_2023,46,48,46_48,2525.6947121487674,FALSE,FALSE
commercial,commercial_14174150060000,2017,TRUE,TRUE,TRUE,2017-06-15,2015,2015_2023,46,44,44_46,1188.9576303788235,TRUE,FALSE
commercial,commercial_14174180040000,2015,TRUE,TRUE,TRUE,2015-06-15,2015,2015_2023,46,44,44_46,1705.018148065314,FALSE,FALSE
commercial,commercial_14181020390000,2018,TRUE,TRUE,TRUE,2018-06-15,2015,2015_2023,47,40,40_47,765.0687090110318,TRUE,FALSE
