upload_row_number,address,matched_address,status,latitude,longitude,lat_long_coordinates
15,"428 St James Place, Chicago, IL","428 W ST JAMES PL, CHICAGO, IL",PRE_DIR CORRECTION,41.928405947644016,-87.64037164543811,41.928405947644016;-87.64037164543811
16,"2006 Marshall Boulevard, Chicago, IL","2006 S MARSHALL BLVD, CHICAGO, IL",PRE_DIR CORRECTION,41.85398474919005,-87.69930651582922,41.85398474919005;-87.69930651582922
17,"6 North Oliphant Avenue, Chicago, IL",nan,BADADDRESSNUM,,,---
18,"6 North Oliphant Avenue, Chicago, IL",nan,BADADDRESSNUM,,,---
19,"6 North Oliphant Avenue, Chicago, IL",nan,BADADDRESSNUM,,,---
20,"2006 North Oliphant Avenue, Chicago, IL",nan,BADADDRESSNUM,,,---
21,"7 South Kedzie Avenue, Chicago, IL","7 S KEDZIE AVE, CHICAGO, IL",nan,41.88072129248101,-87.70596841178207,41.88072129248101;-87.70596841178207
22,"7 James McNaughton-Pershing Road, Chicago, IL",nan,BADSTREET,,,---
23,"7 James McNaughton-Pershing Road, Chicago, IL",nan,BADSTREET,,,---
24,"7 James McNaughton-Pershing Road, Chicago, IL",nan,BADSTREET,,,---
25,"7 James McNaughton-Pershing Road, Chicago, IL",nan,BADSTREET,,,---
26,"1453 North California Avenue, Chicago, IL","1453 N CALIFORNIA AVE, CHICAGO, IL",nan,41.90813805369189,-87.69685998545472,41.90813805369189;-87.69685998545472
27,"345 North Canal Street, Chicago, IL","345 N CANAL ST, CHICAGO, IL",nan,41.888165819563646,-87.63981481294968,41.888165819563646;-87.63981481294968
28,"1453 North California Avenue, Chicago, IL","1453 N CALIFORNIA AVE, CHICAGO, IL",nan,41.90813805369189,-87.69685998545472,41.90813805369189;-87.69685998545472
29,"2712 North Artesian Avenue, Chicago, IL","2712 N ARTESIAN AVE, CHICAGO, IL",nan,41.93076596413419,-87.68922585119634,41.93076596413419;-87.68922585119634
30,"1525 North Claremont Avenue, Chicago, IL","1525 N CLAREMONT AVE, CHICAGO, IL",nan,41.90928301103856,-87.68582664829809,41.90928301103856;-87.68582664829809
31,"1868 N Milwaukee Ave, Chicago, IL","1868 N MILWAUKEE AVE, CHICAGO, IL",nan,41.91532130402486,-87.6853251674383,41.91532130402486;-87.6853251674383
32,"7653 South Ashland Avenue, Chicago, IL","7653 S ASHLAND AVE, CHICAGO, IL",nan,41.754256893268945,-87.66338550564976,41.754256893268945;-87.66338550564976
33,"7653 South Ashland Avenue, Chicago, IL","7653 S ASHLAND AVE, CHICAGO, IL",nan,41.754256893268945,-87.66338550564976,41.754256893268945;-87.66338550564976
34,"7653 South Ashland Avenue, Chicago, IL","7653 S ASHLAND AVE, CHICAGO, IL",nan,41.754256893268945,-87.66338550564976,41.754256893268945;-87.66338550564976
35,"161 North Peoria Avenue, Chicago, IL","161 N PEORIA ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.88484301533086,-87.6496383353533,41.88484301533086;-87.6496383353533
36,"161 North Peoria Avenue, Chicago, IL","161 N PEORIA ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.88484301533086,-87.6496383353533,41.88484301533086;-87.6496383353533
37,"7101-7149 South Chicago Avenue, Chicago, IL","7101-7149 S SOUTH CHICAGO AVE, CHICAGO, IL",PRE_DIR CORRECTION -transid is calculated using low address only,41.765877743513,-87.60538470110453,41.765877743513;-87.60538470110453
38,"8561 South Chicago Avenue, Chicago, IL","8561 S SOUTH CHICAGO AVE, CHICAGO, IL",PRE_DIR CORRECTION,41.73953547198774,-87.56873927059479,41.73953547198774;-87.56873927059479
39,"8561 South Chicago Avenue, Chicago, IL","8561 S SOUTH CHICAGO AVE, CHICAGO, IL",PRE_DIR CORRECTION,41.73953547198774,-87.56873927059479,41.73953547198774;-87.56873927059479
40,"8561 South Chicago Avenue, Chicago, IL","8561 S SOUTH CHICAGO AVE, CHICAGO, IL",PRE_DIR CORRECTION,41.73953547198774,-87.56873927059479,41.73953547198774;-87.56873927059479
41,"3155 South Lake Shore Drive, Chicago, IL","3155 S JEAN BAPTISTE POINTE DUSABLE LAKE SHORE DR NB, CHICAGO, IL",ALIAS SUF_DIR TIE BREAKER,41.836187355486274,-87.60767903132712,41.836187355486274;-87.60767903132712
42,"4336 W Armitage Ave, Chicago, IL","4336 W ARMITAGE AVE, CHICAGO, IL",nan,41.91716477306698,-87.73539698108307,41.91716477306698;-87.73539698108307
43,"2731 N Wilton St, Chicago, IL","2731 N WILTON AVE, CHICAGO, IL",STREET_TYPE CORRECTION,41.931782041559956,-87.65246435791526,41.931782041559956;-87.65246435791526
44,"2000-2006 W Warren Ave, Chicago, IL","2000-2006 W WARREN BLVD, CHICAGO, IL",COMMON STREET ALIAS -transid is calculated using low address only,41.88233985932603,-87.67678798796877,41.88233985932603;-87.67678798796877
45,"W Walnut St and N Albany Ave, Chicago, IL",nan,BADSTREET,,,---
46,"W Bryn Mawr Ave and N Sheridan Rd, Chicago, IL",nan,BADSTREET,,,---
47,"7358 S Kostner Ave, Chicago, IL","7358 S KOSTNER AVE, CHICAGO, IL",nan,41.75909295284009,-87.7326712973693,41.75909295284009;-87.7326712973693
48,"2954 N Racine Ave, Chicago, IL","2954 N RACINE AVE, CHICAGO, IL",nan,41.93602075530568,-87.65897956913082,41.93602075530568;-87.65897956913082
49,"1063 W Lawrence Ave, Chicago, IL","1063 W LAWRENCE AVE, CHICAGO, IL",nan,41.96894691748862,-87.6573154906776,41.96894691748862;-87.6573154906776
50,"4550 N Winchester Ave, Chicago, IL","4550 N WINCHESTER AVE, CHICAGO, IL",nan,41.96459864001804,-87.67773316403523,41.96459864001804;-87.67773316403523
51,"3527 S Wallace St, Chicago, IL","3527 S WALLACE ST, CHICAGO, IL",nan,41.829989616224736,-87.64106578961876,41.829989616224736;-87.64106578961876
52,"650 N Oakley Ave, Chicago, IL","650 N OAKLEY BLVD, CHICAGO, IL",COMMON STREET ALIAS,41.89360864660565,-87.68448199505673,41.89360864660565;-87.68448199505673
53,"1120 W Wolfram Ave, Chicago, IL","1120 W WOLFRAM ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.9336012507328,-87.65719375513291,41.9336012507328;-87.65719375513291
54,"S Greenwood Ave and S Ingleside Ave, Chicago, IL",nan,BADSTREET,,,---
55,"W Wabansia Ave and N Tripp Ave, Chicago, IL",nan,BADSTREET,,,---
56,"1804 S Jefferson St, Chicago, IL","1804 S JEFFERSON ST, CHICAGO, IL",nan,41.857448201996355,-87.64200482575937,41.857448201996355;-87.64200482575937
57,"1975 N Maud Ave, Chicago, IL","1975 N MAUD AVE, CHICAGO, IL",nan,41.91761248815833,-87.65710307678596,41.91761248815833;-87.65710307678596
58,"858 W Diversey Parkway, Chicago, IL","858 W DIVERSEY PKWY, CHICAGO, IL",nan,41.93278974678679,-87.65138079986,41.93278974678679;-87.65138079986
59,"1649-1657 N Pulaski Ave, Chicago, IL","1649-1657 N PULASKI RD, CHICAGO, IL",STREET_TYPE CORRECTION -transid is calculated using low address only,41.911336003995146,-87.72623082033397,41.911336003995146;-87.72623082033397
60,"7351 S Stony Island Ave, Chicago, IL","7351 S STONY ISLAND AVE, CHICAGO, IL",nan,41.760875587474516,-87.58563944491966,41.760875587474516;-87.58563944491966
61,"3755 N Janssen St, Chicago, IL","3755 N JANSSEN AVE, CHICAGO, IL",STREET_TYPE CORRECTION,41.95049068868359,-87.66517367312201,41.95049068868359;-87.66517367312201
62,"15 S Kilpatrick St, Chicago, IL","15 S KILPATRICK AVE, CHICAGO, IL",STREET_TYPE CORRECTION,41.880004231840175,-87.74266340418703,41.880004231840175;-87.74266340418703
63,"2753-2759 N Maplewood Ave, Chicago, IL","2753-2759 N MAPLEWOOD AVE, CHICAGO, IL", -transid is calculated using low address only,41.9319190681823,-87.6914117561963,41.9319190681823;-87.6914117561963
64,"1324 W Ohio St, Chicago, IL","1324 W OHIO ST, CHICAGO, IL",nan,41.892620068130064,-87.66058684328549,41.892620068130064;-87.66058684328549
65,"4645 S Dr Martin Luther King Jr Dr, Chicago, IL","4645 S DR MARTIN LUTHER KING JR DR, CHICAGO, IL",nan,41.80990633607934,-87.61645698884726,41.80990633607934;-87.61645698884726
66,"2451 W Cortland St, Chicago, IL","2451 W CORTLAND ST, CHICAGO, IL",nan,41.915632876609855,-87.68938027266717,41.915632876609855;-87.68938027266717
67,"2321 W Howard Ave, Chicago, IL","2321 W HOWARD ST, CHICAGO, IL",STREET_TYPE CORRECTION,42.019413270594214,-87.68862818775574,42.019413270594214;-87.68862818775574
68,"533 N St Clair St, Chicago, IL","533 N ST CLAIR ST, CHICAGO, IL",nan,41.89187527032078,-87.62252013221924,41.89187527032078;-87.62252013221924
69,"901 W Huron St, Chicago, IL","901 W HURON ST, CHICAGO, IL",nan,41.89494360558641,-87.65017468514628,41.89494360558641;-87.65017468514628
70,"550 W Webster St, Chicago, IL","550 W WEBSTER AVE, CHICAGO, IL",STREET_TYPE CORRECTION,41.922003994475794,-87.64336847300446,41.922003994475794;-87.64336847300446
71,"1951 N Westen Ave, Chicago, IL",nan,BADADDRESSNUM,,,---
72,"901 S Austin Ave, Chicago, IL","901 S AUSTIN BLVD, CHICAGO, IL",COMMON STREET ALIAS,41.87034652436215,-87.774128780491,41.87034652436215;-87.774128780491
73,"1226 W Altgeld Ave, Chicago, IL","1226 W ALTGELD ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.92720062735188,-87.659587297221,41.92720062735188;-87.659587297221
74,"1801-1819 W Argyle Ave, Chicago, IL","1801-1819 W ARGYLE ST, CHICAGO, IL",STREET_TYPE CORRECTION -transid is calculated using low address only,41.97235677005528,-87.6749222533142,41.97235677005528;-87.6749222533142
75,"1513-1517 W Diversey Pkwy, Chicago, IL","1513-1517 W DIVERSEY PKWY, CHICAGO, IL", -transid is calculated using low address only,41.93232134365878,-87.66654252092327,41.93232134365878;-87.66654252092327
76,"2731 N Wilton Ave, Chicago, IL","2731 N WILTON AVE, CHICAGO, IL",nan,41.931782041559956,-87.65246435791526,41.931782041559956;-87.65246435791526
77,"4416 N Winchester Ave, Chicago, IL","4416 N WINCHESTER AVE, CHICAGO, IL",nan,41.962014129845244,-87.67765106917173,41.962014129845244;-87.67765106917173
78,"1906 N Halsted St, Chicago, IL","1906 N HALSTED ST, CHICAGO, IL",nan,41.91627854920954,-87.6485881172169,41.91627854920954;-87.6485881172169
79,"7900 S Western Ave, Chicago, IL","7900 S WESTERN AVE, CHICAGO, IL",nan,41.750054933649984,-87.68299220290213,41.750054933649984;-87.68299220290213
80,"6202-6206 W Norwood Ave, Chicago, IL","6202-6206 W NORWOOD ST, CHICAGO, IL",STREET_TYPE CORRECTION -transid is calculated using low address only,41.99113598645438,-87.78291643397665,41.99113598645438;-87.78291643397665
81,"422-428 N Whipple Ave, Chicago, IL","426-428 N WHIPPLE ST, CHICAGO, IL",STREET_TYPE CORRECTION -transid is calculated using low address only,41.88918367053406,-87.70286415600651,41.88918367053406;-87.70286415600651
82,"N Webster Ave and N Clark St, Chicago, IL",nan,BADSTREET,,,---
83,"6104 S Kedzie Ave, Chicago, IL","6104 S KEDZIE AVE, CHICAGO, IL",nan,41.7824403566705,-87.70338220407636,41.7824403566705;-87.70338220407636
84,"1244 W George Ave, Chicago, IL","1244 W GEORGE ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.93445724845541,-87.66055386157706,41.93445724845541;-87.66055386157706
85,"N Kimball Ave and N Miwaukee Ave, Chicago, IL",nan,BADSTREET,,,---
86,"8908 S Lafayette Ave, Chicago, IL","8908 S LAFAYETTE AVE, CHICAGO, IL",nan,41.73236390070466,-87.62547931863702,41.73236390070466;-87.62547931863702
87,"W Albion Ave and N Kedzie Ave, Chicago, IL",nan,BADSTREET,,,---
88,"2239-2241 W Shakespeare Ave, Chicago, IL","2239-2241 W SHAKESPEARE AVE, CHICAGO, IL", -transid is calculated using low address only,41.920563139590136,-87.68417478090252,41.920563139590136;-87.68417478090252
89,"1819-1825 W Newport St, Chicago, IL","1819-1825 W NEWPORT AVE, CHICAGO, IL",STREET_TYPE CORRECTION -transid is calculated using low address only,41.94406143097434,-87.67470356794354,41.94406143097434;-87.67470356794354
90,"2207 W Belmont Ave, Chicago, IL","2207 W BELMONT AVE, CHICAGO, IL",nan,41.93939898958009,-87.6835452760475,41.93939898958009;-87.6835452760475
91,"1320 N Leavitt Ave, Chicago, IL","1320 N LEAVITT ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.9055392359966,-87.68235870538129,41.9055392359966;-87.68235870538129
92,"1424 W Walton St, Chicago, IL","1424 W WALTON ST, CHICAGO, IL",nan,41.898974092577944,-87.66348299625227,41.898974092577944;-87.66348299625227
93,"2742 S Millard Ave, Chicago, IL","2742 S MILLARD AVE, CHICAGO, IL",nan,41.84124667511922,-87.71607302896865,41.84124667511922;-87.71607302896865
94,"W Webster Ave and N Dayton St, Chicago, IL",nan,BADSTREET,,,---
95,"1331 W Albion Ave, Chicago, IL","1331 W ALBION AVE, CHICAGO, IL",nan,42.002320855678654,-87.66482388436243,42.002320855678654;-87.66482388436243
96,"W Addison St and N Rockwell St, Chicago, IL",nan,BADSTREET,,,---
97,"2417-2433 N Clark Ave, Chicago, IL","2417-2433 N CLARK ST, CHICAGO, IL",STREET_TYPE CORRECTION -transid is calculated using low address only,41.926107767881206,-87.64064405129987,41.926107767881206;-87.64064405129987
98,"630 N McClurg St, Chicago, IL","630 N MCCLURG CT, CHICAGO, IL",STREET_TYPE CORRECTION,41.89355723291622,-87.6178875092094,41.89355723291622;-87.6178875092094
99,"W Webster Ave and N Seminary Ave, Chicago, IL",nan,BADSTREET,,,---
100,"327 N Aberdeen Ave, Chicago, IL","327 N ABERDEEN ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.88761647559147,-87.6543832072188,41.88761647559147;-87.6543832072188
101,"6733-6735 S Chicago Ave, Chicago, IL",nan,BADADDRESSNUM,,,---
102,"1442 N Mohawk Ave, Chicago, IL","1442 N MOHAWK ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.90884193188663,-87.64230262417063,41.90884193188663;-87.64230262417063
103,"2537 W Moffat Ave, Chicago, IL","2537 W MOFFAT ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.914710620396264,-87.69126654171602,41.914710620396264;-87.69126654171602
104,"407-415 S Dearborn Ave, Chicago, IL","407-415 S DEARBORN ST, CHICAGO, IL",STREET_TYPE CORRECTION -transid is calculated using low address only,41.87669951154698,-87.62911066501952,41.87669951154698;-87.62911066501952
105,"150 N Riverside Dr, Chicago, IL","150 N RIVERSIDE PLZ, CHICAGO, IL",STREET_TYPE CORRECTION,41.88508945576888,-87.63840559417186,41.88508945576888;-87.63840559417186
106,"730 W Grand Ave, Chicago, IL","730 W GRAND AVE, CHICAGO, IL",nan,41.891297376120164,-87.64713091483144,41.891297376120164;-87.64713091483144
107,"3059 S St Louis Ave, Chicago, IL","3059 S ST LOUIS AVE, CHICAGO, IL",nan,41.83721858678621,-87.71201003212285,41.83721858678621;-87.71201003212285
108,"1659 W Grand Ave, Chicago, IL","1659 W GRAND AVE, CHICAGO, IL",nan,41.890834558904814,-87.66951501236623,41.890834558904814;-87.66951501236623
109,"832 W Jackson St, Chicago, IL","832 W JACKSON BLVD, CHICAGO, IL",STREET_TYPE CORRECTION,41.878038516522345,-87.64851895831593,41.878038516522345;-87.64851895831593
110,"4400-4458 N Clarendon Ave and 4401-4415 N Clarendon Ave, Chicago, IL",nan,BADSTREET,,,---
111,"3952-3956 N Asland Ave, Chicago, IL",nan,BADSTREET,,,---
112,"1152 W Eddy St, Chicago, IL","1152 W EDDY ST, CHICAGO, IL",nan,41.94635499260236,-87.65790766946932,41.94635499260236;-87.65790766946932
113,"1300 N Dearborn Pkwy, Chicago, IL","1300 N DEARBORN ST, CHICAGO, IL",COMMON STREET ALIAS,41.905898874391504,-87.63019276315075,41.905898874391504;-87.63019276315075
114,"3721-3757 N Halsted St, Chicago, IL","3721-3757 N HALSTED ST, CHICAGO, IL", -transid is calculated using low address only,41.949730726526816,-87.64941573428582,41.949730726526816;-87.64941573428582
115,"2034-2040 W Lawrence Ave, Chicago, IL","2034-2040 W LAWRENCE AVE, CHICAGO, IL", -transid is calculated using low address only,41.968847047481525,-87.68054852375663,41.968847047481525;-87.68054852375663
116,"1907-1909 N Bissell Ave, Chicago, IL","1907-1909 N BISSELL ST, CHICAGO, IL",STREET_TYPE CORRECTION -transid is calculated using low address only,41.91625152579829,-87.65194138699374,41.91625152579829;-87.65194138699374
117,"1845 N St Louis Ave, Chicago, IL","1845 N ST LOUIS AVE, CHICAGO, IL",nan,41.91495421930178,-87.71331442604215,41.91495421930178;-87.71331442604215
118,"1341-1345 W Ancona Ave, Chicago, IL","1341-1345 W ANCONA ST, CHICAGO, IL",STREET_TYPE CORRECTION -transid is calculated using low address only,41.893792238734385,-87.6612019071372,41.893792238734385;-87.6612019071372
119,"948-954 W Fulton Market St, Chicago, IL","948-954 W FULTON MARKET , CHICAGO, IL",STREET_TYPE CORRECTION -transid is calculated using low address only,41.886854792080925,-87.6517677496529,41.886854792080925;-87.6517677496529
120,"8000 S Dr Martin L King Jr Dr, Chicago, IL","8000 S DR MARTIN LUTHER KING JR DR, CHICAGO, IL",MINOR CORRECTION,41.74919731465365,-87.61506453142316,41.74919731465365;-87.61506453142316
121,"8001 S Dr Martin L King Jr Dr, Chicago, IL","8001 S DR MARTIN LUTHER KING JR DR, CHICAGO, IL",MINOR CORRECTION,41.74920154608287,-87.61477142686657,41.74920154608287;-87.61477142686657
122,"37 S Sangamon Ave, Chicago, IL","37 S SANGAMON ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.88055796433985,-87.65068001187853,41.88055796433985;-87.65068001187853
123,"1055 W Fulton Market St, Chicago, IL","1055 W FULTON MARKET , CHICAGO, IL",STREET_TYPE CORRECTION,41.886595609477205,-87.6543499372662,41.886595609477205;-87.6543499372662
124,"W Patterson Ave and N Cicero Ave, Chicago, IL",nan,BADSTREET,,,---
125,"1906 N Halsted St, Chicago, IL","1906 N HALSTED ST, CHICAGO, IL",nan,41.91627854920954,-87.6485881172169,41.91627854920954;-87.6485881172169
126,"E Hubbard St and N Rush St, Chicago, IL",nan,BADSTREET,,,---
127,"1950 W Erie St, Chicago, IL","1950 W ERIE ST, CHICAGO, IL",nan,41.89328993515489,-87.67655199530485,41.89328993515489;-87.67655199530485
128,"1951 W Erie Ave, Chicago, IL","1951 W ERIE ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.89307045214762,-87.67654574136168,41.89307045214762;-87.67654574136168
129,"2416-2422 W Addison Ave, Chicago, IL","2416-2422 W ADDISON ST, CHICAGO, IL",STREET_TYPE CORRECTION -transid is calculated using low address only,41.94683735883456,-87.68894122147842,41.94683735883456;-87.68894122147842
130,"1515-1517 W Haddon St, Chicago, IL","1515-1517 W HADDON AVE, CHICAGO, IL",STREET_TYPE CORRECTION -transid is calculated using low address only,41.90234745228074,-87.66601789896495,41.90234745228074;-87.66601789896495
131,"29-39 S LaSalle St, Chicago, IL","29-39 S LA SALLE ST, CHICAGO, IL",ALIAS -transid is calculated using low address only,41.88115309380635,-87.63219570286168,41.88115309380635;-87.63219570286168
132,"7155-7157 W 63rd St aka 6301-6319 S Harlem Ave, Chicago, IL","7155-7157 W 63RD ST, CHICAGO, IL",PRIMARY STREET TIE BREAKER -transid is calculated using low address only,41.77719208340324,-87.8006628940603,41.77719208340324;-87.8006628940603
133,"11231-11235 W Western Ave, Chicago, IL",nan, -transid is calculated using low address only,,,---
134,"1640 W Erie St, Chicago, IL","1640 W ERIE ST, CHICAGO, IL",nan,41.89342611660839,-87.66884053972831,41.89342611660839;-87.66884053972831
135,"5825 N Tripp St, Chicago, IL","5825 N TRIPP AVE, CHICAGO, IL",STREET_TYPE CORRECTION,41.98641957969588,-87.7340373818792,41.98641957969588;-87.7340373818792
136,"934 N Larrabee Ave, Chicago, IL","934 N LARRABEE ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.89956921152949,-87.64320578556972,41.89956921152949;-87.64320578556972
137,"43 N Homan Blvd, Chicago, IL","43 N HOMAN BLVD, CHICAGO, IL",nan,41.882211292040566,-87.7108986080365,41.882211292040566;-87.7108986080365
138,"4952-4958 N St Louis Ave, Chicago, IL","4952-4958 N ST LOUIS AVE, CHICAGO, IL", -transid is calculated using low address only,41.97157907098583,-87.71603798563375,41.97157907098583;-87.71603798563375
139,"1534 W Cortez St, Chicago, IL","1534 W CORTEZ ST, CHICAGO, IL",nan,41.90074409411554,-87.66634587833964,41.90074409411554;-87.66634587833964
140,"1906 N Halsted St, Chicago, IL","1906 N HALSTED ST, CHICAGO, IL",nan,41.91627854920954,-87.6485881172169,41.91627854920954;-87.6485881172169
141,"731 W Melrose Ave, Chicago, IL","731 W MELROSE ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.94097185434069,-87.64789264016144,41.94097185434069;-87.64789264016144
142,"5401 S Western Blvd, Chicago, IL","5401 S WESTERN BLVD, CHICAGO, IL",nan,41.79555234537843,-87.68337228559177,41.79555234537843;-87.68337228559177
143,"3525 S Martin L King Jr Dr, Chicago, IL",nan,BADSTREET,,,---
144,"520 N Orleans Ave, Chicago, IL","520 N ORLEANS ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.89150383301207,-87.63717644121202,41.89150383301207;-87.63717644121202
145,"900 N Dewitt Pl, Chicago, IL","900 N DEWITT PL, CHICAGO, IL",nan,41.89930609747106,-87.62036287558747,41.89930609747106;-87.62036287558747
146,"1014 N Larrabee St, Chicago, IL","1014 N LARRABEE ST, CHICAGO, IL",nan,41.900912800472945,-87.64325812492238,41.900912800472945;-87.64325812492238
147,"1018-1020 N Larrabee St, Chicago, IL","1018-1020 N LARRABEE ST, CHICAGO, IL", -transid is calculated using low address only,41.901041185523994,-87.6432633597721,41.901041185523994;-87.6432633597721
148,"1237-1253 N Milwaukee Ave, Chicago, IL","1237-1253 N MILWAUKEE AVE, CHICAGO, IL", -transid is calculated using low address only,41.90425996474066,-87.6676647561347,41.90425996474066;-87.6676647561347
149,"2525 S Hillock St, Chicago, IL","2525 S HILLOCK AVE, CHICAGO, IL",STREET_TYPE CORRECTION,41.84633132996607,-87.6539870667816,41.84633132996607;-87.6539870667816
150,"2517-2521 S Hillock St, Chicago, IL","2517-2521 S HILLOCK AVE, CHICAGO, IL",STREET_TYPE CORRECTION -transid is calculated using low address only,41.84649234599994,-87.65365089819262,41.84649234599994;-87.65365089819262
151,"529 N Hartland Ct, Chicago, IL","529 N HARTLAND CT, CHICAGO, IL",nan,41.891820036706356,-87.67108944795717,41.891820036706356;-87.67108944795717
152,"1659 W Grand Ave, Chicago, IL","1659 W GRAND AVE, CHICAGO, IL",nan,41.890834558904814,-87.66951501236623,41.890834558904814;-87.66951501236623
153,"1061 W VanBuren St, Chicago, IL","1061 W VAN BUREN ST, CHICAGO, IL",ALIAS,41.87645614541188,-87.65429579519606,41.87645614541188;-87.65429579519606
154,"3857 S Dr Martin L King Dr, Chicago, IL",nan,BADSTREET,,,---
155,"W Henderson Ave and N Kildare Ave, Chicago, IL",nan,BADSTREET,,,---
156,"3828 N Racine Ave, Chicago, IL","3828 N RACINE AVE, CHICAGO, IL",nan,41.95191205435755,-87.65943803088769,41.95191205435755;-87.65943803088769
157,"3538 N Albany Ave, Chicago, IL","3538 N ALBANY AVE, CHICAGO, IL",nan,41.94592535537084,-87.70549351608956,41.94592535537084;-87.70549351608956
158,"4330 S Langley Ave, Chicago, IL","4330 S LANGLEY AVE, CHICAGO, IL",nan,41.81583335327532,-87.60930905545393,41.81583335327532;-87.60930905545393
159,"2133 N Campell Ave, Chicago, IL",nan,BADSTREET,,,---
160,"602 N May St, Chicago, IL","602 N MAY ST, CHICAGO, IL",nan,41.89231016798648,-87.65596789664838,41.89231016798648;-87.65596789664838
161,"2231 N Central Ave, Chicago, IL","2231 N CENTRAL AVE, CHICAGO, IL",nan,41.92131716931634,-87.76574379790944,41.92131716931634;-87.76574379790944
162,"1740 W Erie St, Chicago, IL","1740 W ERIE ST, CHICAGO, IL",nan,41.89338677519291,-87.67128494425711,41.89338677519291;-87.67128494425711
163,"8050 S Dr Martin L King Dr, Chicago, IL",nan,BADSTREET,,,---
164,"1342 W Henderson Ave, Chicago, IL","1342 W HENDERSON ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.94262268873954,-87.66317238596186,41.94262268873954;-87.66317238596186
165,"3911 N Leavitt Ave, Chicago, IL","3911 N LEAVITT ST, CHICAGO, IL",STREET_TYPE CORRECTION,41.95264339254052,-87.68342105426794,41.95264339254052;-87.68342105426794
166,"4416 N Winchester Ave, Chicago, IL","4416 N WINCHESTER AVE, CHICAGO, IL",nan,41.962014129845244,-87.67765106917173,41.962014129845244;-87.67765106917173
167,"6010-6018 S Kedzie Ave, Chicago, IL","6010-6018 S KEDZIE AVE, CHICAGO, IL", -transid is calculated using low address only,41.784050919738135,-87.70342795536284,41.784050919738135;-87.70342795536284
168,"1424 W Diversey Pkwy, Chicago, IL","1424 W DIVERSEY PKWY, CHICAGO, IL",nan,41.932572827559675,-87.6646312149481,41.932572827559675;-87.6646312149481
169,"1652 N St Louis Ave, Chicago, IL","1652 N ST LOUIS AVE, CHICAGO, IL",nan,41.911591914824015,-87.71350433681478,41.911591914824015;-87.71350433681478
170,"351 W Huron St, Chicago, IL","351 W HURON ST, CHICAGO, IL",nan,41.89463674584331,-87.63761849646316,41.89463674584331;-87.63761849646316
171,"5401 S Western Blvd, Chicago, IL","5401 S WESTERN BLVD, CHICAGO, IL",nan,41.79555234537843,-87.68337228559177,41.79555234537843;-87.68337228559177
172,"W Forest Preserve Dr and N Oak Park Ave, Chicago, IL",nan,BADSTREET,,,---
173,"W Forest Preserve Dr and N Oak Park Ave, Chicago, IL",nan,BADSTREET,,,---
