alderman_id,full_name,panel_committee_definition,first_cycle_year,last_cycle_year,cycles_count,ward_numbers,committee_count_sum,candidate_committee_count_sum,review_committee_count_sum,total_receipts_amount,total_receipts_count,union_total_amount,union_total_count,union_share_total_receipts,construction_trades_amount,construction_trades_count,construction_trades_share_total_receipts,construction_trades_share_union_total,teacher_education_amount,teacher_education_count,teacher_education_share_total_receipts,teacher_education_share_union_total,public_sector_service_amount,public_sector_service_count,public_sector_service_share_total_receipts,public_sector_service_share_union_total,generic_labor_amount,generic_labor_count,generic_labor_share_total_receipts,generic_labor_share_union_total
rossana_rodriguez_sanchez,Rossana Rodriguez-Sanchez,reviewed_named_recipient,2019,2023,2,33,2,2,0,475748.58,894,294957.23,119,0.619985518401337,3500,2,0.00735682700303593,0.0118661271669794,121330,29,0.255029662936671,0.411347774048461,126145.76,45,0.265152152424711,0.427674751352934,43981.47,43,0.0924468760369185,0.149111347431626
byron_sigcho_lopez,Byron Sigcho-Lopez,reviewed_named_recipient,2019,2023,2,25,2,2,0,683140.94,819,291164.91,89,0.42621499159456,2500,4,0.00365956694090095,0.00858619948399689,124589.18,18,0.182376977728783,0.427899021211038,153519.48,56,0.224725925516922,0.527259551983788,10556.25,11,0.0154525214079543,0.0362552273211769
desmon_yancy,Desmon Yancy,reviewed_named_recipient,2023,2023,1,5,1,1,0,355224.78,147,283958.88,56,0.799378016364737,18500,14,0.0520797000704737,0.0651502780966033,80000,5,0.225209513818265,0.281730932309636,163063.62,28,0.459043482270578,0.574250821104802,22395.26,9,0.0630453202054204,0.0788679684889587
ricardo_munoz,Ricardo Munoz,reviewed_named_recipient,2003,2015,4,22,4,4,0,1783474.3,2818,254152.37,193,0.142504083181911,19260,54,0.0107991463628043,0.0757813118170018,30550,18,0.0171294870915718,0.120203482658848,189742.37,107,0.106389180937454,0.746569351291117,14600,14,0.00818626879008013,0.0574458542330335
roderick_sawyer,Roderick Sawyer,reviewed_named_recipient,2011,2019,3,6,3,3,0,1312934.76,1651,249249.39,137,0.189841412988411,42215,55,0.032153158927714,0.169368518815633,45254.18,19,0.034467957874769,0.18156184855658,157022.22,58,0.119596361360712,0.629980358226754,4757.99,5,0.00362393482521553,0.0190892744010326
brendan_reilly,Brendan Reilly,reviewed_named_recipient,2007,2023,5,42,5,5,0,7875227.97,5816,230750.92,160,0.0293008559090639,121050,85,0.0153709836034118,0.524591624596773,3750,6,0.000476176691555508,0.0162512894856497,93700.92,63,0.0118981850883486,0.406069540264455,12250,6,0.00155551052574799,0.0530875456531224
lamont_robinson,Lamont Robinson,reviewed_named_recipient,2023,2023,1,4,2,2,0,1265355.6213,976,218939.83,78,0.173026322651545,74838,40,0.0591438475794757,0.341819942036129,4000,4,0.00316116665755235,0.018269859805774,134361.67,28,0.106184907814263,0.613692218542419,5740.16,6,0.00453640060025393,0.026217979615678
william_hall,William Hall,reviewed_named_recipient,2023,2023,1,6,1,1,0,269815.95,140,203294.87,37,0.753457569873093,7000,3,0.0259436108206353,0.0344327429413246,67220,7,0.249132788480444,0.330652711502263,129074.87,27,0.478381170572014,0.634914545556413,0,0,0,0
ed_burke,Ed Burke,reviewed_named_recipient,2003,2019,5,14,5,5,0,11695779.4,10924,203050,157,0.0173609635626335,114850,109,0.0098197816555945,0.565624230485102,0,0,0,0,64900,27,0.00554901026946524,0.319625707953706,23300,21,0.00199217163757381,0.114750061561192
scott_waguespack,Scott Waguespack,reviewed_named_recipient,2007,2023,5,32,5,5,0,1317702.19,2216,198346.28,119,0.150524360895234,24750,33,0.0187826962631063,0.124781770547953,31200,20,0.0236775807437946,0.157300656205904,136201.58,58,0.103362945765462,0.686685830457723,6194.7,8,0.0047011381228713,0.0312317427884203
ronnie_mosley,Ronnie Mosley,reviewed_named_recipient,2023,2023,1,21,1,1,0,348694.93,224,196514.04,48,0.563570109837846,13000,6,0.0372818727246766,0.0661530341547098,30000,1,0.0860350909030997,0.15266084804933,152514.04,40,0.437385309846633,0.776097422860982,1000,1,0.00286783636343666,0.00508869493497767
anthony_napolitano,Anthony Napolitano,reviewed_named_recipient,2015,2023,3,41,3,3,0,796525.58,829,183038.5,68,0.229796135360775,75400,37,0.0946611155915419,0.411935193961926,1500,3,0.00188317869213943,0.00819499722735927,106138.5,28,0.133251841077094,0.579869808810715,0,0,0,0
matthew_o_shea,Matthew O'Shea,reviewed_named_recipient,2011,2023,4,19,4,4,0,1707480.98,2929,180755,142,0.105860622822282,122455,108,0.0717167578639734,0.677463970567896,6000,8,0.00351394836620669,0.0331941025144533,43800,19,0.0256518230733088,0.242316948355509,8500,7,0.00497809351879281,0.0470249785621421
rey_colon,Rey Colon,reviewed_named_recipient,2003,2011,3,35,6,6,0,966874.31,1494,174324.71,68,0.180297178440908,14770,17,0.0152760290011222,0.0847269443327914,0,0,0,0,149004.71,45,0.15410970015327,0.854753809715215,10550,6,0.0109114492865158,0.0605192459519938
leslie_hairston,Leslie Hairston,reviewed_named_recipient,2003,2019,5,5,5,5,0,1888655.95,2945,173990.49,121,0.0921239731354988,35820,53,0.0189658682937991,0.205873321007372,33393.51,14,0.0176810975021681,0.191927213952901,102798.39,51,0.0544293893231322,0.590827636613932,1978.59,3,0.00104761801639944,0.011371828425795
debra_silverstein,Debra Silverstein,reviewed_named_recipient,2011,2023,4,50,4,4,0,1300707.96,1394,164718.89,92,0.126637873423947,35500,38,0.0272928290528798,0.21551869369688,7500,4,0.0057660906449746,0.0455321183866647,105207.53,44,0.0808848206018513,0.63870956148381,16511.36,6,0.0126941331242411,0.100239626432645
angela_clay,Angela Clay,reviewed_named_recipient,2023,2023,1,46,2,2,0,361782.1,570,160101.94,31,0.442536930378811,1000,1,0.00276409474100571,0.00624602050418627,74250,10,0.205234034519674,0.463767022435831,78189.76,8,0.216123904416498,0.488374844177404,6662.18,12,0.0184148967016334,0.0416121128825797
daniel_la_spata,Daniel La Spata,reviewed_named_recipient,2019,2023,2,1,2,2,0,465818.48,776,159164.24,71,0.341687259809873,24500,28,0.0525955947475506,0.153929048384235,40500,11,0.0869437382561551,0.254454141206593,70962.15,21,0.152338631992445,0.445842294726504,23202.09,11,0.0498092948137223,0.145774515682668
michael_rodriguez,Michael Rodriguez,reviewed_named_recipient,2019,2023,2,22,3,3,0,751452.26,1158,152849.91,113,0.203406015440023,55800,60,0.0742562142271021,0.365064002981749,19000,11,0.025284374019981,0.12430494725185,60549.91,35,0.0805771879640099,0.396139650981803,17500,7,0.0232882392289299,0.114491398784599
andre_vasquez,Andre Vasquez,reviewed_named_recipient,2019,2023,2,40,2,2,0,680033.76,1325,150330.36,91,0.22106308369161,27100,35,0.0398509626933816,0.180269640809747,27000,11,0.0397039111705278,0.179604439183143,94730.36,43,0.139302436984893,0.630147895608046,1500,2,0.0022057728428071,0.0099780243990635
carlos_ramirez_rosa,Carlos Ramirez-Rosa,reviewed_named_recipient,2015,2023,3,35,3,3,0,385044.99,536,142950,41,0.371255317463032,2500,2,0.00649274776955285,0.0174886323889472,87500,19,0.22724617193435,0.612102133613151,51700,18,0.134270023874353,0.361664917803428,1250,2,0.00324637388477643,0.00874431619447359
maria_hadden,Maria Hadden,reviewed_named_recipient,2019,2023,2,49,2,2,0,436304.43,1143,140594.73,83,0.322239978173038,11600,13,0.0265869406826788,0.082506648720048,30500,10,0.0699053181742849,0.216935584996678,79935.45,43,0.183210264447693,0.568552249433531,18559.28,17,0.0425374548683817,0.132005516849743
gilbert_villegas,Gilbert Villegas,reviewed_named_recipient,2015,2023,3,36,4,4,0,2236791.7,1651,133269.75,73,0.0595807602469197,70750,38,0.031630124521653,0.530878162523754,1500,1,0.000670603346748828,0.0112553674033305,45354.65,30,0.0202766533870811,0.340322166132975,15665.1,4,0.00700337899143671,0.117544303939941
felix_cardona_jr,Felix Cardona Jr.,reviewed_named_recipient,2019,2023,2,31,2,2,0,594728.75,698,132000,79,0.221949922548725,103250,52,0.17360855684209,0.78219696969697,5250,2,0.00882755373773338,0.0397727272727273,17000,21,0.0285844597221843,0.128787878787879,6500,4,0.0109293522467175,0.0492424242424242
jim_gardiner,Jim Gardiner,reviewed_named_recipient,2019,2023,2,45,2,2,0,569497.37,518,125050,68,0.219579591737184,103050,63,0.180949035813809,0.82407037185126,0,0,0,0,21000,4,0.0368746215632216,0.167932826869252,1000,1,0.00175593436015341,0.00799680127948821
matt_martin,Matt Martin,reviewed_named_recipient,2019,2023,2,47,2,2,0,649948.230000001,1478,123038.11,66,0.189304477373528,11750,12,0.0180783629489998,0.0954988661643128,20589.18,9,0.0316781845840244,0.167339859170464,82722.5,34,0.12727552162116,0.672332336704457,7976.43,11,0.0122724082193439,0.0648289379607668
michelle_a_harris,Michelle A. Harris,reviewed_named_recipient,2007,2023,5,8,7,7,0,1550150.68,1495,117960,63,0.0760958283100582,98960,52,0.063838955320137,0.838928450322143,500,1,0.000322549289208453,0.00423872499152255,11000,8,0.00709608436258596,0.0932519498134961,7500,2,0.00483823933812679,0.0635808748728383
deborah_graham,Deborah Graham,reviewed_named_recipient,2011,2011,1,29,1,1,0,459680.3,481,113092.87,53,0.246025052628968,15500,13,0.0337190869393359,0.137055501376877,10967.71,11,0.0238594301300273,0.0969796769681413,79655.16,23,0.173283823561723,0.704334057487444,6970,6,0.015162711997882,0.0616307641675377
patrick_levar,Patrick Levar,reviewed_named_recipient,2003,2007,2,45,5,5,0,1868282.74,4527,112220,203,0.0600658549144441,101470,191,0.0543119078432422,0.904206023881661,0,0,0,0,2700,5,0.00144517740392977,0.0240598823739084,8050,7,0.0043087696672721,0.0717340937444306
william_d_burns,William D. Burns,reviewed_named_recipient,2011,2015,2,4,2,2,0,1733789.59,2320,108665.36,100,0.0626750562044844,31500,35,0.0181682945737378,0.289880786296571,28015.36,19,0.0161584543831527,0.257813161434334,39150,36,0.0225805946845026,0.360280405825739,10000,10,0.00576771256309135,0.092025646443356
david_moore,David Moore,reviewed_named_recipient,2015,2023,3,17,6,6,0,608607.64,555,108410.29,46,0.178128375121942,13250,12,0.0217710050435778,0.122220870362029,38345.85,9,0.0630058636792664,0.353710427303534,56533.19,24,0.0928893860090222,0.521474391406941,281.25,1,0.000462120390075945,0.00259431092749591
robert_fioretti,Robert Fioretti,reviewed_named_recipient,2007,2011,2,2,2,2,0,1016822.02,979,106868.62,21,0.105100615346627,7000,5,0.00688419395166128,0.0655009861641331,0,0,0,0,61891.22,12,0.0608673089121339,0.579133706414474,37977.4,4,0.0373491124828316,0.355365307421393
samantha_nugent,Samantha Nugent,reviewed_named_recipient,2019,2023,2,39,2,2,0,892331.88,1116,106250,83,0.119070048242589,73500,63,0.0823684569019321,0.691764705882353,0,0,0,0,24250,16,0.0271759874812497,0.228235294117647,8500,4,0.00952560385940711,0.08
jason_ervin,Jason Ervin,reviewed_named_recipient,2011,2023,4,28,4,4,0,1272346.63,1349,105078.54,68,0.0825864096484462,44150,34,0.0346996635657376,0.420161909367983,10013,7,0.00786971078785347,0.09529062737263,47915.54,24,0.0376591872609432,0.45599739014265,3000,3,0.00235784803391195,0.0285500731167373
chris_taliaferro,Chris Taliaferro,reviewed_named_recipient,2015,2023,3,29,4,4,0,738343.44,977,95606.29,83,0.129487559339594,36250,37,0.0490963934073823,0.379159153649828,4500,6,0.00609472469884746,0.0470680328668752,48356.29,37,0.0654929500016957,0.505785654897811,6500,3,0.00880349123166856,0.0679871585854864
walter_burnett_jr,"Walter Burnett, Jr.",reviewed_named_recipient,2003,2023,6,27,6,6,0,4218911.84,4890,92343.08,84,0.0218878904092009,66700,49,0.0158097638750375,0.722306425126821,0,0,0,0,25643.08,35,0.00607812653416337,0.277693574873179,0,0,0,0
raymond_lopez,Raymond Lopez,reviewed_named_recipient,2015,2023,3,15,3,3,0,1476223.09,1403,90500,91,0.061305097185548,57500,62,0.0389507523554587,0.6353591160221,1000,2,0.000677404388790586,0.0110497237569061,31500,26,0.0213382382469035,0.348066298342541,500,1,0.000338702194395293,0.00552486187845304
nicole_lee,Nicole Lee,reviewed_named_recipient,2023,2023,1,11,1,1,0,504964.63,385,89228.97,17,0.176703405939541,28500,11,0.056439596571348,0.319402992099987,0,0,0,0,50000,4,0.0990168360900842,0.560356126491206,10728.97,2,0.0212469732781086,0.120240881408807
timothy_cullerton,Timothy Cullerton,reviewed_named_recipient,2011,2011,1,38,1,1,0,441057.04,424,87136.11,51,0.197561997876737,18600,22,0.0421714161959641,0.21345915028798,1500,3,0.00340092066096485,0.0172144476038694,53536.11,23,0.121381375071125,0.614396373673326,13500,3,0.0306082859486836,0.154930028434825
john_pope,John Pope,reviewed_named_recipient,2003,2011,3,10,5,5,0,1579101.48,2716,82908.5,108,0.0525035921060628,66840,97,0.0423278686307102,0.806189956397716,0,0,0,0,7000,4,0.00443290066449688,0.0844304263133454,9068.5,7,0.0057428228108557,0.109379617288939
harry_osterman,Harry Osterman,reviewed_named_recipient,2011,2019,3,48,5,5,0,754919.21,1268,78618.98,83,0.10414224324746,17320,20,0.0229428523881383,0.220303036238832,22500,13,0.029804513783667,0.286190433913032,25098.98,38,0.0332472397940437,0.319248354532201,13700,12,0.0181476372816106,0.174258175315935
patrick_o_connor,Patrick O'Connor,reviewed_named_recipient,2003,2015,4,40,4,4,0,2878527.31,9954,76335,190,0.0265187687241362,65435,169,0.0227321101914437,0.857208357896116,1000,2,0.000347399865384637,0.0131001506517325,6900,15,0.00239705907115399,0.0903910394969542,3000,4,0.00104219959615391,0.0393004519551975
patrick_daley_thompson,Patrick Daley Thompson,reviewed_named_recipient,2015,2019,2,11,4,4,0,1337637.41,1788,72770.81,63,0.0544024931240522,42900,47,0.0320714714460625,0.589522089969866,1250,2,0.00093448343374308,0.017177217073714,26120.81,12,0.0195275713767605,0.358946258808992,2500,2,0.00186896686748616,0.0343544341474281
emma_mitts,Emma Mitts,reviewed_named_recipient,2003,2023,6,37,6,6,0,1215178.59,1500,68246.87,41,0.0561620082526306,40800,24,0.033575311757262,0.597829614750098,0,0,0,0,24454.13,14,0.020123898002515,0.358318703846785,2992.74,3,0.00246279849285363,0.0438516814031178
thomas_allen,Thomas Allen,reviewed_named_recipient,2003,2007,2,38,3,1,0,810473.38,2353,66370,136,0.0818904132298583,57260,119,0.0706500687289692,0.862739189392798,0,0,0,0,4910,9,0.00605818787040236,0.073979207473256,4200,8,0.00518215663048674,0.0632816031339461
carrie_austin,Carrie Austin,reviewed_named_recipient,2003,2019,5,34,10,10,0,1960912.51,2815,64850,79,0.033071337792628,55750,57,0.0284306412018352,0.859676175790285,750,2,0.000382474993746661,0.0115651503469545,7800,18,0.00397773993496528,0.120277563608327,550,2,0.000280481662080885,0.00848111025443331
sandi_jackson,Sandi Jackson,reviewed_named_recipient,2007,2011,2,7,2,2,0,746212.11,401,63518.61,31,0.085121387268829,1900,5,0.00254619293165853,0.0299124933621816,0,0,0,0,59118.61,25,0.079224940479725,0.930728962740211,2500,1,0.00335025385744544,0.0393585438976073
margaret_laurino,Margaret Laurino,reviewed_named_recipient,2003,2015,4,39,4,4,0,1455740.08,3588,63500,147,0.0436204243273978,26900,73,0.0184785734552284,0.423622047244094,12450,15,0.00855235091143468,0.196062992125984,16800,46,0.0115405217118155,0.264566929133858,7350,13,0.00504897824891927,0.115748031496063
jessie_fuentes,Jessie Fuentes,reviewed_named_recipient,2023,2023,1,26,1,1,0,198907.37,224,61316.77,22,0.308267964128227,4000,3,0.0201098631991364,0.0652350083019703,5500,2,0.0276510618988125,0.0896981364152091,49709.46,13,0.249912610075735,0.810699258946615,2107.31,4,0.010594428954543,0.0343675963362062
sophia_king,Sophia King,reviewed_named_recipient,2019,2019,1,4,1,1,0,576599.79,803,58764.27,31,0.101915177596579,25250,17,0.0437912056818474,0.42968286681686,1000,1,0.00173430517551871,0.0170171432402717,31014.27,12,0.0537882089759346,0.527774275082461,1500,1,0.00260145776327806,0.0255257148604075
ariel_reboyras,Ariel Reboyras,reviewed_named_recipient,2003,2019,5,30,5,5,0,1041462.83,1448,58560,46,0.0562286029929652,29360,23,0.0281911165278938,0.501366120218579,1000,2,0.000960187892639433,0.0170765027322404,25700,18,0.0246768288408334,0.438866120218579,2500,3,0.00240046973159858,0.0426912568306011
julia_ramirez,Julia Ramirez,reviewed_named_recipient,2023,2023,1,12,1,1,0,121164.7,156,58518.9,14,0.482969874889304,0,0,0,0,5000,1,0.0412661443473223,0.0854424809762316,52189.84,11,0.430734694180731,0.891845882270514,1329.06,2,0.0109690363612504,0.0227116367532541
roberto_maldonado,Roberto Maldonado,reviewed_named_recipient,2011,2019,3,26,3,3,0,1783154.1,1622,58400,33,0.0327509551754388,9250,8,0.00518743724953441,0.158390410958904,15000,1,0.00841206040465039,0.256849315068493,34150,24,0.0191514575212541,0.584760273972603,0,0,0,0
james_cappleman,James Cappleman,reviewed_named_recipient,2011,2019,3,46,3,3,0,1399135.69,2085,53500,63,0.0382378924234289,18550,26,0.0132581851299926,0.346728971962617,3450,5,0.00246580801609028,0.0644859813084112,31500,32,0.022513899277346,0.588785046728972,0,0,0,0
virginia_rugai,Virginia Rugai,reviewed_named_recipient,2003,2007,2,19,2,2,0,512275.38,1240,52615,81,0.10270842998545,37215,64,0.0726464738555267,0.707307801957617,1000,1,0.00195207507337167,0.019005986885869,6100,9,0.0119076579475672,0.115936520003801,8300,7,0.0162022231089849,0.157749691152713
ruth_cruz,Ruth Cruz,reviewed_named_recipient,2023,2023,1,30,1,1,0,212048.05,171,49770.16,12,0.234711708030326,43500,7,0.205142183575845,0.874017684492073,0,0,0,0,4270.16,3,0.0201376999222582,0.0857975943818545,2000,2,0.00943182453222277,0.0401847211260723
stephanie_coleman,Stephanie Coleman,reviewed_named_recipient,2019,2023,2,16,2,2,0,631489.48,668,48250,27,0.0764066568456532,17250,17,0.0273163695458553,0.357512953367876,5000,1,0.00791778827416096,0.103626943005181,25500,8,0.0403807201982209,0.528497409326425,500,1,0.000791778827416096,0.0103626943005181
anthony_beale,Anthony Beale,reviewed_named_recipient,2003,2023,6,9,6,6,0,1949321.33,2501,47560,59,0.0243982350513755,34860,43,0.017883147054057,0.732968881412952,0,0,0,0,10200,13,0.00523259036005111,0.214465937762826,2500,3,0.00128249763726743,0.052565180824222
howard_brookins,Howard Brookins,reviewed_named_recipient,2003,2019,5,21,9,9,0,1932328.43,2044,46500,29,0.0240642321864508,26750,16,0.0138434023868292,0.575268817204301,500,1,0.000258755184800547,0.010752688172043,19250,12,0.00996207461482104,0.413978494623656,0,0,0,0
brian_hopkins,Brian Hopkins,reviewed_named_recipient,2015,2023,3,2,3,3,0,3114826.72,2967,38850,54,0.0124726039334862,32100,44,0.0103055491960079,0.826254826254826,1500,2,0.000481567719439623,0.0386100386100386,5250,8,0.00168548701803868,0.135135135135135,0,0,0,0
jeylu_gutierrez,Jeylu Gutierrez,reviewed_named_recipient,2023,2023,1,14,1,1,0,150028.7,135,37542.85,12,0.250237787836594,6500,6,0.0433250438082847,0.173135497171898,0,0,0,0,24500,4,0.163302088200458,0.652587643186386,6542.85,2,0.0436106558278516,0.174276859641716
william_banks,William Banks,reviewed_named_recipient,2003,2007,2,36,4,4,0,1053992.37,1686,36950,45,0.0350571797782559,14100,24,0.0133777059505658,0.381596752368065,0,0,0,0,20500,16,0.0194498561692624,0.554803788903924,2350,5,0.00222961765842764,0.0635994587280108
michael_zalewski,Michael Zalewski,reviewed_named_recipient,2003,2015,4,23,4,4,0,1189193.23,1834,36280,50,0.030508078153119,21080,32,0.0177263034031904,0.58103638368247,0,0,0,0,4100,8,0.00344771555754652,0.113009922822492,11100,10,0.00933405919238205,0.305953693495039
timmy_knudsen,Timmy Knudsen,reviewed_named_recipient,2023,2023,1,43,1,1,0,590342.05,556,35629.81,15,0.0603545181983902,13000,8,0.0220211316473221,0.364863017793247,0,0,0,0,10250,4,0.0173628153373116,0.287680456336983,12379.81,3,0.0209705712137565,0.34745652586977
george_cardenas,George Cardenas,reviewed_named_recipient,2003,2019,5,12,5,5,0,3680794.8,3855,34925,32,0.00948843983370114,18925,20,0.00514155257989389,0.541875447387259,1750,2,0.000475440793385168,0.0501073729420186,13750,9,0.0037356062337406,0.393700787401575,500,1,0.000135840226681477,0.0143163922691482
fredrenna_lyle,Fredrenna Lyle,reviewed_named_recipient,2003,2007,2,6,2,0,0,264768.02,469,31971.3,15,0.120752121045434,2000,3,0.00755378236389727,0.0625561050066779,0,0,0,0,24971.3,9,0.0943138827717939,0.781053632476628,5000,3,0.0188844559097432,0.156390262516695
mary_o_connor,Mary O'Connor,reviewed_named_recipient,2011,2011,1,41,1,1,0,134866.71,281,27320.5,23,0.202574082217917,1450,6,0.010751355912812,0.0530736992368368,500,1,0.0037073641078662,0.0183012755989092,25370.5,16,0.188115362197239,0.928625025164254,0,0,0,0
dick_mell,Dick Mell,reviewed_named_recipient,2003,2011,3,33,3,3,0,1629188.25,2726,25600,42,0.0157133468155077,20550,34,0.0126136436351048,0.802734375,500,1,0.000306901304990384,0.01953125,2750,4,0.00168795717744711,0.107421875,1800,3,0.00110484469796538,0.0703125
derrick_curtis,Derrick Curtis,reviewed_named_recipient,2015,2023,3,18,3,3,0,227728,157,25500,18,0.111975690297197,16500,9,0.0724548584275978,0.647058823529412,0,0,0,0,9000,9,0.0395208318695988,0.352941176470588,0,0,0,0
proco_joe_moreno,Proco Joe Moreno,reviewed_named_recipient,2011,2015,2,1,2,2,0,1090277.28,1434,22050,27,0.0202242130552331,3550,7,0.00325605244199897,0.160997732426304,0,0,0,0,18500,20,0.0169681606132341,0.839002267573696,0,0,0,0
michael_scott_jr,Michael Scott Jr.,reviewed_named_recipient,2015,2019,2,24,5,5,0,468650.3,499,21800,18,0.0465165604289595,10300,8,0.0219780079090955,0.472477064220184,0,0,0,0,11500,10,0.024538552519864,0.527522935779817,0,0,0,0
toni_preckwinkle,Toni Preckwinkle,reviewed_named_recipient,2003,2007,2,4,2,2,0,1390807.13,2295,20650,46,0.014847493627675,9750,25,0.00701031781451969,0.472154963680387,0,0,0,0,7800,16,0.00560825425161575,0.37772397094431,3100,5,0.00222892156153959,0.150121065375303
monique_scott,Monique Scott,reviewed_named_recipient,2023,2023,1,24,1,1,0,384028.45,258,20250,11,0.052730468276504,17250,9,0.0449185470503553,0.851851851851852,0,0,0,0,2000,1,0.00520794748409916,0.0987654320987654,1000,1,0.00260397374204958,0.0493827160493827
burton_natarus,Burton Natarus,reviewed_named_recipient,2003,2003,1,42,1,1,0,1463605.06,1986,19700,25,0.013459915204174,17000,21,0.0116151552523329,0.862944162436548,0,0,0,0,2200,3,0.0015031377385372,0.111675126903553,500,1,0.000341622213303909,0.0253807106598985
todd_stroger,Todd Stroger,reviewed_named_recipient,2003,2003,1,8,1,1,0,228475.36,540,18460,38,0.0807964587516133,9210,23,0.0403106925840931,0.498916576381365,3500,3,0.0153189385498725,0.189599133261105,3000,7,0.0131305187570336,0.162513542795233,2750,5,0.0120363088606141,0.148970747562297
brian_doherty,Brian Doherty,reviewed_named_recipient,2003,2007,2,41,2,2,0,422852.62,1326,18215,53,0.0430764742571537,11715,41,0.0277046882197395,0.643151248970629,0,0,0,0,2000,3,0.00472978031920436,0.109799615701345,4500,9,0.0106420057182098,0.247049135328026
eugene_schulter,Eugene Schulter,reviewed_named_recipient,2003,2007,2,47,2,2,0,1231263,2820,17010,45,0.0138150825615648,9360,32,0.0076019501926071,0.55026455026455,1000,1,0.000812174165876827,0.0587889476778366,4050,7,0.00328930537180115,0.238095238095238,2600,5,0.00211165283127975,0.152851263962375
gregory_mitchell,Gregory Mitchell,reviewed_named_recipient,2015,2023,3,7,3,3,0,228078.45,274,15500,13,0.0679590728540991,11750,9,0.0515173616797203,0.758064516129032,0,0,0,0,3750,4,0.0164417111743788,0.241935483870968,0,0,0,0
billy_ocasio,Billy Ocasio,reviewed_named_recipient,2003,2007,2,26,2,2,0,909038.94,1193,15140,37,0.0166549520969916,3890,15,0.00427924462729836,0.256935270805812,0,0,0,0,8700,18,0.00957054710989609,0.574636723910172,2550,4,0.00280516035979713,0.168428005284016
