month,ward,alderman
Aug 1998,16,Shirley Coleman
Aug 1998,17,Terry Peterson
Aug 1998,18,Thomas Murphy
Aug 1998,19,Virginia Rugai
Aug 1998,20,Arenda Troutman
Aug 1998,21,Leonard DeVille
Aug 1998,22,Ricardo Munoz
Aug 1998,23,Michael Zalewski
Aug 1998,24,Michael Chandler
Aug 1998,25,Daniel Solis
Aug 1998,26,Billy Ocasio
Aug 1998,27,"Walter Burnett, Jr."
Aug 1998,28,Ed Smith
Aug 1998,29,Sam Burrell
Aug 1998,30,Michael Wojcik
Aug 1998,31,Ray Suarez
Aug 1998,32,Theodore Matlak
Aug 1998,33,Dick Mell
Aug 1998,34,Carrie Austin
Aug 1998,35,Vilma Colom
Aug 1998,36,William Banks
Aug 1998,37,Percy Z. Giles
Aug 1998,38,Thomas Allen
Aug 1998,39,Margaret Laurino
Aug 1998,40,Patrick O'Connor
Aug 1998,41,Brian Doherty
Aug 1998,42,Burton Natarus
Aug 1998,43,Charles Bernardini
Aug 1998,44,Bernie Hansen
Aug 1998,45,Patrick Levar
Aug 1998,46,Helen Shiller
Aug 1998,47,Eugene Schulter
Aug 1998,48,Mary Ann Smith
Aug 1998,49,Joe Moore
Aug 1998,50,Bernard Stone
Sep 1998,1,Jesse Granato
Sep 1998,2,Madeline Haithcock
Sep 1998,3,Dorothy Tillman
Sep 1998,4,Toni Preckwinkle
Sep 1998,5,Barbara Holt
Sep 1998,6,Fredrenna Lyle
Sep 1998,7,William Beavers
Sep 1998,8,Lorraine Dixon
Sep 1998,9,Robert Shaw
Sep 1998,10,John J. Buchanan
Sep 1998,11,James Balcer
Sep 1998,12,Ray Frias
Sep 1998,13,Frank Olivo
Sep 1998,14,Ed Burke
Sep 1998,15,Virgil E. Jones
Sep 1998,16,Shirley Coleman
Sep 1998,17,Terry Peterson
Sep 1998,18,Thomas Murphy
Sep 1998,19,Virginia Rugai
Sep 1998,20,Arenda Troutman
Sep 1998,21,Leonard DeVille
Sep 1998,22,Ricardo Munoz
Sep 1998,23,Michael Zalewski
Sep 1998,24,Michael Chandler
Sep 1998,25,Daniel Solis
Sep 1998,26,Billy Ocasio
Sep 1998,27,"Walter Burnett, Jr."
Sep 1998,28,Ed Smith
Sep 1998,29,Sam Burrell
Sep 1998,30,Michael Wojcik
Sep 1998,31,Ray Suarez
Sep 1998,32,Theodore Matlak
Sep 1998,33,Dick Mell
Sep 1998,34,Carrie Austin
Sep 1998,35,Vilma Colom
Sep 1998,36,William Banks
Sep 1998,37,Percy Z. Giles
Sep 1998,38,Thomas Allen
Sep 1998,39,Margaret Laurino
Sep 1998,40,Patrick O'Connor
Sep 1998,41,Brian Doherty
Sep 1998,42,Burton Natarus
Sep 1998,43,Charles Bernardini
Sep 1998,44,Bernie Hansen
Sep 1998,45,Patrick Levar
Sep 1998,46,Helen Shiller
Sep 1998,47,Eugene Schulter
Sep 1998,48,Mary Ann Smith
Sep 1998,49,Joe Moore
Sep 1998,50,Bernard Stone
Oct 1998,1,Jesse Granato
Oct 1998,2,Madeline Haithcock
Oct 1998,3,Dorothy Tillman
Oct 1998,4,Toni Preckwinkle
Oct 1998,5,Barbara Holt
Oct 1998,6,Fredrenna Lyle
Oct 1998,7,William Beavers
Oct 1998,8,Lorraine Dixon
Oct 1998,9,Robert Shaw
Oct 1998,10,John J. Buchanan
Oct 1998,11,James Balcer
Oct 1998,12,Ray Frias
Oct 1998,13,Frank Olivo
Oct 1998,14,Ed Burke
Oct 1998,15,Virgil E. Jones
Oct 1998,16,Shirley Coleman
Oct 1998,17,Terry Peterson
Oct 1998,18,Thomas Murphy
Oct 1998,19,Virginia Rugai
Oct 1998,20,Arenda Troutman
Oct 1998,21,Leonard DeVille
Oct 1998,22,Ricardo Munoz
Oct 1998,23,Michael Zalewski
Oct 1998,24,Michael Chandler
Oct 1998,25,Daniel Solis
Oct 1998,26,Billy Ocasio
Oct 1998,27,"Walter Burnett, Jr."
Oct 1998,28,Ed Smith
Oct 1998,29,Sam Burrell
Oct 1998,30,Michael Wojcik
Oct 1998,31,Ray Suarez
Oct 1998,32,Theodore Matlak
Oct 1998,33,Dick Mell
Oct 1998,34,Carrie Austin
Oct 1998,35,Vilma Colom
Oct 1998,36,William Banks
Oct 1998,37,Percy Z. Giles
Oct 1998,38,Thomas Allen
Oct 1998,39,Margaret Laurino
Oct 1998,40,Patrick O'Connor
Oct 1998,41,Brian Doherty
Oct 1998,42,Burton Natarus
Oct 1998,43,Charles Bernardini
Oct 1998,44,Bernie Hansen
Oct 1998,45,Patrick Levar
Oct 1998,46,Helen Shiller
Oct 1998,47,Eugene Schulter
Oct 1998,48,Mary Ann Smith
Oct 1998,49,Joe Moore
Oct 1998,50,Bernard Stone
Nov 1998,1,Jesse Granato
Nov 1998,2,Madeline Haithcock
Nov 1998,3,Dorothy Tillman
Nov 1998,4,Toni Preckwinkle
Nov 1998,5,Barbara Holt
Nov 1998,6,Fredrenna Lyle
Nov 1998,7,William Beavers
Nov 1998,8,Lorraine Dixon
Nov 1998,9,Robert Shaw
Nov 1998,10,John J. Buchanan
Nov 1998,11,James Balcer
Nov 1998,12,Ray Frias
Nov 1998,13,Frank Olivo
Nov 1998,14,Ed Burke
Nov 1998,15,Virgil E. Jones
Nov 1998,16,Shirley Coleman
Nov 1998,17,Terry Peterson
Nov 1998,18,Thomas Murphy
Nov 1998,19,Virginia Rugai
Nov 1998,20,Arenda Troutman
Nov 1998,21,Leonard DeVille
Nov 1998,22,Ricardo Munoz
Nov 1998,23,Michael Zalewski
Nov 1998,24,Michael Chandler
Nov 1998,25,Daniel Solis
Nov 1998,26,Billy Ocasio
Nov 1998,27,"Walter Burnett, Jr."
Nov 1998,28,Ed Smith
Nov 1998,29,Sam Burrell
Nov 1998,30,Michael Wojcik
Nov 1998,31,Ray Suarez
Nov 1998,32,Theodore Matlak
Nov 1998,33,Dick Mell
Nov 1998,34,Carrie Austin
Nov 1998,35,Vilma Colom
Nov 1998,36,William Banks
Nov 1998,37,Percy Z. Giles
Nov 1998,38,Thomas Allen
Nov 1998,39,Margaret Laurino
Nov 1998,40,Patrick O'Connor
Nov 1998,41,Brian Doherty
Nov 1998,42,Burton Natarus
Nov 1998,43,Charles Bernardini
Nov 1998,44,Bernie Hansen
Nov 1998,45,Patrick Levar
Nov 1998,46,Helen Shiller
Nov 1998,47,Eugene Schulter
Nov 1998,48,Mary Ann Smith
Nov 1998,49,Joe Moore
Nov 1998,50,Bernard Stone
Dec 1998,1,Jesse Granato
Dec 1998,2,Madeline Haithcock
Dec 1998,3,Dorothy Tillman
Dec 1998,4,Toni Preckwinkle
Dec 1998,5,Barbara Holt
Dec 1998,6,Fredrenna Lyle
Dec 1998,7,William Beavers
Dec 1998,8,Lorraine Dixon
Dec 1998,9,Robert Shaw
Dec 1998,10,John J. Buchanan
Dec 1998,11,James Balcer
Dec 1998,12,Ray Frias
Dec 1998,13,Frank Olivo
Dec 1998,14,Ed Burke
Dec 1998,15,Virgil E. Jones
Dec 1998,16,Shirley Coleman
Dec 1998,17,Terry Peterson
Dec 1998,18,Thomas Murphy
Dec 1998,19,Virginia Rugai
