draw,density_multifamily_far_binary,density_multifamily_dupac_binary,density_multifamily_far_continuous,density_multifamily_dupac_continuous
56,-0.1715039733530311,-0.28809065876346646,-0.14861332476289957,-0.16872912272187085
57,-0.18700276715505024,-0.07237950055544262,-0.20550202262123346,-0.1873611438455053
58,-0.16092268098990087,-0.1876315956015997,-0.07920497593171623,-0.052277746855778975
59,-0.27564528514931425,-0.3028848080145469,-0.24521186490731123,-0.14070344559114653
60,-0.2926252185540761,-0.2364639610531386,-0.2224036415856556,-0.187907148937699
61,-0.15831251815670305,-0.021302600363250584,-0.21145230259593872,-0.15210126953355055
62,-0.28894176794438786,-0.1582034183113901,-0.2960537922477346,-0.2023017548094065
63,-0.2747818264615496,-0.2783422741084842,-0.12385919040631332,-0.11065261114622375
64,-0.3539998200693626,-0.27644418958285744,-0.3458955427553099,-0.3243719100125058
65,-0.11171792470702697,-0.09069525758943724,-0.2333201398203793,-0.1094815232821007
66,-0.1472415413636227,-0.31211012735007493,-0.1540489463962711,-0.1868133018561181
67,-0.1708090086315855,-0.09759502900930854,-0.1939552101941876,-0.16571763684705593
68,-0.1855460055020261,-0.2342564906173145,-0.18888399643651566,-0.12466168717076966
69,-0.1991545505051222,-0.2601070319352464,-0.11054888466903771,-0.0826515737189157
70,-0.29682128115511786,-0.15589636364875903,-0.25011312637860367,-0.17912912159625044
71,-0.30076754103682,-0.1855415685521419,-0.23726478781849117,-0.17550972490166697
72,-0.22493613075734498,-0.34676047910143754,-0.24947497648323025,-0.24918955233207912
73,-0.15893653154547002,-0.27880692200696644,-0.20767734362080104,-0.21327605253801116
74,-0.07184622729500853,-0.044055408571181016,-0.04002828594665877,-0.08194580243581974
75,-0.32584775643656294,-0.17012628156794826,-0.16763484903040043,-0.10385456769765539
76,-0.24858190915921416,-0.2843138761732434,-0.1684036276822801,-0.11804608318966364
77,-0.29520970974251237,-0.30443376567672054,-0.18109579477853063,-0.12571481151208833
78,-0.14871430592253962,-0.2706946180777011,-0.08251230646977825,-0.06044934534030494
79,-0.16611016905303874,-0.251270908239965,-0.1858667377850846,-0.14479603191527368
80,-0.2993555067341388,-0.2595027997375347,-0.1959744568205333,-0.11317897588261336
81,-0.2883035383160661,-0.3013759665175034,-0.18746615806974254,-0.14442220076926263
82,-0.18870445537986225,-0.2208571331121651,-0.05029517539739554,-0.07248674010475635
83,-0.240219638859138,-0.3063629181863234,-0.24775201461843993,-0.19546851893162354
84,-0.16842434953623833,-0.11314206221015036,-0.1774373356572352,-0.12589213566888496
85,-0.2569121626330023,-0.2735330809855552,-0.23838095602085596,-0.19066611878963596
86,-0.2641191876506118,-0.07649007360247044,-0.2212740718536383,-0.17850973121607172
87,-0.22167809767771599,-0.2575006135137144,-0.15107429043638831,-0.13888268476526155
88,-0.10065428833713942,-0.19555936738473503,-0.06097004796838322,-0.052152146439380834
89,-0.1702903886845792,-0.27499417938081305,-0.24549526064030822,-0.23187246472316572
90,-0.21930838992005772,-0.3116341038178605,-0.18857954277570893,-0.1650389332489224
91,-0.21837512977545373,-0.34737649697684925,-0.14337246025972916,-0.13299577156994902
92,-0.24179356134472754,-0.27942830727128415,-0.07311630852076147,-0.09455986621844371
93,-0.2086308943433156,-0.23550614955322194,-0.20620647734260267,-0.19446026055844817
94,-0.12913311794957708,-0.18833820513394134,-0.2029762021523417,-0.16574477390684447
95,-0.20603146418816762,-0.13011357222872624,-0.17364169203510338,-0.1743760618618474
96,-0.2970387488631557,-0.39911685779629347,-0.2122808309945482,-0.18183791534205565
97,-0.2782974120591137,-0.1855210210236774,-0.19812226287551976,-0.1979442734996979
98,-0.13892952528915384,-0.12066390483360669,-0.13569708061928296,-0.14331718524915116
99,-0.2564656746271165,-0.1542979928625447,-0.14343048492076457,-0.1467802871939294
100,-0.35800303769612846,-0.30877102117775657,-0.15527056757432256,-0.15036239955439717
101,-0.3327462072944663,-0.3243014369577488,-0.2179571417317367,-0.1883713946193792
102,-0.15357639372597195,-0.233345616668934,-0.19949161609159197,-0.14561789527496544
103,-0.2209540856284358,-0.29467445121435887,-0.1557518650948237,-0.17037556793183284
104,-0.20929920315058845,-0.2681333405589997,-0.099972724635477,-0.09339532143923837
105,-0.28161848158515446,-0.2567263282250893,-0.1837332962904177,-0.13275975563558925
106,-0.31279130311639725,-0.3054991269583201,-0.18143222984826182,-0.15422716879143739
107,-0.2627500618759584,-0.1564644305519577,-0.19837286477185492,-0.16237522917534075
108,-0.3252707620573511,-0.3420624761547574,-0.1534149232177867,-0.11458040862683944
109,-0.2927095694930154,-0.28029732370956534,-0.08687701911923434,-0.03522356944940651
110,-0.27702775599000373,-0.1969666148439077,-0.21091389851908512,-0.16307402386813336
111,-0.1539012996205619,-0.3277490477891785,-0.10499411116562447,-0.1373676553867688
112,-0.13094605272021098,-0.14783367973775188,-0.07129001570139577,-0.05520156120058001
113,-0.19351678582031273,-0.26027700747792343,-0.2986415995380617,-0.28029839942401585
114,-0.21415977890694032,-0.2576517948687665,-0.1464849441675452,-0.1879210499523298
115,-0.26445926755204313,-0.31722680182106533,-0.3015806904672694,-0.2657973779147488
116,-0.27823213345626285,-0.31006223785045983,-0.2769917415139022,-0.20491427028499554
117,-0.0755318692847716,-0.18005554370610857,-0.1647139684776401,-0.15617446599055612
118,-0.2447534134013605,-0.2744141028103445,-0.09301537598490256,-0.09027203623427808
119,-0.2514381731381861,-0.2516844232481003,-0.26867738921738454,-0.1503236268650523
120,-0.16131901756488787,-0.300931869148026,-0.0916400610793767,-0.1638696131762826
121,-0.15724524011805158,-0.12914322152994098,-0.08218700950303727,-0.09384465121145899
122,-0.19251675845063004,-0.338152400472992,-0.19185859028051977,-0.18672621925168734
123,-0.3904597868569961,-0.3693114635068669,-0.19482259499400714,-0.13511591030585743
124,-0.3100521147072957,-0.3585324990726122,-0.22001858953763145,-0.16823694039590603
125,-0.44515125951289697,-0.4226400707499329,-0.2368221230464293,-0.1959467637375384
126,-0.18315068814413712,-0.1602622052699702,-0.13966843754232777,-0.10585210081280454
127,-0.3443607937014194,-0.4166718435192503,-0.14891971270146184,-0.14929832174300559
128,-0.28244007464726095,-0.15378240873792554,-0.13224578774233114,-0.11531572880824069
129,-0.21273198490548786,-0.23789144224413683,-0.07858826995352801,-0.049764438114927104
130,-0.16616253662876962,-0.00245495868762445,-0.0993782516493994,-0.049394663058213266
131,-0.3221549858849087,-0.3621622393847291,-0.1510064447621589,-0.10902100351335753
132,-0.23604892103311448,-0.2386408763762794,-0.09869165184324487,-0.05990351535819812
133,-0.10719168697467588,-0.19166488871486756,-0.22595461833385103,-0.20607789812145633
134,-0.3168921168588515,-0.20288410507758467,-0.16383814832641966,-0.1291160470890846
135,-0.31710894618906843,-0.3379111734438695,-0.17474462905554508,-0.12572604253588185
136,-0.2153781856466414,-0.2767827573865596,-0.2419335811424435,-0.19876867775915513
137,-0.23473531154465427,-0.27569555854489397,-0.16242345714429135,-0.10619897937489671
138,-0.21758983742041152,-0.17832535206861258,-0.274478235779984,-0.2377101221830743
139,-0.2507530015201916,-0.15109169291752755,-0.19974144576723693,-0.1891380420450423
140,-0.25020932450327593,-0.20532811347889732,-0.203962646297212,-0.14199930380726258
141,-0.10013946422324906,-0.1824433357989267,-0.12569266560019607,-0.08729355187465361
142,-0.18303545630533102,-0.13826605018479265,-0.16647961562563843,-0.15776128909329584
143,-0.22943161452348773,-0.13685987903080943,-0.23442170550850946,-0.19692411027458015
144,-0.22359306568637496,-0.301598396066907,-0.1651493895086669,-0.20793698301763064
145,-0.25924686899436117,-0.25539512994753344,-0.24021434356845844,-0.2487519878170856
146,-0.26516011896930913,-0.36600464939785454,-0.1863088794014536,-0.1868523523224738
147,-0.24145133203335611,-0.2763691448896951,-0.19416803420760245,-0.1107231583628864
148,-0.2797091669804166,-0.22007131394067217,-0.1973178693008419,-0.1579851400056663
149,-0.32398125950055945,-0.3539838353724409,-0.22740130110391849,-0.16048805174514677
150,-0.19750349209988127,-0.24112897820670723,-0.282032627267278,-0.2378317790877938
151,-0.16183069778075193,-0.21646481095143508,-0.1396781178976388,-0.14211995522101048
152,-0.1625992414371223,-0.1554827040571497,-0.11941287797399552,-0.12590036917162545
153,-0.14067302434266857,-0.20046431950140217,-0.243294592910645,-0.15644550639476956
154,-0.24388078165552765,-0.2891332796401308,-0.2138810015368968,-0.16681411116427192
155,-0.24636240730413755,-0.1243860880337606,-0.17682386546148599,-0.11227252818088941
156,-0.21730046915064305,-0.2812698183529132,-0.2318031634625731,-0.2052706152195329
157,-0.22270552380666517,-0.2648900371971845,-0.16021236615790277,-0.09993976988414878
158,-0.29991650516733276,-0.22477614655304848,-0.24939606574299927,-0.2208824333493257
159,-0.22383317664521943,-0.12084933067835088,-0.2307771712831733,-0.22472444156886406
160,-0.2968713034823192,-0.09161855428277342,-0.2225034492099397,-0.12049301911131846
161,-0.33189999077959476,-0.22594665383176524,-0.14135736088142226,-0.115748569440329
162,-0.31904319502653467,-0.32979130559902636,-0.2187464345430803,-0.1444190823608658
163,-0.137729491685922,-0.1685323271910713,-0.04002150973538699,-0.019680189818015108
164,-0.2830192410656515,-0.318676865328241,-0.22334560510765994,-0.19691535480229813
165,-0.3371728017331233,-0.38020049602856554,-0.2486146870396884,-0.20630031475894997
166,-0.10325592539809265,-0.10171393923503465,-0.18669318892910797,-0.10119317196609058
167,-0.27235891791627354,-0.15009098812756716,-0.2290056957644253,-0.16632685035172992
168,-0.13682551126725329,-0.2615050423614488,-0.10988516651138296,-0.14887542369288556
169,-0.2447170417251073,-0.21539230501375028,-0.14171530635730162,-0.12310821244353727
170,-0.23506222719537884,-0.25199985075161196,-0.10428312867411799,-0.05451597879575264
171,-0.19715294388140572,-0.33017159299036514,-0.20096542234562048,-0.18626175902742134
172,-0.2765370662872812,-0.13702896013662644,-0.19222442114981744,-0.13312828425798193
173,-0.3173614870058736,-0.13951561165685344,-0.13356501288980985,-0.05832394445674217
174,-0.1939431637875504,-0.22198733518270597,-0.2376250166860298,-0.18326493100578328
175,-0.1441914899655376,-0.1709641175293453,-0.12412743017086025,-0.10591641800900321
176,-0.1729122681785722,-0.1327394848555237,-0.10308524900517758,-0.14550802055319914
