component_id,card_id,successor_id,project_id,card_num,card_units,card_building_sqft,project_pin,construction_year,within_500ft,successor_type,successor_pin,successor_pin10,successor_address,successor_year,year_gap,successor_class,successor_units,successor_building_sqft,successor_land_sqft,successor_x_3435,successor_y_3435,represented_project_ids,search_geometry_source,projects_per_condo_base,within_one_year,within_two_years,automatic_candidate,building_ratio,match_quality
episode_013,13243050060000_card_4,noncondo_13243050380000,residential_multicard_13243050060000,4,1,2324,13243050060000,2006,FALSE,current_noncondo_parcel,13243050380000,1324305038,3021 W CORNELIA AVE,2007,1,295,1,2324,1254,1155555.1491250007,1923032.577125002,residential_13243050380000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_013,13243050060000_card_5,noncondo_13243050350000,residential_multicard_13243050060000,5,1,1762,13243050060000,2006,FALSE,current_noncondo_parcel,13243050350000,1324305035,3011 W CORNELIA AVE,2007,1,295,1,1762,961,1155632.8189185895,1923033.572255026,residential_13243050350000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_013,13243050060000_card_6,noncondo_13243050400000,residential_multicard_13243050060000,6,1,1762,13243050060000,2006,FALSE,current_noncondo_parcel,13243050400000,1324305040,3457 N WHIPPLE ST,2007,1,295,1,1762,999,1155496.5397779,1923014.1948983136,residential_13243050400000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_013,13243050060000_card_7,noncondo_13243050410000,residential_multicard_13243050060000,7,1,1762,13243050060000,2006,FALSE,current_noncondo_parcel,13243050410000,1324305041,3455 N WHIPPLE ST,2007,1,295,1,1762,975,1155496.8510364625,1922995.9841809089,residential_13243050410000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_013,13243050060000_card_8,noncondo_13243050420000,residential_multicard_13243050060000,8,1,1762,13243050060000,2006,FALSE,current_noncondo_parcel,13243050420000,1324305042,3453 N WHIPPLE ST,2007,1,295,1,1762,975,1155497.366735801,1922977.991500051,residential_13243050420000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_013,13243050060000_card_9,noncondo_13243050430000,residential_multicard_13243050060000,9,1,1762,13243050060000,2006,FALSE,current_noncondo_parcel,13243050430000,1324305043,3451 N WHIPPLE ST,2007,1,295,1,1762,980,1155497.928638025,1922959.9537550004,residential_13243050430000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_014,13243050580000_card_1,noncondo_13243050690000,residential_multicard_13243050580000,1,1,1982,13243050580000,2014,FALSE,current_noncondo_parcel,13243050690000,1324305069,3445 N WHIPPLE ST,2014,0,295,1,1982,1142,1155501.2307190327,1922894.1315789376,residential_13243050690000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_014,13243050580000_card_2,noncondo_13243050700000,residential_multicard_13243050580000,2,1,1982,13243050580000,2014,FALSE,current_noncondo_parcel,13243050700000,1324305070,3443 N WHIPPLE ST,2014,0,295,1,1982,1135,1155501.6449126163,1922874.1364967776,residential_13243050700000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_014,13243050580000_card_3,noncondo_13243050710000,residential_multicard_13243050580000,3,1,1982,13243050580000,2014,FALSE,current_noncondo_parcel,13243050710000,1324305071,3441 N WHIPPLE ST,2014,0,295,1,1982,1129,1155502.0591588337,1922854.1414797471,residential_13243050710000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_014,13243050580000_card_4,noncondo_13243050720000,residential_multicard_13243050580000,4,1,1982,13243050580000,2014,FALSE,current_noncondo_parcel,13243050720000,1324305072,3439 N WHIPPLE ST,2014,0,295,1,1982,1123,1155502.4733985944,1922834.1464238665,residential_13243050720000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
