project_id,source_family,project_kind,component_pins,component_count,construction_year,dwelling_units,building_sqft,land_sqft,class_values,source_row_ids,permit_chain_ids,permit_numbers,year_source,units_source,building_source,land_source,current_distance_m,current_within_1500ft,candidate_status,decision_reason,replacement_project_ids,replacement_check
residential_14293230080000,residential,single_pin_single_card,14293230080000,1,2022,1,2961,3600,278,1429323008000022022,permit_chain_100946087,100946087,assessor_row:1429323008000022022,assessor_row:1429323008000022022,assessor_row:1429323008000022022,assessor_row:1429323008000022022,77.16168843418421,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294000090000,residential,single_pin_single_card,14294000090000,1,2003,4,7265,3120,212,1429400009000012022,NA,NA,assessor_row:1429400009000012022,assessor_row:1429400009000012022,assessor_row:1429400009000012022,assessor_row:1429400009000012022,60.33963823940415,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294000310000,residential,single_pin_single_card,14294000310000,1,1999,1,2634,2825,278,1429400031000012022,NA,NA,assessor_row:1429400031000012022,assessor_row:1429400031000012022,assessor_row:1429400031000012022,assessor_row:1429400031000012022,14.574500856904825,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294000320000,residential,single_pin_single_card,14294000320000,1,2001,1,2620,2550,278,1429400032000012022,NA,NA,assessor_row:1429400032000012022,assessor_row:1429400032000012022,assessor_row:1429400032000012022,assessor_row:1429400032000012022,10.23043568831608,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294010310000,residential,single_pin_single_card,14294010310000,1,2013,4,7975,3125,212,1429401031000012022,permit_chain_100303715,100303715,assessor_row:1429401031000012022,assessor_row:1429401031000012022,assessor_row:1429401031000012022,assessor_row:1429401031000012022,140.06451368685472,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294010460000,residential,single_pin_single_card,14294010460000,1,2002,2,5304,2896,212,1429401046000012022,NA,NA,assessor_row:1429401046000012022,assessor_row:1429401046000012022,assessor_row:1429401046000012022,assessor_row:1429401046000012022,69.5081234971876,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294020070000,residential,single_pin_single_card,14294020070000,1,2025,2,3680,3000,211,1429402007000022026,permit_chain_101068130,101068130,assessor_row:1429402007000022026,assessor_row:1429402007000022026,assessor_row:1429402007000022026,assessor_row:1429402007000022026,85.4609752102084,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294020100000,residential,single_pin_single_card,14294020100000,1,2002,1,3054,3000,278,1429402010000012022,NA,NA,assessor_row:1429402010000012022,assessor_row:1429402010000012022,assessor_row:1429402010000012022,assessor_row:1429402010000012022,40.11515276734911,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294030090000,residential,single_pin_single_card,14294030090000,1,2023,3,4828,3500,211,1429403009000022023,permit_chain_100970839,100970839,assessor_row:1429403009000022023,assessor_row:1429403009000022023,assessor_row:1429403009000022023,assessor_row:1429403009000022023,NA,FALSE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294030170000,residential,single_pin_single_card,14294030170000,1,2007,1,4610,3500,208,1429403017000012022,NA,NA,assessor_row:1429403017000012022,assessor_row:1429403017000012022,assessor_row:1429403017000012022,assessor_row:1429403017000012022,111.12507635572712,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294030230000,residential,single_pin_single_card,14294030230000,1,2006,1,4935,3500,208,1429403023000012022,NA,NA,assessor_row:1429403023000012022,assessor_row:1429403023000012022,assessor_row:1429403023000012022,assessor_row:1429403023000012022,83.22895777517509,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294030980000,residential,single_pin_single_card,14294030980000,1,1999,3,4032,3518,211,1429403098000012025,NA,NA,assessor_row:1429403098000012025,assessor_row:1429403098000012025,assessor_row:1429403098000012025,assessor_row:1429403098000012025,NA,FALSE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294050200000,residential,single_pin_single_card,14294050200000,1,2006,1,5072,4059,209,1429405020000012022,NA,NA,assessor_row:1429405020000012022,assessor_row:1429405020000012022,assessor_row:1429405020000012022,assessor_row:1429405020000012022,220.16335232975845,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294050210000,residential,single_pin_single_card,14294050210000,1,2005,1,5588,4059,209,1429405021000012022,NA,NA,assessor_row:1429405021000012022,assessor_row:1429405021000012022,assessor_row:1429405021000012022,assessor_row:1429405021000012022,214.0737814910653,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294050220000,residential,single_pin_single_card,14294050220000,1,2008,1,4915,4059,208,1429405022000012022,NA,NA,assessor_row:1429405022000012022,assessor_row:1429405022000012022,assessor_row:1429405022000012022,assessor_row:1429405022000012022,208.2923846080119,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294050280000,residential,single_pin_single_card,14294050280000,1,2007,1,4583,3690,208,1429405028000012022,NA,NA,assessor_row:1429405028000012022,assessor_row:1429405028000012022,assessor_row:1429405028000012022,assessor_row:1429405028000012022,183.7540468899348,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294060130000,residential,single_pin_single_card,14294060130000,1,2003,1,2716,2976,278,1429406013000012022,NA,NA,assessor_row:1429406013000012022,assessor_row:1429406013000012022,assessor_row:1429406013000012022,assessor_row:1429406013000012022,269.30071058766157,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294060160000,residential,single_pin_single_card,14294060160000,1,2002,1,3417,2976,278,1429406016000012022,NA,NA,assessor_row:1429406016000012022,assessor_row:1429406016000012022,assessor_row:1429406016000012022,assessor_row:1429406016000012022,121.60295437157887,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294060250000,residential,single_pin_single_card,14294060250000,1,2014,1,3495,2976,278,1429406025000012022,NA,NA,assessor_row:1429406025000012022,assessor_row:1429406025000012022,assessor_row:1429406025000012022,assessor_row:1429406025000012022,306.57141704367774,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294060260000,residential,single_pin_single_card,14294060260000,1,2005,1,3588,2976,278,1429406026000012022,NA,NA,assessor_row:1429406026000012022,assessor_row:1429406026000012022,assessor_row:1429406026000012022,assessor_row:1429406026000012022,303.3254351763897,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294060310000,residential,single_pin_single_card,14294060310000,1,2000,1,3645,2966,278,1429406031000012022,NA,NA,assessor_row:1429406031000012022,assessor_row:1429406031000012022,assessor_row:1429406031000012022,assessor_row:1429406031000012022,149.8168990260288,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294070080000,residential,single_pin_single_card,14294070080000,1,2006,1,4209,3100,208,1429407008000012022,NA,NA,assessor_row:1429407008000012022,assessor_row:1429407008000012022,assessor_row:1429407008000012022,assessor_row:1429407008000012022,373.87225423075057,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294070160000,residential,single_pin_single_card,14294070160000,1,2006,1,3734,3100,278,1429407016000012022,NA,NA,assessor_row:1429407016000012022,assessor_row:1429407016000012022,assessor_row:1429407016000012022,assessor_row:1429407016000012022,347.35474648075865,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294070170000,residential,single_pin_single_card,14294070170000,1,2026,1,3534,3100,278,1429407017000022026,permit_chain_101076888,101076888,assessor_row:1429407017000022026,assessor_row:1429407017000022026,assessor_row:1429407017000022026,assessor_row:1429407017000022026,134.23294360294793,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294070200000,residential,single_pin_single_card,14294070200000,1,2024,2,4064,3100,211,1429407020000022025,permit_chain_101053434,101053434,assessor_row:1429407020000022025,assessor_row:1429407020000022025,assessor_row:1429407020000022025,assessor_row:1429407020000022025,157.0753738086535,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294070260000,residential,single_pin_single_card,14294070260000,1,1999,1,3447,3980,278,1429407026000012018,NA,NA,assessor_row:1429407026000012018,assessor_row:1429407026000012018,assessor_row:1429407026000012018,assessor_row:1429407026000012018,NA,FALSE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294070280000,residential,single_pin_single_card,14294070280000,1,2001,1,3780,3100,278,1429407028000012022,NA,NA,assessor_row:1429407028000012022,assessor_row:1429407028000012022,assessor_row:1429407028000012022,assessor_row:1429407028000012022,231.85084206127337,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294070360000,residential,single_pin_single_card,14294070360000,1,2016,1,3672,3100,278,1429407036000012022,permit_chain_100528439,100528439,assessor_row:1429407036000012022,assessor_row:1429407036000012022,assessor_row:1429407036000012022,assessor_row:1429407036000012022,292.32385451286535,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294070410000,residential,single_pin_single_card,14294070410000,1,2016,1,3889,3100,208,1429407041000012022,permit_chain_100592196,100592196,assessor_row:1429407041000012022,assessor_row:1429407041000012022,assessor_row:1429407041000012022,assessor_row:1429407041000012022,330.3933188418114,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294070730000,residential,single_pin_single_card,14294070730000,1,2017,4,7200,3100,212,1429407073000012020,permit_chain_100571201,100571201,assessor_row:1429407073000012020,assessor_row:1429407073000012020,assessor_row:1429407073000012020,assessor_row:1429407073000012020,267.0296663844091,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14294071120000,residential,single_pin_single_card,14294071120000,1,2004,4,6625,3084,212,1429407112000012022,NA,NA,assessor_row:1429407112000012022,assessor_row:1429407112000012022,assessor_row:1429407112000012022,assessor_row:1429407112000012022,373.451738755128,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294071190000,residential,single_pin_single_card,14294071190000,1,2002,1,3897,4687,208,1429407119000012022,NA,NA,assessor_row:1429407119000012022,assessor_row:1429407119000012022,assessor_row:1429407119000012022,assessor_row:1429407119000012022,214.689289764848,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14294071200000,residential,single_pin_single_card,14294071200000,1,2019,1,3673,3078,278,1429407120000012025,NA,NA,assessor_row:1429407120000012025,assessor_row:1429407120000012025,assessor_row:1429407120000012025,assessor_row:1429407120000012025,216.18478544568637,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
