project_id,project_pin,construction_year,within_500ft,search_geometry_source,current_pin,current_pin10,current_tax_year,current_class,current_x_3435,current_y_3435,current_address,latest_assessor_year,latest_assessor_cards,latest_assessor_classes,latest_assessor_year_built,latest_assessor_units,latest_assessor_building_sqft,latest_assessor_land_sqft,component_project_ids,represented_by_other_final_project,same_original_pin
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290270000,1727129027,2025,295,1179157.641492379,1887637.1766219612,2520 S KING DR,2025,1,295,2005,1,1945,908,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290280000,1727129028,2025,295,1179160.2925709104,1887655.2361903095,2518 S KING DR,2025,1,295,2005,1,1603,795,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290290000,1727129029,2025,295,1179158.085876814,1887672.5469721912,2516 S KING DR,2025,1,295,2005,1,1882,860,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290300000,1727129030,2025,295,1179159.3417061595,1887689.5931985816,2514 S KING DR,2025,1,295,2005,1,1603,762,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290310000,1727129031,2025,295,1179155.727906329,1887707.100044374,2512 S KING DR,2025,1,295,2005,1,1945,906,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290320000,1727129032,2025,295,1179155.0989887018,1887728.605490292,2510 S KING DR,2025,1,295,2005,1,1945,906,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290330000,1727129033,2025,295,1179157.8046926337,1887746.2942860152,2508 S KING DR,2025,1,295,2005,1,1603,762,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290340000,1727129034,2025,295,1179155.6037920546,1887763.2630322005,2506 S KING DR,2025,1,295,2005,1,2314,864,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290350000,1727129035,2025,295,1179156.9255339715,1887780.8463651864,2504 S KING DR,2025,1,295,2008,1,1603,810,residential_17271290350000,TRUE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290360000,1727129036,2025,295,1179156.4037203677,1887799.711882616,2502 S KING DR,2025,1,295,2008,1,1641,918,residential_17271290360000,TRUE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290370000,1727129037,2025,100,1179171.5741484673,1887626.812772396,2522 S KING DR CA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290380000,1727129038,2025,100,1179169.0693127783,1887718.298617996,2512 S KING DR CA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290390000,1727129039,2025,295,1178957.4173870008,1887587.200240173,2523 S CALUMET AVE,2025,1,295,2005,1,2020,1133,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290400000,1727129040,2025,295,1178958.2874986243,1887607.9159820783,2521 S CALUMET AVE,2025,1,295,2005,1,2284,907,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290410000,1727129041,2025,295,1178957.7032099406,1887629.3643648815,2519 S CALUMET AVE,2025,1,295,2005,1,2284,908,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290420000,1727129042,2025,295,1178954.0182751678,1887647.2046364625,2517 S CALUMET AVE,2025,1,295,2005,1,1603,800,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290430000,1727129043,2025,295,1178955.2795065334,1887664.5905896549,2515 S CALUMET AVE,2025,1,295,2005,1,2314,863,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290440000,1727129044,2025,295,1178953.0285925765,1887681.8900157583,2513 S CALUMET AVE,2025,1,295,2005,1,1867,800,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290450000,1727129045,2025,295,1178955.7818983905,1887699.9377357292,2511 S CALUMET AVE,2025,1,295,2005,1,1945,911,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290460000,1727129046,2025,295,1178955.1446877937,1887721.439650896,2509 S CALUMET AVE,2025,1,295,2005,1,2284,909,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290470000,1727129047,2025,295,1178951.4481870392,1887739.2840869904,2507 S CALUMET AVE,2025,1,295,2005,1,1603,800,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290480000,1727129048,2025,295,1178952.8724739854,1887756.7613216536,2505 S CALUMET AVE,2025,1,295,2005,1,1882,871,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290490000,1727129049,2025,295,1178950.3274037128,1887774.0094249067,2503 S CALUMET AVE,2025,1,295,2005,1,1603,791,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290500000,1727129050,2025,295,1178949.9447763185,1887792.6722497384,2501 S CALUMET AVE,2025,1,295,2008,1,1641,926,residential_17271290500000,TRUE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290510000,1727129051,2025,100,1178942.1093643017,1887710.294958852,2511 S CALUMET AVE CA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290520000,1727129052,2025,100,1178944.6531429673,1887618.250684098,2519 S CALUMET AVE CA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290680000,1727129068,2025,295,1179098.6350351772,1887761.286901808,352 E 25TH PL,2025,1,295,2005,1,1641,924,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290690000,1727129069,2025,295,1179023.3327953366,1887600.1518801632,344 E EASTGATE PL,2025,1,295,2005,1,2092,1019,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290700000,1727129070,2025,295,1179042.205696149,1887600.6502963956,346 E EASTGATE PL,2025,1,295,2005,1,1818,863,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290710000,1727129071,2025,295,1179059.2996103591,1887599.4299797136,348 E EASTGATE PL,2025,1,295,2005,1,1867,777,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290720000,1727129072,2025,295,1179076.2790987422,1887601.5638029329,350 E EASTGATE PL,2025,1,295,2005,1,1818,861,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290730000,1727129073,2025,295,1179096.3667573547,1887602.1397272607,352 E EASTGATE PL,2025,1,295,2008,1,2148,1135,residential_17271290730000,TRUE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290740000,1727129074,2025,100,1179008.8428298747,1887604.4739952153,342 E EASTGATE PL,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290750000,1727129075,2025,295,1179089.807838109,1887493.3947307544,351 E EASTGATE PL,2025,1,295,2005,1,2148,1117,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290760000,1727129076,2025,295,1179109.7332913235,1887494.1263386093,353 E EASTGATE PL,2025,1,295,2005,1,1818,861,NA,FALSE,FALSE
