project_id,initial_issue
residential_overlap_16242060510000,residential_commercial_overlap
residential_overlap_16242070100000,residential_commercial_overlap
residential_overlap_16242070310000,residential_commercial_overlap
residential_overlap_16242070760000,residential_commercial_overlap
residential_overlap_17064360170000,residential_commercial_overlap
residential_overlap_17082260110000,residential_commercial_overlap
residential_overlap_17084220290000,residential_commercial_overlap
residential_overlap_17084220340000,residential_commercial_overlap
residential_overlap_17173230020000,residential_commercial_overlap
residential_overlap_17173230060000,residential_commercial_overlap
residential_overlap_17173230080000,residential_commercial_overlap
residential_overlap_17173340090000,residential_commercial_overlap
residential_overlap_17173340210000,residential_commercial_overlap
residential_overlap_17202070550000,residential_commercial_overlap
residential_overlap_17202070580000,residential_commercial_overlap
residential_overlap_17202070620000,residential_commercial_overlap
residential_overlap_20032230400000,residential_commercial_overlap
residential_overlap_20032240190000,residential_commercial_overlap
residential_overlap_20032240540000,residential_commercial_overlap
residential_overlap_20032240550000,residential_commercial_overlap
residential_overlap_20034030420000,residential_commercial_overlap
residential_overlap_20034040430000,residential_commercial_overlap
residential_overlap_20153010080000,residential_commercial_overlap
residential_overlap_20153020050000,residential_commercial_overlap
residential_overlap_20153020180000,residential_commercial_overlap
residential_overlap_25151200960000,residential_commercial_overlap
residential_overlap_25151200970000,residential_commercial_overlap
residential_tieback_13143060050000,residential_commercial_overlap
residential_tieback_13363150560000,residential_commercial_overlap
residential_tieback_13363150580000,residential_commercial_overlap
residential_tieback_14301040010000,residential_commercial_overlap
residential_tieback_16242060480000,residential_commercial_overlap
residential_tieback_16242070150000,residential_commercial_overlap
residential_tieback_16242070560000,residential_commercial_overlap
residential_tieback_20153020060000,residential_commercial_overlap
