pin,construction_year,construction_zone_group
13072060290000,2021,Single-Family Residential
13072110160000,2021,Single-Family Residential
13072140200000,2016,Single-Family Residential
13072200270000,2018,Single-Family Residential
13072210190000,2018,Single-Family Residential
13073090290000,2015,Single-Family Residential
13073090300000,2016,Single-Family Residential
13074060030000,2006,Single-Family Residential
13074070340000,2022,Single-Family Residential
13074110060000,2018,Single-Family Residential
13074110330000,2021,Single-Family Residential
13074200080000,2022,Single-Family Residential
13074210040000,2007,Single-Family Residential
13081030110000,2018,Single-Family Residential
13081030300000,2019,Single-Family Residential
13081110300000,2014,Single-Family Residential
13081110310000,2014,Single-Family Residential
13081170070000,2017,Single-Family Residential
13081170220000,2008,Single-Family Residential
13081170280000,2008,Single-Family Residential
13083100160000,2006,Single-Family Residential
13083220380000,2011,Single-Family Residential
13083230330000,2007,Single-Family Residential
13083270060000,2013,Single-Family Residential
13083300300000,2008,Single-Family Residential
13084180600000,2006,Single-Family Residential
13084251680000,2014,Single-Family Residential
13084251690000,2014,Single-Family Residential
13084270420000,2021,Single-Family Residential
13084270430000,2021,Single-Family Residential
13084270440000,2021,Single-Family Residential
13084270450000,2021,Single-Family Residential
13084320010000,2011,Single-Family Residential
13084320020000,2011,Single-Family Residential
13091000330000,2021,Single-Family Residential
13091310060000,2021,Single-Family Residential
13092030050000,2014,Single-Family Residential
13092240030000,2016,Single-Family Residential
13093070130000,2022,Single-Family Residential
13093070510000,2017,Multi-Family Residential
13094000250000,2022,Single-Family Residential
13094060290000,2022,Single-Family Residential
13094080070000,2019,Single-Family Residential
13094080080000,2019,Single-Family Residential
13094090060000,2016,Single-Family Residential
13094130490000,2018,Single-Family Residential
13094150120000,2009,Single-Family Residential
13094150290000,2007,Single-Family Residential
13094170340000,2020,Single-Family Residential
13094190120000,2019,Single-Family Residential
13094290330000,2007,Commercial
13094300090000,2014,Single-Family Residential
13103080330000,2014,Single-Family Residential
13103080660000,2006,Single-Family Residential
13103080670000,2006,Single-Family Residential
13103090220000,2008,Single-Family Residential
13103120060000,2022,Single-Family Residential
13103120090000,2018,Single-Family Residential
13103120100000,2007,Single-Family Residential
13103120110000,2006,Single-Family Residential
13103120330000,2017,Single-Family Residential
13103120340000,2017,Single-Family Residential
13103120870000,2011,Single-Family Residential
13103120940000,2006,Single-Family Residential
13103120950000,2006,Single-Family Residential
13103220100000,2013,Single-Family Residential
13104170170000,2015,Single-Family Residential
13104170180000,2015,Single-Family Residential
13104270390000,2019,Single-Family Residential
13104270400000,2019,Single-Family Residential
13112050110000,2008,Single-Family Residential
13112050120000,2014,Multi-Family Residential
13114030470000,2006,Multi-Family Residential
13114200070000,2022,Multi-Family Residential
13114240140000,2021,Multi-Family Residential
13114290270000,2011,Neighborhood Mixed-Use
13114310260000,2014,Planned Development
13121030890000,2022,Single-Family Residential
13123010150000,2008,Single-Family Residential
13124000420000,2011,Single-Family Residential
13124010180000,2009,Multi-Family Residential
13124010280000,2011,Single-Family Residential
13124020280000,2011,Single-Family Residential
13124020340000,2014,Single-Family Residential
13124020350000,2012,Single-Family Residential
13124030090000,2007,Single-Family Residential
13124030110000,2007,Single-Family Residential
13124030140000,2011,Single-Family Residential
13124030190000,2012,Single-Family Residential
13124030200000,2008,Single-Family Residential
13124030240000,2006,Single-Family Residential
13124030300000,2011,Single-Family Residential
13124030450000,2009,Neighborhood Mixed-Use
13124030470000,2022,Neighborhood Mixed-Use
13124030570000,2015,Single-Family Residential
13124030580000,2014,Single-Family Residential
13124060120000,2014,Single-Family Residential
13124060470000,2014,Single-Family Residential
13124070480000,2022,Neighborhood Mixed-Use
13124070580000,2014,Single-Family Residential
13124100110000,2017,Single-Family Residential
13124100160000,2007,Single-Family Residential
13124110530000,2014,Multi-Family Residential
13124110540000,2014,Multi-Family Residential
13124111020000,2006,Neighborhood Mixed-Use
13124111030000,2006,Neighborhood Mixed-Use
13124111040000,2006,Neighborhood Mixed-Use
13124111050000,2006,Neighborhood Mixed-Use
13124111060000,2006,Neighborhood Mixed-Use
13124111070000,2006,Neighborhood Mixed-Use
13124111080000,2006,Neighborhood Mixed-Use
13124111090000,2006,Neighborhood Mixed-Use
13124111100000,2006,Neighborhood Mixed-Use
13124111110000,2006,Neighborhood Mixed-Use
13124111120000,2006,Neighborhood Mixed-Use
13124111130000,2006,Neighborhood Mixed-Use
13124111140000,2006,Neighborhood Mixed-Use
13124111150000,2006,Neighborhood Mixed-Use
13124111160000,2006,Neighborhood Mixed-Use
13124111170000,2006,Neighborhood Mixed-Use
13124111180000,2006,Neighborhood Mixed-Use
13124111190000,2006,Neighborhood Mixed-Use
13124111200000,2006,Neighborhood Mixed-Use
13124111210000,2007,Neighborhood Mixed-Use
13124111220000,2006,Neighborhood Mixed-Use
13124111230000,2006,Neighborhood Mixed-Use
13124111240000,2006,Neighborhood Mixed-Use
13124111250000,2010,Neighborhood Mixed-Use
13124120180000,2008,Single-Family Residential
13124150020000,2011,Single-Family Residential
13124150570000,2014,Single-Family Residential
13124150580000,2014,Single-Family Residential
13124150640000,2022,Single-Family Residential
13124150650000,2022,Single-Family Residential
13124150660000,2022,Single-Family Residential
13131050210000,2021,Single-Family Residential
13131090180000,2008,Single-Family Residential
13131140270000,2007,Single-Family Residential
13131160100000,2022,Single-Family Residential
13131210220000,2020,Single-Family Residential
13131220060000,2017,Single-Family Residential
13131220130000,2014,Single-Family Residential
13131250240000,2017,Neighborhood Mixed-Use
13132000440000,2014,Single-Family Residential
13132000450000,2015,Single-Family Residential
13132020040000,2018,Neighborhood Mixed-Use
13132050020000,2018,Neighborhood Mixed-Use
13132080370000,2011,Single-Family Residential
13132080420000,2014,Single-Family Residential
13132110240000,2011,Single-Family Residential
13132140280000,2017,Planned Development
13132170240000,2014,Single-Family Residential
13132210040000,2022,Single-Family Residential
13132240050000,2008,Single-Family Residential
13132270200000,2022,Single-Family Residential
13132280110000,2022,Single-Family Residential
13132330110000,2008,Single-Family Residential
13133060210000,2011,Single-Family Residential
13133060300000,2018,Single-Family Residential
13133070270000,2008,Commercial
13133140420000,2007,Single-Family Residential
13133140440000,2006,Single-Family Residential
13133220310000,2006,Single-Family Residential
13133220330000,2011,Single-Family Residential
13133230130000,2013,Single-Family Residential
13133240170000,2014,Single-Family Residential
13133300250000,2021,Multi-Family Residential
13134010150000,2021,Neighborhood Mixed-Use
13134020340000,2006,Single-Family Residential
13134030110000,2008,Single-Family Residential
13134030510000,2018,Single-Family Residential
13134030520000,2018,Single-Family Residential
13134030530000,2018,Single-Family Residential
13134040220000,2007,Single-Family Residential
13134040590000,2007,Single-Family Residential
13134040600000,2006,Single-Family Residential
13134050050000,2018,Single-Family Residential
13134060040000,2006,Single-Family Residential
13134060120000,2015,Single-Family Residential
13134060170000,2007,Single-Family Residential
13134060300000,2012,Single-Family Residential
13134060330000,2007,Single-Family Residential
13134060560000,2014,Neighborhood Mixed-Use
13134060600000,2014,Single-Family Residential
13134070030000,2020,Single-Family Residential
13134070200000,2021,Single-Family Residential
13134070290000,2019,Single-Family Residential
13134070350000,2022,Single-Family Residential
13134080280000,2015,Single-Family Residential
13134080330000,2021,Single-Family Residential
13134080350000,2006,Single-Family Residential
13134080470000,2022,Single-Family Residential
13134080480000,2021,Single-Family Residential
13134080500000,2014,Single-Family Residential
13134080510000,2019,Commercial
13134110240000,2014,Single-Family Residential
13134110250000,2014,Single-Family Residential
13134120270000,2018,Single-Family Residential
13134120380000,2006,Single-Family Residential
13134120390000,2015,Single-Family Residential
13134130280000,2016,Single-Family Residential
13134140040000,2018,Single-Family Residential
13134140080000,2019,Single-Family Residential
13134140100000,2013,Single-Family Residential
13134140130000,2007,Single-Family Residential
13134140190000,2015,Single-Family Residential
13134140200000,2019,Single-Family Residential
13134140230000,2016,Single-Family Residential
13134140260000,2015,Single-Family Residential
13134140320000,2022,Single-Family Residential
13134160090000,2019,Single-Family Residential
13134160140000,2016,Single-Family Residential
13134160160000,2017,Single-Family Residential
13134170050000,2006,Single-Family Residential
13134170160000,2014,Single-Family Residential
13134170170000,2013,Single-Family Residential
13134170270000,2021,Single-Family Residential
13134170280000,2022,Single-Family Residential
13134180030000,2019,Single-Family Residential
13134180050000,2014,Single-Family Residential
13134180120000,2021,Single-Family Residential
13134180130000,2018,Single-Family Residential
13134190010000,2010,Single-Family Residential
13134190090000,2006,Single-Family Residential
13134190100000,2008,Single-Family Residential
13141020450000,2022,Single-Family Residential
13141070200000,2021,Single-Family Residential
13141080380000,2018,Single-Family Residential
13141090260000,2020,Single-Family Residential
13141090470000,2014,Single-Family Residential
13141090480000,2017,Single-Family Residential
13141180230000,2017,Single-Family Residential
13141180810000,2017,Single-Family Residential
13141220320000,2011,Neighborhood Mixed-Use
13141240060000,2019,Single-Family Residential
13141240070000,2006,Single-Family Residential
13141240190000,2011,Single-Family Residential
13141240430000,2014,Single-Family Residential
13141240440000,2006,Single-Family Residential
13141240450000,2019,Single-Family Residential
13141240460000,2019,Single-Family Residential
13141250100000,2014,Single-Family Residential
13141270250000,2011,Neighborhood Mixed-Use
13142030200000,2008,Neighborhood Mixed-Use
13142110100000,2021,Single-Family Residential
13142110180000,2018,Single-Family Residential
13142140220000,2021,Single-Family Residential
13142140380000,2008,Single-Family Residential
13142140390000,2007,Single-Family Residential
13142140400000,2009,Single-Family Residential
13142230290000,2016,Single-Family Residential
13142250110000,2019,Single-Family Residential
13142250240000,2022,Single-Family Residential
13143010150000,2019,Single-Family Residential
13143020240000,2021,Single-Family Residential
13143020250000,2021,Single-Family Residential
13143050210000,2014,Single-Family Residential
13143050230000,2015,Single-Family Residential
13143050240000,2006,Single-Family Residential
13143060050000,2011,Neighborhood Mixed-Use
13143060060000,2013,Neighborhood Mixed-Use
13143060270000,2014,Single-Family Residential
13143060290000,2020,Single-Family Residential
13143060330000,2018,Single-Family Residential
13143070380000,2022,Single-Family Residential
13143100120000,2021,Multi-Family Residential
13143110250000,2020,Commercial
13143130360000,2011,Single-Family Residential
13143140040000,2017,Single-Family Residential
13143140310000,2013,Single-Family Residential
13143140320000,2019,Single-Family Residential
13143150190000,2007,Single-Family Residential
13143150330000,2022,Single-Family Residential
13143180110000,2018,Single-Family Residential
13143180140000,2014,Single-Family Residential
13143180300000,2018,Single-Family Residential
13143190090000,2019,Single-Family Residential
13143230120000,2014,Single-Family Residential
13143230130000,2016,Single-Family Residential
13143240090000,2020,Single-Family Residential
13143260310000,2011,Single-Family Residential
13143260320000,2014,Single-Family Residential
13143260330000,2011,Single-Family Residential
13143260340000,2008,Single-Family Residential
13143260350000,2018,Single-Family Residential
13143260360000,2018,Single-Family Residential
13143260370000,2015,Single-Family Residential
13143260380000,2015,Single-Family Residential
13143270300000,2014,Single-Family Residential
13143270310000,2014,Single-Family Residential
13143290190000,2018,Single-Family Residential
13143310300000,2020,Planned Development
13143320280000,2019,Single-Family Residential
13143320290000,2020,Single-Family Residential
13143320300000,2020,Single-Family Residential
13143320420000,2021,Commercial
13144000050000,2006,Neighborhood Mixed-Use
13144000140000,2017,Single-Family Residential
13144000380000,2014,Single-Family Residential
13144010180000,2016,Single-Family Residential
13144010210000,2008,Single-Family Residential
13144010340000,2015,Multi-Family Residential
13144010360000,2016,Single-Family Residential
13144020050000,2019,Neighborhood Mixed-Use
13144020160000,2012,Single-Family Residential
13144020200000,2022,Single-Family Residential
13144020300000,2018,Single-Family Residential
13144030210000,2022,Single-Family Residential
13144030350000,2022,Multi-Family Residential
13144030360000,2022,Multi-Family Residential
13144080090000,2008,Single-Family Residential
13144080340000,2013,Single-Family Residential
13144090080000,2022,Single-Family Residential
13144100320000,2008,Single-Family Residential
13144100330000,2022,Single-Family Residential
13144110100000,2014,Single-Family Residential
13144110110000,2014,Single-Family Residential
13144110200000,2014,Single-Family Residential
13144130290000,2020,Single-Family Residential
13144130410000,2022,Single-Family Residential
13144130420000,2022,Single-Family Residential
13144160390000,2017,Single-Family Residential
13144170020000,2019,Single-Family Residential
13144170170000,2018,Single-Family Residential
13144170420000,2006,Single-Family Residential
13144170440000,2015,Single-Family Residential
13144180310000,2016,Single-Family Residential
13144180330000,2021,Single-Family Residential
13144190110000,2019,Single-Family Residential
13144190130000,2019,Single-Family Residential
13144200420000,2014,Multi-Family Residential
13144230300000,2022,Single-Family Residential
13144230310000,2022,Single-Family Residential
13144240090000,2011,Single-Family Residential
13144250490000,2011,Single-Family Residential
13144250500000,2012,Single-Family Residential
13144260100000,2017,Single-Family Residential
13144260230000,2014,Single-Family Residential
13144270010000,2015,Single-Family Residential
13144270150000,2022,Single-Family Residential
13144280080000,2015,Single-Family Residential
13144290080000,2014,Single-Family Residential
13144290250000,2018,Neighborhood Mixed-Use
13144290260000,2021,Neighborhood Mixed-Use
13144290420000,2014,Commercial
13144290470000,2019,Neighborhood Mixed-Use
13144300060000,2014,Single-Family Residential
13144310040000,2015,Neighborhood Mixed-Use
13151010310000,2006,Neighborhood Mixed-Use
13151040020000,2006,Neighborhood Mixed-Use
13151120320000,2006,Single-Family Residential
13151120330000,2006,Single-Family Residential
13151130360000,2012,Single-Family Residential
13151130480000,2012,Single-Family Residential
13151130490000,2011,Single-Family Residential
13151200320000,2008,Single-Family Residential
13151230070000,2006,Single-Family Residential
13151230080000,2018,Single-Family Residential
13151230460000,2007,Single-Family Residential
13151290390000,2008,Single-Family Residential
13151290400000,2008,Single-Family Residential
13151290410000,2006,Single-Family Residential
13151290420000,2006,Single-Family Residential
13151300180000,2021,Multi-Family Residential
13151300290000,2007,Single-Family Residential
13151320190000,2008,Single-Family Residential
13152060470000,2018,Single-Family Residential
13152140180000,2008,Single-Family Residential
13152140190000,2007,Single-Family Residential
13152140230000,2014,Single-Family Residential
13152140340000,2014,Single-Family Residential
13152150160000,2014,Single-Family Residential
13152150210000,2018,Single-Family Residential
13152150270000,2022,Single-Family Residential
13152200410000,2018,Single-Family Residential
13152200420000,2016,Single-Family Residential
13152210420000,2007,Single-Family Residential
13152220090000,2011,Single-Family Residential
13152220100000,2011,Single-Family Residential
13152230240000,2014,Single-Family Residential
13152230250000,2014,Single-Family Residential
13152250240000,2006,Single-Family Residential
13152300130000,2015,Single-Family Residential
13152340360000,2007,Single-Family Residential
13153040070000,2014,Single-Family Residential
13153050030000,2018,Neighborhood Mixed-Use
13153100100000,2008,Single-Family Residential
13153100110000,2006,Single-Family Residential
13153100120000,2008,Single-Family Residential
13153100130000,2010,Single-Family Residential
13153100140000,2006,Single-Family Residential
13153100150000,2008,Single-Family Residential
13153100160000,2006,Single-Family Residential
13153100170000,2009,Single-Family Residential
13153100180000,2008,Single-Family Residential
13153100190000,2009,Single-Family Residential
13153100200000,2011,Single-Family Residential
13153100210000,2011,Single-Family Residential
13153100220000,2011,Single-Family Residential
13153100230000,2011,Single-Family Residential
13153100240000,2008,Single-Family Residential
13153100250000,2008,Single-Family Residential
13153100260000,2008,Single-Family Residential
13153100270000,2006,Single-Family Residential
13153100280000,2008,Single-Family Residential
13153100290000,2008,Single-Family Residential
13153100300000,2006,Single-Family Residential
13153100310000,2006,Single-Family Residential
13153100320000,2009,Single-Family Residential
13153100330000,2006,Single-Family Residential
13153100340000,2008,Single-Family Residential
13153110150000,2007,Single-Family Residential
13153180750000,2008,Commercial
13153190450000,2017,Single-Family Residential
13153190460000,2017,Single-Family Residential
13153200830000,2018,Single-Family Residential
13153210570000,2014,Single-Family Residential
13154010180000,2006,Single-Family Residential
13154010310000,2007,Multi-Family Residential
13154010400000,2008,Multi-Family Residential
13154010410000,2008,Multi-Family Residential
13154020190000,2006,Single-Family Residential
13154030120000,2008,Single-Family Residential
13154070240000,2022,Single-Family Residential
13154080320000,2021,Single-Family Residential
13154100100000,2006,Single-Family Residential
13154100160000,2022,Multi-Family Residential
13154150040000,2019,Single-Family Residential
13154150050000,2017,Single-Family Residential
13154180310000,2021,Single-Family Residential
13154180320000,2021,Single-Family Residential
13154190250000,2018,Single-Family Residential
13154240450000,2021,Multi-Family Residential
13161050050000,2018,Single-Family Residential
13161050060000,2018,Single-Family Residential
13161070300000,2022,Single-Family Residential
13161070310000,2022,Single-Family Residential
13161080430000,2006,Single-Family Residential
13161080440000,2008,Single-Family Residential
13161090520000,2021,Single-Family Residential
13161090530000,2021,Single-Family Residential
13161120330000,2006,Single-Family Residential
13161120340000,2006,Single-Family Residential
13161120350000,2017,Single-Family Residential
13161120360000,2017,Single-Family Residential
13161130420000,2022,Single-Family Residential
13161130430000,2022,Single-Family Residential
13161150120000,2006,Single-Family Residential
13161150490000,2006,Single-Family Residential
13161150500000,2006,Single-Family Residential
13161170460000,2006,Single-Family Residential
13161170470000,2008,Single-Family Residential
13161270410000,2019,Neighborhood Mixed-Use
13161270420000,2019,Neighborhood Mixed-Use
13162000300000,2022,Single-Family Residential
13162170200000,2022,Single-Family Residential
13162240520000,2008,Single-Family Residential
13162240530000,2009,Single-Family Residential
13162290050000,2011,Single-Family Residential
13162300320000,2019,Neighborhood Mixed-Use
13163040250000,2007,Single-Family Residential
13164160090000,2016,Single-Family Residential
13164300370000,2014,Neighborhood Mixed-Use
13171051090000,2022,Multi-Family Residential
13171051100000,2010,Neighborhood Mixed-Use
13171051110000,2022,Multi-Family Residential
13171070230000,2022,Single-Family Residential
13171070560000,2018,Single-Family Residential
13171071650000,2022,Single-Family Residential
13171120080000,2020,Single-Family Residential
13171120660000,2011,Single-Family Residential
13171120670000,2011,Single-Family Residential
13171230100000,2021,Single-Family Residential
13172020070000,2008,Multi-Family Residential
13172050120000,2022,Single-Family Residential
13172080450000,2021,Single-Family Residential
13172080460000,2021,Single-Family Residential
13172090400000,2011,Single-Family Residential
13172090410000,2006,Single-Family Residential
13172100260000,2008,Single-Family Residential
13172100270000,2007,Single-Family Residential
13172160380000,2006,Multi-Family Residential
13172160390000,2006,Multi-Family Residential
13191060470000,2014,Single-Family Residential
13191120570000,2011,Single-Family Residential
13191210090000,2006,Single-Family Residential
13191220210000,2014,Single-Family Residential
13191220220000,2014,Single-Family Residential
13191230500000,2006,Multi-Family Residential
13191240050000,2013,Single-Family Residential
13191240180000,2007,Single-Family Residential
13191330050000,2008,Single-Family Residential
13192030400000,2017,Single-Family Residential
13192030410000,2018,Single-Family Residential
13192040360000,2010,Single-Family Residential
13193080490000,2008,Neighborhood Mixed-Use
13194090360000,2006,Single-Family Residential
13194120070000,2008,Multi-Family Residential
13194120080000,2019,Multi-Family Residential
13194120260000,2011,Single-Family Residential
13194120370000,2011,Single-Family Residential
13194150170000,2008,Multi-Family Residential
13194150470000,2006,Multi-Family Residential
13194340520000,2022,Single-Family Residential
13201090340000,2006,Single-Family Residential
13201250140000,2019,Single-Family Residential
13202230190000,2015,Single-Family Residential
13202240160000,2016,Single-Family Residential
13202270270000,2018,Neighborhood Mixed-Use
13203010270000,2021,Single-Family Residential
13203210120000,2008,Multi-Family Residential
13203210130000,2006,Multi-Family Residential
13203250170000,2013,Single-Family Residential
13203280120000,2020,Neighborhood Mixed-Use
13203280130000,2021,Neighborhood Mixed-Use
13211090060000,2018,Single-Family Residential
13211270170000,2006,Single-Family Residential
13212010120000,2020,Neighborhood Mixed-Use
13212060180000,2016,Single-Family Residential
13212060380000,2017,Single-Family Residential
13212060390000,2014,Single-Family Residential
13212060400000,2014,Single-Family Residential
13212060410000,2014,Single-Family Residential
13212060420000,2018,Single-Family Residential
13212060430000,2018,Single-Family Residential
13212060440000,2018,Single-Family Residential
13212060450000,2018,Single-Family Residential
13212060460000,2018,Single-Family Residential
13212090130000,2006,Single-Family Residential
13212240340000,2006,Single-Family Residential
13212310360000,2007,Multi-Family Residential
13213030370000,2017,Single-Family Residential
13213030380000,2017,Single-Family Residential
13213180490000,2008,Single-Family Residential
13214040680000,2014,Single-Family Residential
13214040920000,2020,Single-Family Residential
13214040930000,2020,Single-Family Residential
13214040940000,2022,Single-Family Residential
13214040950000,2022,Single-Family Residential
13214150260000,2021,Single-Family Residential
13221020480000,2007,Planned Development
13221020490000,2007,Planned Development
13221020500000,2006,Planned Development
13221020510000,2006,Planned Development
13221020520000,2006,Planned Development
13221020530000,2007,Planned Development
13221020540000,2007,Planned Development
13221020550000,2007,Planned Development
13221020560000,2007,Planned Development
13221020570000,2006,Planned Development
13221020580000,2006,Planned Development
13221020590000,2007,Planned Development
13221020600000,2007,Planned Development
13221020610000,2006,Planned Development
13221020620000,2007,Planned Development
13221020630000,2009,Planned Development
13221020640000,2008,Planned Development
13221020650000,2007,Planned Development
13221020660000,2007,Planned Development
13221020670000,2007,Planned Development
13221020680000,2007,Planned Development
13221020690000,2008,Planned Development
13221020700000,2007,Planned Development
13221020710000,2007,Planned Development
13221020720000,2008,Planned Development
13221020730000,2007,Planned Development
13221020740000,2007,Planned Development
13221020750000,2008,Planned Development
13221020760000,2009,Planned Development
13221020770000,2007,Planned Development
13221020780000,2007,Planned Development
13221020790000,2006,Planned Development
13221020800000,2006,Planned Development
13221020810000,2006,Planned Development
13221020820000,2007,Planned Development
13221020830000,2007,Planned Development
13221020840000,2006,Planned Development
13221020850000,2007,Planned Development
13221020860000,2007,Planned Development
13221020870000,2007,Planned Development
13221020880000,2007,Planned Development
13221020890000,2007,Planned Development
13221020900000,2006,Planned Development
13221020910000,2006,Planned Development
13221020920000,2007,Planned Development
13221020930000,2007,Planned Development
