pin,pin10,card_num,cards_in_history,minimum_post_1999_construction_year,latest_report_through_2022_construction_year,latest_report_through_2025_construction_year,latest_report_at_sample_end_construction_year,latest_report_all_construction_year,modal_post_1999_construction_year,latest_repeated_post_1999_construction_year,minimum_post_1999_selected_tax_year,latest_report_through_2022_selected_tax_year,latest_report_through_2025_selected_tax_year,latest_report_at_sample_end_selected_tax_year,latest_report_all_selected_tax_year,modal_post_1999_selected_tax_year,latest_repeated_post_1999_selected_tax_year,reports,first_tax_year,last_tax_year,distinct_years_all,distinct_years_post_1999,has_pre_1999_report,first_post_1999_tax_year,minimum_post_1999_year,maximum_post_1999_year,first_report_lag_minimum,revised_post_1999,unique_pin10_permit_match,permit_id,permit_application_date,permit_application_year,permit_issue_date,permit_issued,permit_status,permit_address,work_description,latest_minus_minimum,latest_2025_minus_minimum,modal_minus_minimum,minimum_in_paper_window,latest_in_paper_window,latest_2025_in_paper_window,modal_in_paper_window,review_priority,minimum_permit_gap,latest_permit_gap
10322100050000,1032210005,1,1,2005,2007,2007,2007,2007,2005,2007,2006,2022,2025,2022,2026,2018,2026,28,1999,2026,4,3,TRUE,2006,2005,2007,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,FALSE,TRUE,TRUE,FALSE,1,NA,NA
10322100060000,1032210006,1,1,2005,2007,2007,2007,2007,2005,2007,2006,2022,2025,2022,2026,2018,2026,28,1999,2026,4,3,TRUE,2006,2005,2007,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,FALSE,TRUE,TRUE,FALSE,1,NA,NA
10322100070000,1032210007,1,1,2005,2007,2007,2007,2007,2005,2007,2006,2022,2025,2022,2026,2018,2026,28,1999,2026,4,3,TRUE,2006,2005,2007,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,FALSE,TRUE,TRUE,FALSE,1,NA,NA
10323020230000,1032302023,1,1,2005,2007,2007,2007,2007,2005,2007,2006,2022,2025,2022,2026,2021,2026,28,1999,2026,3,2,TRUE,2006,2005,2007,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,FALSE,TRUE,TRUE,FALSE,1,NA,NA
10323020240000,1032302024,1,1,2005,2007,2007,2007,2007,2005,2007,2006,2022,2025,2022,2026,2021,2026,28,1999,2026,3,2,TRUE,2006,2005,2007,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,FALSE,TRUE,TRUE,FALSE,1,NA,NA
14291120140000,1429112014,1,1,2014,2019,2019,2019,2019,2019,2019,2017,2022,2025,2022,2026,2026,2026,28,1999,2026,4,3,TRUE,2017,2014,2019,3,TRUE,TRUE,2752768,2016-06-29,2016,2016-06-29,1,COMPLETE,1537 W NELSON ST,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE (4A CONSTRUCTION) AS PER PLAN.,5,5,5,TRUE,TRUE,TRUE,TRUE,2,-2,3
14291290130000,1429129013,1,1,2011,2016,2016,2016,2016,2011,2016,2013,2022,2025,2022,2026,2019,2026,27,1999,2026,5,4,TRUE,2013,2011,2016,2,TRUE,TRUE,2310199,2011-12-08,2011,2011-12-08,1,COMPLETE,1429 W WOLFRAM ST,ERECT THREE STORY SINGLE FAMILY RESIDENCE + 2 CAR ATTACHED  GARAGE AS PER PLAN,5,5,0,TRUE,TRUE,TRUE,TRUE,2,0,5
14071170020000,1407117002,1,1,2014,2018,2018,2018,2018,2018,2018,2017,2022,2025,2022,2026,2026,2026,28,1999,2026,3,2,TRUE,2017,2014,2018,3,TRUE,TRUE,2706608,2015-12-10,2015,2016-01-12,1,COMPLETE,2155 W FARRAGUT AVE,ERECT A NEW 2 STORY WITH BASEMENT FRAME (4A CONST TYPE.) SINGLE FAMILY HOME AND DETACHED 2 CAR FRAME GARAGE AS PER PLANS.,4,4,4,TRUE,TRUE,TRUE,TRUE,2,-1,3
14301020290000,1430102029,1,1,2014,2018,2018,2018,2018,2018,2018,2015,2022,2025,2022,2026,2026,2026,28,1999,2026,3,2,TRUE,2015,2014,2018,1,TRUE,TRUE,2522995,2014-01-02,2014,2014-05-16,1,COMPLETE,2236 W FLETCHER ST,"ERECT A 2 STORY ,IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND 2 CAR GARAGE WITH ROOF DECK",4,4,4,TRUE,TRUE,TRUE,TRUE,2,0,4
13064150010000,1306415001,1,1,2016,2019,2019,2019,2019,2019,2019,2017,2022,2025,2022,2026,2026,2026,17,1999,2026,5,4,TRUE,2017,2016,2019,1,TRUE,TRUE,2771077,2016-08-01,2016,2016-08-08,1,COMPLETE,5667 N NEWCASTLE AVE,"ERECT A 2 STORY ,IVA FRAME SINGLE FAMILY RESIDENCE WITH UNFINISHED BASEMENT AND E CAR DETACHED GARAGE PER PLANS",3,3,3,TRUE,TRUE,TRUE,TRUE,2,0,3
13241060050000,1324106005,1,1,2014,2015,2017,2015,2017,2015,2017,2017,2022,2025,2022,2026,2024,2026,10,2017,2026,3,3,FALSE,2017,2014,2017,3,TRUE,TRUE,2834349,2017-04-03,2017,2017-05-09,1,COMPLETE,3943 N FRANCISCO AVE,NEW 2 STORY SINGLE FAMILY RESIDENCE WITH BASEMENT. NEW 2 CAR FRAME GARAGE. INSTALL 6 FEET HIGH WOOD FENCE AND 4 FEET HIGH IRON FENCE. ALL WORK AS PER PLANS.,3,3,1,TRUE,TRUE,TRUE,TRUE,2,-3,0
13362090020000,1336209002,1,1,2014,2016,2017,2016,2017,2014,2017,2017,2022,2025,2022,2026,2021,2026,10,2017,2026,3,3,FALSE,2017,2014,2017,3,TRUE,TRUE,2775758,2016-08-16,2016,2016-08-18,1,COMPLETE,2317 N CAMPBELL AVE,"SELF-CERTIFICATION....FULL BUILDING PERMIT FOR A NEW 2 STORY FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT WITH MECHANICAL PENTHOUSE TYPE 4A CONSTRUCTION, NEW 2 CAR DETACHED FRAME GARAGE 21' X 21' X 14'-11"" HIGH AS PER PLANS.",3,3,0,TRUE,TRUE,TRUE,TRUE,2,-2,1
14194100050000,1419410005,1,1,2011,2014,2014,2014,2014,2014,2014,2015,2022,2025,2022,2026,2026,2026,28,1999,2026,4,3,TRUE,2014,2011,2014,3,TRUE,TRUE,2492538,2013-09-03,2013,2013-10-10,1,COMPLETE,1945 W NEWPORT AVE,ERECT A NEW 2 STORY WITH BASEMENT SINGLE FAMILY HOME  WITH FRONT OPEN ONE STORY WOOD PORCH AND 2 CAR DETACHED GARAGE WITH DECK AS PER PLANS**CERTIFIED CORRECTIONS- - SUBJECT TO FIELD INSPECTIONS & AUDIT **,3,3,3,TRUE,TRUE,TRUE,TRUE,2,-2,1
14322140290000,1432214029,1,1,2014,2017,2017,2017,2017,2017,2017,2017,2022,2025,2022,2026,2026,2026,28,1999,2026,3,2,TRUE,2017,2014,2017,3,TRUE,TRUE,2761548,2016-06-28,2016,2016-06-28,1,COMPLETE,2138 N SEMINARY AVE,ERECT 3 STORY FRAME & BRICK VENEER SINGLE FAMILY RESIDENCE WITH BASEMENT AND 2 CAR DETACHED PRIVATE GARAGE PER PLANS,3,3,3,TRUE,TRUE,TRUE,TRUE,2,-2,1
16012090090000,1601209009,1,1,2014,2014,2014,2014,2017,2014,2014,2017,2022,2025,2022,2026,2025,2025,10,2017,2026,2,2,FALSE,2017,2014,2017,3,TRUE,TRUE,2762470,2016-06-23,2016,2016-09-15,1,COMPLETE,1435 N FAIRFIELD AVE,NEW TWO STORY DETACHED SINGLE FAMILY HOME WITH FINISHED BASEMENT AND TWO CAR GARAGE,3,0,0,TRUE,TRUE,TRUE,TRUE,2,-2,1
17042020110000,1704202011,1,1,2014,2017,2017,2017,2017,2017,2017,2015,2022,2025,2022,2026,2026,2026,12,2015,2026,3,3,FALSE,2015,2014,2017,1,TRUE,TRUE,2496901,2013-10-11,2013,2014-08-27,1,COMPLETE,1525 N NORTH PARK AVE,NEW CONSTRUCTION OF A NEW 4-STORY SINGLE FAMILY HOME WITH ATTACHED LOWER LEVEL GARAGE ACCESSED FROM NORTH PARK AVE AS PER PLANS.,3,3,3,TRUE,TRUE,TRUE,TRUE,2,1,4
17061170170000,1706117017,1,1,2014,2014,2017,2014,2017,2014,2017,2016,2022,2025,2022,2026,2023,2026,28,1999,2026,3,2,TRUE,2016,2014,2017,2,TRUE,TRUE,2627027,2015-04-04,2015,2015-04-04,1,COMPLETE,1319 N BELL AVE,SELF-CERTIFICATION: NEW 2 STORY BRICK VENEER S.F.R. WITH BASEMENT NEW 2 CAR MASONRY GARAGE. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,3,3,0,TRUE,TRUE,TRUE,TRUE,2,-1,2
17071140430000,1707114043,1,1,2014,2017,2017,2017,2017,2017,2017,2017,2022,2025,2022,2026,2026,2026,28,1999,2026,4,3,TRUE,2017,2014,2017,3,TRUE,TRUE,2766248,2016-08-29,2016,2016-09-21,1,COMPLETE,2208 W OHIO ST,"NEW 2 STORY SINGLE FAMILY RESIDENCE WITH BASEMENT, PENTHOUSE AND PRIVATE  ROOF DECK. NEW REAR METAL PORCH. NEW 2 CAR MASONRY GARAGE. ALL WORK AS PER PLANS. **CERTIFIED PLANS CORRECTIONS: CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS **",3,3,3,TRUE,TRUE,TRUE,TRUE,2,-2,1
