pin,pin10,card_num,cards_in_history,tax_year,previous_year_built,year_built,transition_type,previous_building_sqft,building_sqft,sqft_ratio,previous_land_sqft,land_sqft,previous_apartments,apartments,previous_building_use,building_use,previous_residence_type,residence_type,large_characteristic_change
09362030090000,0936203009,1,1,2022,2019,2020,post_1999_revision,2850,2850,1,7350,7350,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09362030390000,0936203039,1,1,2004,1907,2003,pre_1999_to_post_1999,853,1995,2.3388042203985933,NA,NA,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09362030390000,0936203039,1,1,2022,2003,2005,post_1999_revision,1995,1995,1,6250,6250,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09362030470000,0936203047,1,1,2020,1949,2019,pre_1999_to_post_1999,1122,2940,2.620320855614973,5750,5750,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE
09362030470000,0936203047,1,1,2022,2019,2021,post_1999_revision,2940,2940,1,5750,5750,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09362080270000,0936208027,1,1,2000,1915,1999,pre_1999_to_post_1999,636,2752,4.327044025157233,NA,NA,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09362080320000,0936208032,1,1,2010,1924,2008,pre_1999_to_post_1999,1674,3169,1.8930704898446833,7350,7350,0,0,Single-Family,Single-Family,2 Story,2 Story,TRUE
09362100110000,0936210011,1,1,2016,1917,2014,pre_1999_to_post_1999,1262,2521,1.997622820919176,7350,7350,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09362100110000,0936210011,1,1,2021,2014,2015,post_1999_revision,2521,2521,1,7350,7350,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09362110020000,0936211002,1,1,2000,1925,1923,other,969,969,1,NA,NA,0,0,Single-Family,Single-Family,1 Story,1 Story,FALSE
09362110020000,0936211002,1,1,2017,1923,2014,pre_1999_to_post_1999,969,2626,2.7100103199174406,6027,6027,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09362160090000,0936216009,1,1,2006,1919,2005,pre_1999_to_post_1999,1387,4650,3.352559480894016,NA,7350,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE
09362190110000,0936219011,1,1,2013,1917,2011,pre_1999_to_post_1999,1440,3344,2.3222222222222224,7350,7350,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE
09362210040000,0936221004,1,1,2022,1937,2022,pre_1999_to_post_1999,1354,2656,1.9615952732644018,4720,4720,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE
09362220020000,0936222002,1,1,2005,1923,2004,pre_1999_to_post_1999,1120,2504,2.2357142857142858,NA,NA,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09362230040000,0936223004,1,1,2008,1923,2007,pre_1999_to_post_1999,1144,2919,2.5515734265734267,4720,4720,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09362230040000,0936223004,1,1,2021,2007,2008,post_1999_revision,2919,2919,1,4720,4720,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09362230040000,0936223004,1,1,2022,2008,2009,post_1999_revision,2919,2919,1,4720,4720,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09362230310000,0936223031,1,1,2004,1925,2003,pre_1999_to_post_1999,1380,2766,2.0043478260869567,NA,NA,0,0,Single-Family,Single-Family,2 Story,2 Story,TRUE
09362240050000,0936224005,1,1,2004,1889,2003,pre_1999_to_post_1999,1752,3412,1.947488584474886,NA,NA,2,0,Multi-Family,Single-Family,2 Story,2 Story,TRUE
09362240340000,0936224034,1,1,2016,1950,2014,pre_1999_to_post_1999,1104,2748,2.489130434782609,5512,5512,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09362240340000,0936224034,1,1,2020,2014,2017,post_1999_revision,2748,2748,1,5512,5512,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09362240340000,0936224034,1,1,2021,2017,2015,post_1999_revision,2748,2748,1,5512,5512,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09362250180000,0936225018,1,1,2015,1922,2014,pre_1999_to_post_1999,1354,2983,2.2031019202363367,7350,7350,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09362250180000,0936225018,1,1,2020,2014,2017,post_1999_revision,2983,2983,1,7350,7350,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09362250180000,0936225018,1,1,2021,2017,2014,post_1999_revision,2983,2983,1,7350,7350,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09362250280000,0936225028,1,1,2016,1950,2014,pre_1999_to_post_1999,1512,2990,1.9775132275132274,5512,5512,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09362250330000,0936225033,1,1,2007,1894,2006,pre_1999_to_post_1999,2166,3952,1.8245614035087718,8820,8820,0,0,Single-Family,Single-Family,2 Story,2 Story,TRUE
09362250340000,0936225034,1,1,2019,1967,2018,pre_1999_to_post_1999,1248,3289,2.6354166666666665,5880,5880,0,0,Single-Family,Single-Family,Split Level,2 Story,TRUE
09362270280000,0936227028,1,1,2015,1923,2014,pre_1999_to_post_1999,1626,3052,1.8769987699876998,5200,5200,0,0,Single-Family,Single-Family,2 Story,2 Story,TRUE
09363070120000,0936307012,1,1,2020,1916,2019,pre_1999_to_post_1999,1415,3241,2.290459363957597,6250,6250,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09363070360000,0936307036,1,1,2000,1932,1999,pre_1999_to_post_1999,691,3010,4.356005788712012,NA,NA,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09363070480000,0936307048,1,1,2017,1953,2014,pre_1999_to_post_1999,1014,3120,3.076923076923077,6250,6250,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09363130240000,0936313024,1,1,2016,1919,2014,pre_1999_to_post_1999,1229,3128,2.545158665581774,7375,7375,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09363140270000,0936314027,1,1,2015,1928,2014,pre_1999_to_post_1999,1315,2614,1.987832699619772,5580,5580,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09363140330000,0936314033,1,1,2019,1925,2018,pre_1999_to_post_1999,1125,2828,2.513777777777778,3720,3720,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09363140330000,0936314033,1,1,2021,2018,2019,post_1999_revision,2828,2828,1,3720,3720,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09363140330000,0936314033,1,1,2022,2019,2020,post_1999_revision,2828,2828,1,3720,3720,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09363150020000,0936315002,1,1,2016,1949,2014,pre_1999_to_post_1999,772,2324,3.010362694300518,3720,3720,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09363150020000,0936315002,1,1,2021,2014,2015,post_1999_revision,2324,2324,1,3720,3720,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09363150020000,0936315002,1,1,2022,2015,2016,post_1999_revision,2324,2324,1,3720,3720,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09363250250000,0936325025,1,1,2015,1924,2014,pre_1999_to_post_1999,1184,4006,3.383445945945946,6250,6250,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09363250250000,0936325025,1,1,2020,2014,2017,post_1999_revision,4006,4006,1,6250,6250,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09363250250000,0936325025,1,1,2021,2017,2015,post_1999_revision,4006,4006,1,6250,6250,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09363250280000,0936325028,1,1,2016,1949,2014,pre_1999_to_post_1999,1234,2984,2.418152350081037,5375,5375,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09363250280000,0936325028,1,1,2022,2014,2016,post_1999_revision,2984,2984,1,5375,5375,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09363250360000,0936325036,1,1,2019,1908,2018,pre_1999_to_post_1999,1497,2892,1.9318637274549098,9375,9375,0,0,Single-Family,Single-Family,2 Story,2 Story,TRUE
09363250430000,0936325043,1,1,2022,2019,2021,post_1999_revision,2876,2876,1,4641,4641,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09363250440000,0936325044,1,1,2022,2019,2021,post_1999_revision,2876,2876,1,4667,4667,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364030150000,0936403015,1,1,2006,1932,2005,pre_1999_to_post_1999,1625,4082,2.512,NA,6200,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09364030160000,0936403016,1,1,2005,1922,2004,pre_1999_to_post_1999,960,2582,2.689583333333333,NA,NA,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09364030160000,0936403016,1,1,2021,2004,2005,post_1999_revision,2582,2582,1,6200,6200,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364040020000,0936404002,1,1,2014,1926,2011,pre_1999_to_post_1999,1581,2562,1.6204933586337762,4375,4375,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE
09364040160000,0936404016,1,1,2009,1956,2008,pre_1999_to_post_1999,1283,3588,2.7965705378020265,6250,6250,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09364040260000,0936404026,1,1,2021,2014,2015,post_1999_revision,2366,2366,1,4125,4125,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364050160000,0936405016,1,1,2014,1936,2011,pre_1999_to_post_1999,842,2146,2.548693586698337,4163,4163,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09364080320000,0936408032,1,1,2020,2003,2006,post_1999_revision,3094,3094,1,3710,3710,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364080320000,0936408032,1,1,2021,2006,2004,post_1999_revision,3094,3094,1,3710,3710,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364080320000,0936408032,1,1,2022,2004,2005,post_1999_revision,3094,3094,1,3710,3710,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364080350000,0936408035,1,1,2021,2017,2018,post_1999_revision,2403,2403,1,3092,3092,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364090090000,0936409009,1,1,2016,1888,2014,pre_1999_to_post_1999,1281,4076,3.181889149102264,7068,7068,0,0,Single-Family,Single-Family,2 Story,2 Story,TRUE
09364090230000,0936409023,1,1,2022,2014,2016,post_1999_revision,2646,2646,1,3533,3533,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364100100000,0936410010,1,1,2004,1921,2003,pre_1999_to_post_1999,768,2340,3.046875,NA,NA,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE
09364100130000,0936410013,1,1,2015,1921,2014,pre_1999_to_post_1999,1120,3240,2.892857142857143,5890,5890,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09364100140000,0936410014,1,1,2006,1921,2005,pre_1999_to_post_1999,768,3109,4.048177083333333,NA,5890,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09364100140000,0936410014,1,1,2007,2005,2006,post_1999_revision,3109,3109,1,5890,5890,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364100140000,0936410014,1,1,2009,2006,2005,post_1999_revision,3109,3109,1,5890,5890,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364100140000,0936410014,1,1,2021,2005,2006,post_1999_revision,3109,3109,1,5890,5890,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364120220000,0936412022,1,1,2022,2014,2016,post_1999_revision,2684,2684,1,4421,4421,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364120240000,0936412024,1,1,2020,2014,2017,post_1999_revision,2802,2802,1,5416,5416,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364120240000,0936412024,1,1,2021,2017,2015,post_1999_revision,2802,2802,1,5416,5416,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364120250000,0936412025,1,1,2021,2014,2015,post_1999_revision,2802,2802,1,6200,6200,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364130050000,0936413005,1,1,2016,1943,2014,pre_1999_to_post_1999,1107,3260,2.944896115627823,4375,4375,0,0,Single-Family,Single-Family,2 Story,2 Story,TRUE
09364130390000,0936413039,1,1,2010,1940,1941,other,2279,2279,1,4962,4962,0,0,Single-Family,Single-Family,1.5 Story,1.5 Story,FALSE
09364130390000,0936413039,1,1,2012,1941,1940,other,2279,2279,1,4962,4962,0,0,Single-Family,Single-Family,1.5 Story,1.5 Story,FALSE
09364130390000,0936413039,1,1,2019,1940,2018,pre_1999_to_post_1999,2279,3022,1.326020184291356,4962,4962,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE
09364130390000,0936413039,1,1,2020,2018,2020,post_1999_revision,3022,3022,1,4962,4962,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364130390000,0936413039,1,1,2021,2020,2018,post_1999_revision,3022,3022,1,4962,4962,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364140120000,0936414012,1,1,2006,1922,2005,pre_1999_to_post_1999,1306,4216,3.228177641653905,NA,6250,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE
09364140140000,0936414014,1,1,2000,1960,1958,other,1202,1202,1,NA,NA,0,0,Single-Family,Single-Family,1 Story,1 Story,FALSE
09364140140000,0936414014,1,1,2005,1958,2004,pre_1999_to_post_1999,1202,3372,2.805324459234609,NA,NA,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09364140140000,0936414014,1,1,2021,2004,2005,post_1999_revision,3374,3374,1,6250,6250,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364140250000,0936414025,1,1,2014,1925,2011,pre_1999_to_post_1999,696,2368,3.4022988505747125,4125,4125,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09364140250000,0936414025,1,1,2021,2011,2012,post_1999_revision,2368,2368,1,4125,4125,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364140350000,0936414035,1,1,2020,1908,1911,other,1350,1350,1,4962,4962,0,0,Single-Family,Single-Family,1.5 Story,1.5 Story,FALSE
09364140350000,0936414035,1,1,2021,1911,1908,other,1350,1350,1,4962,4962,0,0,Single-Family,Single-Family,1.5 Story,1.5 Story,FALSE
09364140350000,0936414035,1,1,2022,1908,2022,pre_1999_to_post_1999,1350,2919,2.1622222222222223,4962,4962,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE
09364150030000,0936415003,1,1,2002,1926,1928,other,1547,1547,1,NA,NA,0,0,Single-Family,Single-Family,1.5 Story,1.5 Story,FALSE
09364150030000,0936415003,1,1,2003,1928,1926,other,1547,1547,1,NA,NA,0,0,Single-Family,Single-Family,1.5 Story,1.5 Story,FALSE
09364150030000,0936415003,1,1,2017,1926,2014,pre_1999_to_post_1999,1547,2628,1.6987718164188752,4166,4166,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE
09364150080000,0936415008,1,1,2015,1929,2014,pre_1999_to_post_1999,834,2385,2.8597122302158273,4166,4166,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09364150080000,0936415008,1,1,2021,2014,2015,post_1999_revision,2385,2385,1,4166,4166,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364150160000,0936415016,1,1,2001,1909,1999,pre_1999_to_post_1999,1500,7245,4.83,NA,NA,0,6,Single-Family,Multi-Family,1 Story,3 Story +,TRUE
09364150250000,0936415025,1,1,2018,1953,2017,pre_1999_to_post_1999,934,2075,2.221627408993576,4166,4166,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09364150250000,0936415025,1,1,2021,2017,2018,post_1999_revision,2075,2075,1,4166,4166,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364150250000,0936415025,1,1,2024,2018,1953,post_1999_to_pre_1999,2075,2075,1,4166,4166,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364150310000,0936415031,1,1,2016,1960,2014,pre_1999_to_post_1999,1522,NA,NA,5481,5481,0,NA,Single-Family,NA,1 Story,NA,FALSE
09364150310000,0936415031,1,1,2020,2014,2017,post_1999_revision,6151,6151,1,5481,5481,6,6,Multi-Family,Multi-Family,2 Story,2 Story,FALSE
09364150310000,0936415031,1,1,2021,2017,2015,post_1999_revision,6151,6151,1,5481,5481,6,6,Multi-Family,Multi-Family,2 Story,2 Story,FALSE
09364150310000,0936415031,1,1,2022,2015,2016,post_1999_revision,6151,6151,1,5481,5481,6,6,Multi-Family,Multi-Family,2 Story,3 Story +,TRUE
09364180070000,0936418007,1,1,2022,1999,2001,post_1999_revision,5490,5490,1,2675,2675,6,6,Multi-Family,Multi-Family,3 Story +,3 Story +,FALSE
09364180080000,0936418008,1,1,2002,1908,1999,pre_1999_to_post_1999,1980,5490,2.772727272727273,NA,NA,2,6,Multi-Family,Multi-Family,2 Story,3 Story +,TRUE
09364180080000,0936418008,1,1,2004,1999,1908,post_1999_to_pre_1999,5490,5490,1,NA,NA,6,6,Multi-Family,Multi-Family,3 Story +,3 Story +,FALSE
09364180080000,0936418008,1,1,2022,1908,1910,other,5490,5490,1,2650,2650,6,6,Multi-Family,Multi-Family,3 Story +,3 Story +,FALSE
09364180090000,0936418009,1,1,2019,1956,2018,pre_1999_to_post_1999,1070,8220,7.682242990654205,2650,2650,0,6,Single-Family,Multi-Family,1 Story,3 Story +,TRUE
09364180100000,0936418010,1,1,2019,1956,2018,pre_1999_to_post_1999,1070,8220,7.682242990654205,2625,2625,0,6,Single-Family,Multi-Family,1 Story,3 Story +,TRUE
09364220010000,0936422001,1,1,2013,1950,2011,pre_1999_to_post_1999,825,2400,2.909090909090909,4125,4125,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
09364220010000,0936422001,1,1,2020,2011,2014,post_1999_revision,2400,2400,1,4125,4125,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364220010000,0936422001,1,1,2021,2014,2012,post_1999_revision,2400,2400,1,4125,4125,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
09364220010000,0936422001,1,1,2022,2012,2013,post_1999_revision,2400,2400,1,4125,4125,0,0,Single-Family,Single-Family,2 Story,2 Story,FALSE
10253050050000,1025305005,1,1,2020,1953,2019,pre_1999_to_post_1999,1543,3764,2.439403758911212,3720,3720,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
10253050060000,1025305006,1,1,2020,1953,2019,pre_1999_to_post_1999,1543,3764,2.439403758911212,3720,3720,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
10253100350000,1025310035,1,1,2013,1951,2011,pre_1999_to_post_1999,2055,3068,1.4929440389294404,3720,3720,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
10253100360000,1025310036,1,1,2013,1951,2011,pre_1999_to_post_1999,2055,3068,1.4929440389294404,3720,3720,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
10253130200000,1025313020,1,1,2019,1950,2018,pre_1999_to_post_1999,1477,4390,2.972241029113067,3720,3720,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE
