external_row_id,matter_id,matter_intro_date,matter_title,address_phrase_source,address_phrase,census_query_address,query_note,input_address,match_status,match_type,matched_address,coordinates,longitude,latitude,tiger_line_id,tiger_line_side,geocoder_source,geocoder_endpoint,geocoder_benchmark
O2015-1528,O2015-1528,2015-03-18,Zoning Reclassification Map No. 12-E at E 50th St and S Dr. Martin L. King Jr. Dr.,matter_title_address_phrase,E 50th St and S Dr. Martin L. King Jr. Dr.,E 50th St and S Dr. Martin L. King Jr. Dr.,address_query,"E 50th St and S Dr. Martin L. King Jr. Dr., Chicago, IL",Match,Exact,"E 50TH ST & S DR MARTIN LUTHER KING JR DR, CHICAGO, IL, 60615","-87.61671326141,41.803921158388",-87.61671326141,41.803921158388,,,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
SO2015-3695,SO2015-3695,2015-05-06,Zoning Reclassification Map No. 1-G at 462 N May St - App No. 18370T1,address_raw,462 N May St,462 N May St,address_query,"462 N May St, Chicago, IL",Match,Exact,"462 N MAY ST, CHICAGO, IL, 60642","-87.655860796338,41.890744739467",-87.655860796338,41.890744739467,605091833,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2015-6386,O2015-6386,2015-09-24,Zoning Reclassification Map No. 9-M at 5833 W Irving Park Rd - App No. 18495,address_raw,5833 W Irving Park Rd,5833 W Irving Park Rd,address_query,"5833 W Irving Park Rd, Chicago, IL",Match,Exact,"5833 W IRVING PARK RD, CHICAGO, IL, 60634","-87.773183888191,41.953045116039",-87.773183888191,41.953045116039,111751537,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
SO2015-6407,SO2015-6407,2015-09-24,Zoning Reclassification Map No. 1-G at 768 N Aberdeen Ave - App No. 18517,address_raw,768 N Aberdeen Ave,768 N Aberdeen Ave,address_query,"768 N Aberdeen Ave, Chicago, IL",Match,Exact,"768 N ABERDEEN ST, CHICAGO, IL, 60642","-87.65476452528,41.895095519762",-87.65476452528,41.895095519762,605035456,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2015-8035,O2015-8035,2015-11-18,Zoning Reclassification Map No. 9-G at 1445 W Roscoe Ave - App No. 18575,address_raw,1445 W Roscoe Ave,1445 W Roscoe Ave,address_query,"1445 W Roscoe Ave, Chicago, IL",Match,Exact,"1445 W ROSCOE ST, CHICAGO, IL, 60657","-87.665813263549,41.943327841522",-87.665813263549,41.943327841522,605162487,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2016-2633,O2016-2633,2016-04-13,Zoning Reclassification Map No. 12-E at 4710-4714 S Dr. Martin L. King Jr. Dr. - App No. 18742T1,address_raw,4710-4714 S Dr. Martin L. King Jr. Dr.,4710-4714 S Dr. Martin L. King Jr. Dr.,address_query,"4710-4714 S Dr. Martin L. King Jr. Dr., Chicago, IL",Match,Exact,"4714 S DR MARTIN LUTHER KING JR DR, CHICAGO, IL, 60653","-87.616917753385,41.809081196472",-87.616917753385,41.809081196472,111770663,R,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
SO2016-2659,SO2016-2659,2016-04-13,Zoning Reclassification Map No. 5-N at 2120 N Natchez Ave - App No. 18747,address_raw,2120 N Natchez Ave,2120 N Natchez Ave,address_query,"2120 N Natchez Ave, Chicago, IL",Match,Exact,"2120 N NATCHEZ AVE, CHICAGO, IL, 60707","-87.787814161036,41.918615148859",-87.787814161036,41.918615148859,650459665,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
SO2016-4763,SO2016-4763,2016-06-22,Zoning Reclassification Map No. 18-C at 2246-2256 W 73rd St - App No. 18845T1,address_raw,2246-2256 W 73rd St,2246-2256 W 73rd St,address_query,"2246-2256 W 73rd St, Chicago, IL",Match,Exact,"2256 W 73RD ST, CHICAGO, IL, 60636","-87.679876157339,41.761147464939",-87.679876157339,41.761147464939,605310135,R,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
SO2017-3798,SO2017-3798,2017-05-24,Zoning Reclassification Map No. 5-H at 1914-1918 N Milwaukee Ave (commonly know as 1914 N Milwaukee Ave) - App No. 19213T1,address_raw,1914-1918 N Milwaukee Ave (commonly know as 1914 N Milwaukee Ave),1914-1918 N Milwaukee Ave,address_query,"1914-1918 N Milwaukee Ave, Chicago, IL",Match,Exact,"1918 N MILWAUKEE AVE, CHICAGO, IL, 60647","-87.686746364278,41.916316984308",-87.686746364278,41.916316984308,616886159,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2017-5516,O2017-5516,2017-07-26,Zoning Reclassification Map No. 5-H at 1842-1858 W Webster Ave amd 2200-2242 N Lister Ave - App No. 19323T1,address_raw,1842-1858 W Webster Ave amd 2200-2242 N Lister Ave,1842-1858 W Webster Ave and 2200-2242 N Lister Ave,address_query,"1842-1858 W Webster Ave and 2200-2242 N Lister Ave, Chicago, IL",Match,Exact,"W WEBSTER AVE & N LISTER AVE, CHICAGO, IL, 60614","-87.674495383678,41.921621489704",-87.674495383678,41.921621489704,,,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2017-7043,O2017-7043,2017-10-11,Zoning Reclassification Map No. 5-J at 3418 W McLean Ave - App No. 19390,address_raw,3418 W McLean Ave,3418 W McLean Ave,address_query,"3418 W McLean Ave, Chicago, IL",Match,FirstOfMultiple,"3418 W MC LEAN AVE, CHICAGO, IL, 60647","-87.712254921755,41.918305216533",-87.712254921755,41.918305216533,111759114,R,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
SO2017-8574,SO2017-8574,2017-12-13,Zoning Reclassification Map No. 13-H at 5348 N Ashland Ave - App No. 19459T1,address_raw,5348 N Ashland Ave,5348 N Ashland Ave,address_query,"5348 N Ashland Ave, Chicago, IL",Match,Exact,"5348 N ASHLAND AVE, CHICAGO, IL, 60640","-87.669775312653,41.979177026126",-87.669775312653,41.979177026126,111761214,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
SO2017-9014,SO2017-9014,2017-12-13,Zoning Reclassification Map No. 5-H at 2036 and 2038 W North Ave - Aoo No. 19490T1,matter_title_address_phrase,2036 and 2038 W North Ave,2036 and 2038 W North Ave,address_query,"2036 and 2038 W North Ave, Chicago, IL",Match,Exact,"2038 W NORTH AVE, CHICAGO, IL, 60647","-87.678925124355,41.910513473624",-87.678925124355,41.910513473624,635485328,R,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2018-2311,O2018-2311,2018-03-28,Zoning Reclassification Map No. 7-H at 2469 -2471 N Clybourne Ave - App No. 19590T1,address_raw,2469 -2471 N Clybourne Ave,2469 -2471 N Clybourne Ave,address_query,"2469 -2471 N Clybourne Ave, Chicago, IL",Match,Exact,"2471 N CLYBOURN AVE, CHICAGO, IL, 60614","-87.670708453324,41.926217457758",-87.670708453324,41.926217457758,642124275,R,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2018-3281,O2018-3281,2018-04-18,"Zoning Reclassification Map Nos. 11-G, 13-G and 15-G at W Hollywood Ave, N Winthrop Ave and various streets",matter_title_address_phrase,"W Hollywood Ave, N Winthrop Ave and various streets",,broad_various_streets_not_point_geocoded,,NO_QUERY,,,,,,,,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2018-4974,O2018-4974,2018-06-27,Zoning Reclassification Map No. 9-H at 2121 W Addison St - App No. 19707,address_raw,2121 W Addison St,2121 W Addison St,address_query,"2121 W Addison St, Chicago, IL",Match,Exact,"2121 W ADDISON ST, CHICAGO, IL, 60618","-87.681814475211,41.946760260958",-87.681814475211,41.946760260958,111760955,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
SO2018-4965,SO2018-4965,2018-06-27,Zoning Reclassification Map No. 1-I at 3127-3137 W Carroll St - App No. 19693T1,address_raw,3127-3137 W Carroll St,3127-3137 W Carroll St,address_query,"3127-3137 W Carroll St, Chicago, IL",Match,Exact,"3137 W CARROLL AVE, CHICAGO, IL, 60612","-87.704777346383,41.887478014193",-87.704777346383,41.887478014193,655291349,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2018-9298,O2018-9298,2018-12-12,Zoning Reclassification Map No. 3-K 1551 N Kostner  Ave - App No. 19896,matter_title_address_phrase,1551 N Kostner  Ave,1551 N Kostner Ave,address_query,"1551 N Kostner Ave, Chicago, IL",Match,Exact,"1551 N KOSTNER AVE, CHICAGO, IL, 60651","-87.736225408629,41.908459463544",-87.736225408629,41.908459463544,639790026,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2020-2374,O2020-2374,2020-05-20,Zoning Reclassification Map No. 6-J at 2417 S Christiana Ave - No. 20414,matter_title_address_phrase,2417 S Christiana Ave,2417 S Christiana Ave,address_query,"2417 S Christiana Ave, Chicago, IL",Match,Exact,"2417 S CHRISTIANA AVE, CHICAGO, IL, 60623","-87.708711768837,41.847759409319",-87.708711768837,41.847759409319,111799538,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2020-5580,O2020-5580,2020-11-16,Zoning Reclassification Map No. 5-J at 2156 N Kimball Ave - App No. 20538,address_raw,2156 N Kimball Ave,2156 N Kimball Ave,address_query,"2156 N Kimball Ave, Chicago, IL",Match,Exact,"2156 N KIMBALL AVE, CHICAGO, IL, 60647","-87.712058511566,41.920704656066",-87.712058511566,41.920704656066,605222562,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
