pin,construction_year,construction_proxy_date,multifamily,dist_to_boundary,ward_pair,longitude,latitude,anchor_date,anchor_zone_group,anchor_source,construction_replayed_zone_group,construction_linked_event_count,construction_applied_event_count,construction_applied_matter_ids,zone_code_2025,zone_group_2025,ordinance_number_2025,ordinance_date_2025,current_ordinance_date_recovered,current_event_date_for_validation,current_check_replayed_zone_group,current_check_linked_event_count,current_check_applied_event_count,current_check_applied_matter_ids,current_last_event_preconstruction,current_replay_matches_2025,current_event_source_groups,current_event_destination_groups,current_event_transition_source,current_event_origin_supports_construction_group,construction_zone_group,construction_zoning_status,construction_zone_group_supported
11323190150000,2017,2017-06-15,True,1324.150087504197,48_49,-87.6612136829,42.00181552800001,2015-11-18,Neighborhood Mixed-Use,official_november_2015_snapshot,Neighborhood Mixed-Use,0,0,,B3-5,Neighborhood Mixed-Use,,,,,Neighborhood Mixed-Use,0,0,,False,True,,,,False,Neighborhood Mixed-Use,supported_anchor_replay_matches_current_group,True
11323200060000,2021,2021-06-15,True,1015.571234747832,40_49,-87.6643051163,42.0010837209,2015-11-18,Neighborhood Mixed-Use,official_november_2015_snapshot,Neighborhood Mixed-Use,0,0,,B1-2,Neighborhood Mixed-Use,,,,,Neighborhood Mixed-Use,0,0,,False,True,,,,False,Neighborhood Mixed-Use,supported_anchor_replay_matches_current_group,True
11323300400000,2014,2014-06-15,True,546.6882604373211,40_49,-87.6626054936,41.998395135,2012-10-31,Neighborhood Mixed-Use,official_october_2012_snapshot,Neighborhood Mixed-Use,0,0,,B3-2,Neighborhood Mixed-Use,,,,,Neighborhood Mixed-Use,0,0,,False,True,,,,False,Neighborhood Mixed-Use,supported_validated_snapshot_replay,True
11323310340000,2008,2008-06-15,True,107.5688128375585,40_49,-87.6610887854,41.9999652152,2006-01-01,Neighborhood Mixed-Use,reviewed_history_seed,Neighborhood Mixed-Use,0,0,,PD 34,Planned Development,17088,2010-11-03,,2010-11-03,Planned Development,1,1,journal_17088,False,True,Multi-Family Residential;Neighborhood Mixed-Use;Planned Development,Multi-Family Residential;Neighborhood Mixed-Use;Planned Development,council_journal_parser,True,Neighborhood Mixed-Use,supported_reviewed_2006_history,True
11323310360000,2019,2019-06-15,True,338.4764311541651,48_49,-87.66105971720002,41.99911235,2015-11-18,Neighborhood Mixed-Use,official_november_2015_snapshot,Planned Development,1,1,SO2017-906,PD 1372,Planned Development,19130,2017-05-24,,2017-05-24,Planned Development,1,1,SO2017-906,True,True,Neighborhood Mixed-Use;Multi-Family Residential,Planned Development,modern_matter_parser,False,Planned Development,supported_current_polygon_last_event_preconstruction,True
12242020150000,2007,2007-06-15,False,1252.743743087366,36_38,-87.8142567212,41.951671346899985,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
12242100220000,2007,2007-06-15,False,1418.3905011698278,36_38,-87.8147969684,41.949730847800005,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,15154,2005-11-01,,2005-11-01,Single-Family Residential,0,0,,True,True,,,,False,Single-Family Residential,supported_current_polygon_last_event_preconstruction,True
12242100230000,2007,2007-06-15,False,1448.6863231663442,36_38,-87.8149063709,41.9496782039,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,15154,2005-11-01,,2005-11-01,Single-Family Residential,0,0,,True,True,,,,False,Single-Family Residential,supported_current_polygon_last_event_preconstruction,True
12242220200000,2007,2007-06-15,False,669.1978952190018,36_38,-87.810366307,41.9471179978,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
12242290130000,2008,2008-06-15,False,993.1116015405344,36_38,-87.8110391405,41.94636208019999,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
12243110410000,2021,2021-06-15,False,1441.3393469055209,29_38,-87.8219117482,41.94174642070001,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
12243150070000,2016,2016-06-15,False,510.19923293725327,29_38,-87.8175575591,41.9425733301,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
12243300010000,2018,2018-06-15,False,569.8528750124092,29_38,-87.8186661391,41.9394290975,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
12244030010000,2022,2022-06-15,True,1259.73053426845,29_38,-87.8129172373,41.9448841015,2015-11-18,Neighborhood Mixed-Use,official_november_2015_snapshot,Neighborhood Mixed-Use,1,0,,B2-2,Neighborhood Mixed-Use,19699,2018-09-20,,2018-09-20,Neighborhood Mixed-Use,1,0,,True,True,Neighborhood Mixed-Use,Neighborhood Mixed-Use,modern_matter_parser,True,Neighborhood Mixed-Use,supported_current_polygon_last_event_preconstruction,True
12244030110000,2018,2018-06-15,False,1136.486707415106,29_38,-87.812718995,41.944549524699994,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
12244040320000,2015,2015-06-15,False,744.200008168815,29_38,-87.8113967473,41.9434987771,2014-07-30,Single-Family Residential,official_july_2014_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
12244150400000,2021,2021-06-15,True,644.8161810051251,29_38,-87.8077788372,41.9432983767,2015-11-18,Multi-Family Residential,official_november_2015_snapshot,Multi-Family Residential,0,0,,RT-3.5,Multi-Family Residential,15143,2005-09-14,,2005-09-14,Multi-Family Residential,0,0,,True,True,,,,False,Multi-Family Residential,supported_current_polygon_last_event_preconstruction,True
12244180480000,2016,2016-06-15,False,344.3669275080305,29_38,-87.8137972421,41.94046259379999,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
12252090390000,2015,2015-06-15,False,1092.6163066525498,29_38,-87.8148351221,41.9352166895,2014-07-30,Single-Family Residential,official_july_2014_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,14427,2004-09-01,,2004-09-01,Single-Family Residential,0,0,,True,True,,,,False,Single-Family Residential,supported_current_polygon_last_event_preconstruction,True
12252100080000,2022,2022-06-15,False,1381.1192676435987,29_38,-87.8135981408,41.93483894570001,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13011200230000,2019,2019-06-15,True,425.72764849187166,40_50,-87.7010503284,41.9930023085,2015-11-18,Multi-Family Residential,official_november_2015_snapshot,Multi-Family Residential,0,0,,RT-4,Multi-Family Residential,,,,,Multi-Family Residential,0,0,,False,True,,,,False,Multi-Family Residential,supported_anchor_replay_matches_current_group,True
13011210070000,2018,2018-06-15,True,235.8964490184675,40_50,-87.7003588954,41.993214685599995,2015-11-18,Multi-Family Residential,official_november_2015_snapshot,Multi-Family Residential,0,0,,RT-4,Multi-Family Residential,,,,,Multi-Family Residential,0,0,,False,True,,,,False,Multi-Family Residential,supported_anchor_replay_matches_current_group,True
13011260270000,2006,2006-06-15,False,805.638891751114,40_50,-87.7046783809,41.9926226798,2006-01-01,Single-Family Residential,reviewed_history_seed,Multi-Family Residential,1,1,journal_A5865,RT-4,Multi-Family Residential,A5865,2006-02-08,,2006-02-08,Multi-Family Residential,1,1,journal_A5865,True,True,Single-Family Residential,Multi-Family Residential,council_journal_parser,False,Multi-Family Residential,supported_current_polygon_last_event_preconstruction,True
