project_id,construction_year,selected_source_addresses,component_pins,component_count,selected_vintage,source_row_ids,assessor_land_sqft,project_land_area_sqft,assessor_to_parcel_land_ratio,land_area_agrees_within_10pct,land_area_agrees_within_25pct,exact_construction_year_components,geography_status,requested_components,resolved_components,collapsed_components,within_1500ft,within_500ft,candidate_status,decision_reason,land_review_required,land_review_reason
commercial_13361070340000,2008,2827 W BELDEN CHICAGO,13361070340000,1,2024,59359,15357,12693.427799923113,1.2098386851889622,FALSE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13361070360000,2006,2318 N MILWAUKEE CHICAGO,13361070350000/13361070360000/13361070370000/13361070380000,4,2024,61246,15904,9285.73800014332,1.7127340874526646,FALSE,FALSE,TRUE,complete_construction_year_geometry,4,4,0,TRUE,TRUE,retain_mechanical,coherent_2024_primary_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13361150430000,2015,3044 W ARMITAGE CHICAGO,13361150430000/13361150440000/13361150450000/13361150460000,4,2024,59372,12500,12751.502800047398,0.9802766149220888,TRUE,TRUE,TRUE,complete_construction_year_geometry,4,4,0,TRUE,TRUE,review_required,permit_unit_counts_do_not_include_assessor_count,FALSE,use_exact_construction_year_parcel_union
commercial_13361250140000,2008,2030 N CALIFORNIA CHICAGO,13361250140000/13361250150000/13361250160000,3,2024,59385,9128,9256.641200505195,0.9861028209132515,TRUE,TRUE,TRUE,complete_construction_year_geometry,3,3,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13362040010000,2018,2533 W FULLERTON CHICAGO,13362040010000/13362040020000/13362040030000,3,2024,59387,10200,10176.861534758704,1.0022736346723662,TRUE,TRUE,TRUE,complete_construction_year_geometry,3,3,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13362100010000,2014,2291 N MILWAUKEE CHICAGO,13362100010000/13362100020000/13362100030000/13362100040000/13362100050000/13362100060000/13362100120000/13362100130000/13362100140000,9,2024,59390,41931,42198.38380009495,0.9936636483197646,TRUE,TRUE,TRUE,complete_construction_year_geometry,9,9,0,TRUE,TRUE,review_required,component_membership_changed_across_vintages,FALSE,use_exact_construction_year_parcel_union
commercial_13362240070000,2014,2129 N CAMPBELL CHICAGO,13362240070000,1,2024,59395,9390,10026.094400067814,0.9365561130101158,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13363200350000,2007,1727 N HUMBOLDT CHICAGO,13363200350000,1,2024,59434,18748,18748.066039726134,0.999996477517948,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13363280310000,2021,2942 W NORTH CHICAGO,13363280310000/13363280350000,2,2024,59443,17830,17497.909559234977,1.0189788637117372,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,coherent_2024_revision_same_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13364000330000,2011,1943 N CALIFORNIA CHICAGO,13364000330000/13364000340000,2,2024,59449,20381,20616.72571964562,0.9885662872538001,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,review_required,permit_unit_counts_do_not_include_assessor_count,FALSE,use_exact_construction_year_parcel_union
commercial_13364040200000,2017,2435 W ARMITAGE CHICAGO,13364040200000/13364040210000/13364040220000/13364040250000/13364040340000,5,2024,59452,22019,22613.426276525483,0.9737135686889454,TRUE,TRUE,TRUE,complete_construction_year_geometry,5,5,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13364040260000,2019,1966 N MILWAUKEE CHICAGO,13364040260000/13364040270000,2,2024,59453,6400,6545.945410134271,0.9777044565773002,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,coherent_2024_revision_same_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13364090210000,2011,1803 N CALIFORNIA CHICAGO,13364090210000/13364090220000,2,2024,59455,6285,6285.963399915025,0.999846737905754,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13364140420000,2020,2404 W. Moffat St.,13364140420000/13364140430000,2,2021,79777,4450,4408.297447707504,1.0094600132561797,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,review_required,permit_unit_counts_do_not_include_assessor_count,FALSE,use_exact_construction_year_parcel_union
commercial_13364240420000,2021,1714 N WESTERN CHICAGO,13364240420000/13364240430000/13364240440000/13364240450000/13364240460000/13364240470000/13364240480000,7,2024,59458,17412,17301.94384510955,1.0063609127318698,TRUE,TRUE,TRUE,complete_construction_year_geometry,7,7,0,TRUE,TRUE,retain_mechanical,coherent_2024_primary_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13364240570000,2022,1730 N WESTERN CHICAGO,13364240570000,1,2024,59459,31378,31378.200816094875,0.9999936001399171,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,coherent_2024_primary_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13364250360000,2014,2744 W NORTH CHICAGO,13364250360000/13364250370000/13364250380000,3,2024,59460,9000,9052.534000141546,0.9941967630123538,TRUE,TRUE,TRUE,complete_construction_year_geometry,3,3,0,TRUE,TRUE,review_required,permit_unit_counts_do_not_include_assessor_count,FALSE,use_exact_construction_year_parcel_union
commercial_13364270320000,2013,2656 W NORTH CHICAGO,13364270320000,1,2024,59463,6539,6377.434400227619,1.0253339493020288,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,coherent_2024_revision_same_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13364270350000,2007,2644 W NORTH CHICAGO,13364270350000/13364270360000/13364270370000/13364270380000/13364270390000,5,2024,59465,16134,15823.46519999206,1.0196249554748662,TRUE,TRUE,TRUE,complete_construction_year_geometry,5,5,0,TRUE,TRUE,retain_mechanical,coherent_2024_revision_same_entity,FALSE,use_exact_construction_year_parcel_union
commercial_14052000010000,2019,6351 N BROADWAY CHICAGO,14052000010000/14052000020000,2,2024,40054,15000,15037.222180128098,0.9975246638187413,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,review_required,permit_unit_counts_do_not_include_assessor_count,FALSE,use_exact_construction_year_parcel_union
commercial_14083050540000,2021,1212 W CARMEN CHICAGO,14083050540000,1,2024,39935,8213,8213.037844717503,0.9999953921169952,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14083060130000,2014,5058 N CLARK CHICAGO,14083060130000,1,2024,39829,6734,6786.001799624413,0.9923369015865438,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14083170400000,2021,1236 W LAWRENCE CHICAGO,14083170400000,1,2024,40757,4025,4015.693034972995,1.0023176485219238,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,review_required,permit_unit_counts_do_not_include_assessor_count,FALSE,use_exact_construction_year_parcel_union
commercial_14084000010000,2019,5153 N BROADWAY CHICAGO,14084000010000/14084000020000,2,2024,40304,10500,10496.150679642336,1.000366736385095,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14084000040000,2017,5137 N BROADWAY CHICAGO,14084000040000/14084000090000,2,2024,39987,14750,14587.452144176234,1.0111429915393868,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14084040010000,2022,5077 N BROADWAY CHICAGO,14084040010000,1,2024,40926,13500,13331.11128254654,1.01266876510697,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,review_required,missing_or_nonpositive_building_area,FALSE,use_exact_construction_year_parcel_union
commercial_14171000010000,2019,4757 N ASHLAND CHICAGO,14171000010000,1,2024,39958,17940,17938.591262713075,1.0000785310990308,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,review_required,permit_unit_counts_do_not_include_assessor_count,FALSE,use_exact_construction_year_parcel_union
commercial_14171060100000,2008,4644 N CLARK CHICAGO,14171060100000/14171060110000,2,2024,39978,28349,28010.71219982207,1.0120770867147062,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14171150220000,2014,4520 N BEACON CHICAGO,14171150220000/14171150310000,2,2024,40066,23828,23829.0957996808,0.9999540142148066,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14171200250000,2022,4410 N CLARK CHICAGO,14171200250000,1,2024,39911,10000,10028.96488270798,0.9971118771431814,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,review_required,missing_or_nonpositive_building_area,FALSE,use_exact_construction_year_parcel_union
commercial_14171210100000,2014,4425 N CLARK CHICAGO,14171210100000/14171210110000/14171210120000,3,2024,39984,10925,10946.295400127769,0.9980545564184646,TRUE,TRUE,TRUE,complete_construction_year_geometry,3,3,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14192240330000,2019,3720 N ASHLAND CHICAGO,14192240330000/14192240340000,2,2024,39848,5400,5418.040112547576,0.9966703619440178,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14192320210000,2011,1607 W WAVELAND CHICAGO,14192320210000,1,2024,39813,5184,5184.576400061138,0.9998888240780613,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14193160240000,2007,3307 N WESTERN CHICAGO,14193160240000/14193160250000,2,2024,39786,7811,7776.1815004665405,1.0044775831854453,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14194140460000,2014,1728 W ROSCOE CHICAGO,14194140460000/14194140470000/14194140480000,3,2024,40400,34176,11392.949726011604,2.9997499174398787,FALSE,FALSE,FALSE,complete_construction_year_geometry,3,3,2,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,TRUE,predecessor_parcel_union_requires_review
commercial_14194350290000,2019,3220 N LINCOLN CHICAGO,14194350290000/14194350300000,2,2024,39897,6149,5977.9436077699065,1.0286145878003534,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,review_required,permit_unit_counts_do_not_include_assessor_count,FALSE,use_exact_construction_year_parcel_union
commercial_14194350410000,2021,1642 W BELMONT CHICAGO,14194350410000,1,2024,39941,6250,6385.716445151891,0.9787468725995611,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14201040060000,2022,3839 N CLARK CHICAGO,14201040060000/14201040070000,2,2024,39872,5140,5141.563046581403,0.9996959977798109,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,review_required,missing_or_nonpositive_building_area,FALSE,use_exact_construction_year_parcel_union
commercial_14201080160000,2014,3819 N SOUTHPORT CHICAGO,14201080160000,1,2024,39781,6000,6001.118999922648,0.9998135347886515,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14202200010000,2021,959 W GRACE CHICAGO,14202200010000/14202200020000,2,2024,40451,15112,15025.876504272224,1.0057316786613606,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14202220280000,2011,3740 N HALSTED CHICAGO,14202220280000,1,2024,40044,58669,45080.401799272746,1.3014302814165795,FALSE,FALSE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14202300160000,2012,3600 N HALSTED CHICAGO,14202300160000/14202300200000,2,2024,39735,163152,40314.85840047896,4.046944637118251,FALSE,FALSE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,review_required,documented_manual_case,FALSE,use_exact_construction_year_parcel_union
commercial_14203000310000,2020,3515 N ASHLAND CHICAGO,14203000310000/14203000320000/14203000330000,3,2024,40620,45271,45269.80864812434,1.0000263166978443,TRUE,TRUE,TRUE,complete_construction_year_geometry,3,3,0,TRUE,TRUE,review_required,permit_unit_counts_do_not_include_assessor_count,FALSE,use_exact_construction_year_parcel_union
commercial_14203080100000,2022,3415 N ASHLAND CHICAGO,14203080100000/14203080310000/14203080330000,3,2024,40076,16585,16370.983837664127,1.0130728955851447,TRUE,TRUE,TRUE,complete_construction_year_geometry,3,3,0,TRUE,TRUE,review_required,missing_or_nonpositive_building_area,FALSE,use_exact_construction_year_parcel_union
commercial_14203280470000,2008,1511 W MELROSE CHICAGO,14203280470000,1,2024,39723,37577,22407.749525251915,1.6769644786351006,FALSE,FALSE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14203290420000,2019,1400 W BELMONT CHICAGO,14203290420000,1,2024,39948,9000,8978.002142892743,1.0024501951277291,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14213040110000,2022,3478 N BROADWAY CHICAGO,14213040110000/14213040120000/14213040320000,3,2024,39864,69112,68669.38620495796,1.0064455766900402,TRUE,TRUE,TRUE,complete_construction_year_geometry,3,3,0,TRUE,TRUE,review_required,missing_or_nonpositive_building_area,FALSE,use_exact_construction_year_parcel_union
commercial_14281230200000,2017,514 W DIVERSEY CHICAGO,14281230200000,1,2024,39890,11218,11218.26405607164,0.9999764619489859,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,review_required,permit_unit_counts_do_not_include_assessor_count,FALSE,use_exact_construction_year_parcel_union
commercial_14291000140000,2022,3113 N LINCOLN CHICAGO,14291000140000/14291000380000,2,2024,39769,3992,3825.063588609919,1.0436427807075355,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,review_required,missing_or_nonpositive_building_area,FALSE,use_exact_construction_year_parcel_union
commercial_14293180280000,2015,1544 W FULLERTON CHICAGO,14293180280000/14293180290000/14293180300000/14293180310000,4,2024,39790,12500,12467.628400027752,1.0025964521024846,TRUE,TRUE,TRUE,complete_construction_year_geometry,4,4,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
commercial_14294010290000,2018,2740 N LINCOLN CHICAGO,14294010290000,1,2024,39793,6250,6164.431299541146,1.0138810372442992,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,stable_membership_2021_field_fallback,FALSE,use_exact_construction_year_parcel_union
