project_id,dwelling_units,decision_reason,permit_addresses,addresses_with_unit_counts,addresses_with_resolved_units,resolved_address_unit_sum,assessor_units_match_one_address,assessor_units_match_resolved_address_sum
commercial_17344170280000,NA,selected_vintage_contains_multiple_entity_values,13,10,10,163,FALSE,FALSE
commercial_17344190130000,162,component_membership_changed_across_vintages,5,2,2,14,FALSE,FALSE
commercial_17344270230000,76,permit_unit_counts_do_not_include_assessor_count,13,8,8,80,FALSE,FALSE
commercial_17344330060000,8,permit_unit_counts_do_not_include_assessor_count,1,1,1,12,FALSE,FALSE
commercial_17344330110000,74,permit_unit_counts_do_not_include_assessor_count,1,1,1,76,FALSE,FALSE
commercial_19024290170000,30,component_membership_changed_across_vintages,1,1,1,30,TRUE,TRUE
commercial_19111240120000,78,permit_unit_counts_do_not_include_assessor_count,8,8,8,39,FALSE,FALSE
commercial_19191150430000,12,permit_unit_counts_do_not_include_assessor_count,2,2,2,12,FALSE,TRUE
commercial_19232000170000,14,permit_unit_counts_do_not_include_assessor_count,1,1,0,NA,FALSE,FALSE
commercial_20021110010000,48,missing_or_nonpositive_land_area,1,1,1,48,TRUE,TRUE
commercial_20021130010000,8,missing_or_nonpositive_land_area,NA,0,0,NA,FALSE,FALSE
commercial_20021200190000,33,missing_or_nonpositive_land_area,1,1,1,33,TRUE,TRUE
commercial_20023050190000,18,permit_unit_counts_do_not_include_assessor_count,2,2,2,24,FALSE,FALSE
commercial_20031200120000,35,missing_or_nonpositive_land_area,NA,0,0,NA,FALSE,FALSE
commercial_20031210190000,12,missing_or_nonpositive_land_area,NA,0,0,NA,FALSE,FALSE
commercial_20031210430000,8,component_membership_changed_across_vintages,NA,0,0,NA,FALSE,FALSE
commercial_20034130510000,42,missing_or_nonpositive_land_area,NA,0,0,NA,FALSE,FALSE
commercial_20042140440000,183,component_membership_changed_across_vintages,NA,0,0,NA,FALSE,FALSE
commercial_20112130420000,36,permit_unit_counts_do_not_include_assessor_count,1,1,1,34,FALSE,FALSE
commercial_20114050130000,179,permit_unit_counts_do_not_include_assessor_count,3,1,0,NA,FALSE,FALSE
commercial_20143060140000,858,component_membership_changed_across_vintages,1,0,0,NA,FALSE,FALSE
commercial_20151060280000,54,documented_manual_case,2,2,2,54,FALSE,TRUE
commercial_20153010080000,24,permit_unit_counts_do_not_include_assessor_count,1,1,1,9,FALSE,FALSE
commercial_20153020050000,10,permit_unit_counts_do_not_include_assessor_count,2,2,2,35,FALSE,FALSE
commercial_20153020180000,19,component_membership_changed_across_vintages,NA,0,0,NA,FALSE,FALSE
commercial_20153100130000,12,missing_or_nonpositive_land_area,1,1,1,12,TRUE,TRUE
commercial_20153130010000,12,component_membership_changed_across_vintages,NA,0,0,NA,FALSE,FALSE
commercial_20153150080000,14,missing_or_nonpositive_land_area,1,1,1,14,TRUE,TRUE
commercial_20153150350000,31,permit_unit_counts_do_not_include_assessor_count,1,1,1,27,FALSE,FALSE
commercial_20163250190000,277,component_membership_changed_across_vintages,1,0,0,NA,FALSE,FALSE
commercial_20232000180000,15,permit_unit_counts_do_not_include_assessor_count,1,1,1,18,FALSE,FALSE
commercial_20262050130000,130,permit_unit_counts_do_not_include_assessor_count,1,1,1,140,FALSE,FALSE
commercial_24131000010000,4,permit_unit_counts_do_not_include_assessor_count,1,1,1,3,FALSE,FALSE
commercial_25013240390000,134,missing_or_nonpositive_land_area,NA,0,0,NA,FALSE,FALSE
commercial_25074130200000,NA,selected_vintage_contains_multiple_entity_values,NA,0,0,NA,FALSE,FALSE
commercial_25222100020000,27,permit_unit_counts_do_not_include_assessor_count,1,1,1,26,FALSE,FALSE
