project_id,permit_chain_id,permit_records,directly_matched_permits,permit_numbers,permit_addresses,address_keys,earliest_application_date,earliest_issue_date,latest_issue_date,permit_statuses,work_descriptions,distinct_unit_counts,unit_counts,unit_contexts,resolved_chain_units,chain_resolution
commercial_13142030200000,permit_chain_100202286,2,1,100202286/B100241562,4730 N KIMBALL AVE,4730 N KIMBALL,2007-09-26,2007-09-26,2008-06-09,COMPLETE,"100202286: ERECT A 5 STORY STEEL, PRECAST CONCRETE PLANK, MASONRY VENEER, 59 DWELLING UNIT BUILDING WITH PARKING AND MERCANTILE USE ON THE FIRST FLOOR.  CERTIFIED CORRECTIONS-CONDITIONAL PERMIT- SUBJECT TO FULL COMPLIANCE WITH THE MUNICIPAL CODE OF CHICAGO AND FIELD INSPECTION || B100241562: REVISION TO THE PERMIT #100202286 CHANGE OF THE ELECTRICAL CONTRACTOR ONLY (NO CHANGES IN THE ORIGINAL PLAN AND DIAGRAMS)",1,59,"100202286: 59 [ERECT A 5 STORY STEEL, PRECAST CONCRETE PLANK, MASONRY VENEER, 59 DWELLING UNIT BUILDING WITH PARKING AND MERCANTILE USE ON THE FIRST FLOOR. CERTIFIED CORRECTIONS-CONDITIONAL PER]",59,single_unit_count
commercial_13143060050000,permit_chain_100484431,4,2,100484431/100488250/100488254/100505120,3508 N SACRAMENTO AVE / 3639 W MONTROSE AVE / 3643 W MONTROSE AVE,3508 N SACRAMENTO/3639 W MONTROSE/3643 W MONTROSE,2013-04-22,2013-05-16,2013-08-20,COMPLETE,"100484431: ERECT A NEW 3 STORY MASONRY BUILDING WITH BASEMENT, 6 RESIDENTIAL UNITS TYPE 3B CONSTRUCTION, ERECT (1 ) 6 CAR MASONRY DETACHED GARAGE 50' X 20', AS PER PLANS. || 100488254: ERECT A NEW 3 STORY MASONRY BUILDING WITH BASEMENT, 6 RESIDENTIAL UNITS TYPE 3B CONSTRUCTION, ERECT 6 CAR MASONRY DETACHED GARAGE 35' X 20' AND 18' X 20' ( PROROTYPE SELF-CERT 100484431 3508 N SACRAMENTO ) || 100488250: **SELF CERT PROJECT** - ERECT A NEW 3 STORY MASONRY BUILDING WITH BASEMENT, 6 RESIDENTIAL UNITS TYPE 3B CONSTRUCTION, ERECT 6 CAR MASONRY DETACHED GARAGE 35' X 20' AND 18' X 20' (  PROROTYPE SELF-CERT 100484431 3508 N SACRAMENTO ) (SUBJECT TO AUDIT & FIELD INSPECTION) || 100505120: CHANGE OF PLUMBING CONTRACTOR TO JAROSLAW KUBISZTAL DBA J & K PLUMBING FOR PERMIT 100488254",1,6,"100484431: 6 [ERECT A NEW 3 STORY MASONRY BUILDING WITH BASEMENT, 6 RESIDENTIAL UNITS TYPE 3B CONSTRUCTION, ERECT (1 ) 6 CAR MASONRY DETACHED GARAGE 50' X 20', AS PER PLANS.] || 100488250: 6 [**SELF CERT PROJECT** - ERECT A NEW 3 STORY MASONRY BUILDING WITH BASEMENT, 6 RESIDENTIAL UNITS TYPE 3B CONSTRUCTION, ERECT 6 CAR MASONRY DETACHED GARAGE 35' X 20' AND 18' X 20' ( PROROTYPE SELF] || 100488254: 6 [ERECT A NEW 3 STORY MASONRY BUILDING WITH BASEMENT, 6 RESIDENTIAL UNITS TYPE 3B CONSTRUCTION, ERECT 6 CAR MASONRY DETACHED GARAGE 35' X 20' AND 18' X 20' ( PROROTYPE SELF-]",6,single_unit_count
commercial_13143060050000,permit_chain_100488245,1,1,100488245,3647 W MONTROSE AVE,3647 W MONTROSE,2013-06-19,2013-06-19,2013-06-19,COMPLETE,"100488245: ERECT NEW 3 STORY MASONRY BUILDING 3 DWELLING UNITS, A NEW NON-COMBUSTIBLE METAL STAIR SYSTEM AND A NEW 3 CAR DETACHED MASONRY GARAGE 25' X 20' AS PER PLANS.",1,3,"100488245: 3 [ERECT NEW 3 STORY MASONRY BUILDING 3 DWELLING UNITS, A NEW NON-COMBUSTIBLE METAL STAIR SYSTEM AND A NEW 3 CAR DETACHED MASONRY GARAGE 25' X 20' AS PER]",3,single_unit_count
commercial_13173090120000,permit_chain_100675550,3,1,100675550/100719221/100733766,4111 N NARRAGANSETT AVE,4111 N NARRAGANSETT,2017-04-13,2017-04-13,2017-12-13,COMPLETE,"100675550: ERECT NEW 3 STORY MASONRY BUILDING 15 DWELLING UNITS AS PER PLANS. PERMIT INCLUDES 6'-0"" TALL WOOD FENCE AND 20'-0"" X 6'-4"" TRASH ENCLOSURE**CERTIFIED CORRECTIONS- - SUBJECT TO FIELD INSPECTIONS & AUDIT ** || 100719221: CHANGE PLUMBER TO ERM PLUMBING INC. REVISION TO PERMIT NUMBER 100675550. || 100733766: REVISION TO PERMIT 100675550, ELECTRICAL AND HVAC MECHANICAL REVISIONS AS PER PLANS TO EXISTING 3 STORY 15 DWELLING UNITS AS PER PLANS.",1,15,"100675550: 15 [ERECT NEW 3 STORY MASONRY BUILDING 15 DWELLING UNITS AS PER PLANS. PERMIT INCLUDES 6'-0"" TALL WOOD FENCE AND 20'-0"" X 6'-4"" TRASH ENCLOSURE**CERTIFIED C] || 100733766: 15 [SION TO PERMIT 100675550, ELECTRICAL AND HVAC MECHANICAL REVISIONS AS PER PLANS TO EXISTING 3 STORY 15 DWELLING UNITS AS PER PLANS.]",15,single_unit_count
commercial_13173090120000,permit_chain_100675556,3,1,100675556/100704965/100733768,4119 N NARRAGANSETT AVE,4119 N NARRAGANSETT,2017-04-13,2017-04-13,2017-12-14,COMPLETE,"100675556: ERECT NEW 3 STORY MASONRY BUILDING 15 DWELLING UNITS AS PER PLANS. PERMIT ALSO INCLUDES A 6'-0"" WOOD FENCE AND A 12'X12' TRASH ENCLOSURE**CERTIFIED CORRECTIONS- - SUBJECT TO FIELD INSPECTIONS & AUDIT ** || 100704965: REVISION TO PERMIT 100675556, INTERIOR AND EXTERIOR ALTERATIONS, NEW SLIDING DOORS ON NORTH SIDE OF BUILDING MASTER BEDROOMS, NEW JULIET BALCONIES AT SECOND AND THIRD FLOORS ON NORTH SIDE OF BUILDING MASTER BEDROOMS AS PER PLANS.(CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS) || 100733768: REVISION TO PERMIT 100675556, ELECTRICAL AND HVAC MECHANICAL AS PER PLANS TO AN EXISTING 2 STORY 15 DWELLING UNITS AS PER PLANS.(CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS)",1,15,"100675556: 15 [ERECT NEW 3 STORY MASONRY BUILDING 15 DWELLING UNITS AS PER PLANS. PERMIT ALSO INCLUDES A 6'-0"" WOOD FENCE AND A 12'X12' TRASH ENCLOSURE**CERTIFIED CORR] || 100733768: 15 [REVISION TO PERMIT 100675556, ELECTRICAL AND HVAC MECHANICAL AS PER PLANS TO AN EXISTING 2 STORY 15 DWELLING UNITS AS PER PLANS.(CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS)]",15,single_unit_count
commercial_13173110010000,permit_chain_100703769,2,1,100703769/100722661,4015 N NARRAGANSETT AVE,4015 N NARRAGANSETT,2017-05-25,2017-07-13,2017-08-24,COMPLETE,"100703769: ERECT NEW 3 STORY MASONRY BUILDING TYPE 3B CONSTRUCTION 15 DWELLING UNITS, NEW MASONRY TRASH ENCLOSURE 8'-4"" X 9'-8""X 6'-0"" AND 20 OUTDOOR PARKING SPACES AND SITE WORK AS PER PLANS.( 4015-4019-4025 N NARRAGANSETT AVE) || 100722661: REVISION TO PERMIT #100703769 TO CHANGE PLUMBING CONTRACTOR TO CISCO PLUMBING SERVICE CORP.",1,15,"100703769: 15 [ERECT NEW 3 STORY MASONRY BUILDING TYPE 3B CONSTRUCTION 15 DWELLING UNITS, NEW MASONRY TRASH ENCLOSURE 8'-4"" X 9'-8""X 6'-0"" AND 20 OUTDOOR PARKING SPACES AND SITE WORK AS PE]",15,single_unit_count
commercial_13203280120000,permit_chain_100873914,4,1,100873914/100908296/100928413/B100961814,6340 W BELMONT AVE,6340 W BELMONT,2020-09-17,2020-11-10,2022-03-10,COMPLETE,"100873914: MIXED USE DEVELOPMENT WITH 24 DWELLING UNITS, GROUND FLOOR RETAIL SPACE, AND 12 CAR ATTACHED GARAGE, WITH EXTERIOR TRASH ENCLOSURE, 170' OF FENCING AND 12 EXTERIOR PARKING SPACES.  OCCUPANCY CLASS A2 - MULTIPLE DWELLINGS; TYPE IIIB CONSTRUCTION WITH FIRE SPRINKLER SYSTEM. ""STRUCTURAL PEER REVIEW REPORT"" [SEE REVISION #100908296 TO CONVERT 1ST FLOOR RETAIL USES TO 3 DU W/ NEW MEZZANINE] (27 UNITS TOTAL) || 100908296: REVISION TO PERMIT 100873914 - CONVERT 24 DU TO 27 DU BY CONVERTING 1ST FLOOR RETAIL USES TO 3 DU W/ NEW MEZZANINE FLOOR ADDITIONS; CONVERT 12-CAR ATTACHED GARAGE TO 16-CAR (TOTAL 28 PARKING STALLS ARE PROVIDED); CONVERT 12-BIKE TO 16-BIKE; CONVERT THE EXIST. 5-STORY MIXED USE TO A RESIDENTIAL BUILDING. SUBMITTED FOR REVIEW UNDER THE MOST RECENT 2019 C.B.C.(CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS) || 100928413: REVISION TO PERMIT#100908296 ALT. CODE APPROVAL:CHANGE APPROVED ABOVE AND UNDERGROUND WASTE AND VENT CAST IRON PIPING TO PVC OF NEW 4 STORY RESIDENTIAL MEZZANINE APARTMENTS || B100961814: CHANGE IN THE SIZE OF ELECTRICAL SERVICE TO 1200A 3-PHASE 120/208V FOR PERMIT #100873914",3,3/24/27,"100873914: 24 [MIXED USE DEVELOPMENT WITH 24 DWELLING UNITS, GROUND FLOOR RETAIL SPACE, AND 12 CAR ATTACHED GARAGE, WITH EXTERIOR TRASH ENCLOSURE, 170' OF FENC] || 100873914: 3 [YSTEM. ""STRUCTURAL PEER REVIEW REPORT"" [SEE REVISION #100908296 TO CONVERT 1ST FLOOR RETAIL USES TO 3 DU W/ NEW MEZZANINE] (27 UNITS TOTAL)] || 100873914: 27 [REVIEW REPORT"" [SEE REVISION #100908296 TO CONVERT 1ST FLOOR RETAIL USES TO 3 DU W/ NEW MEZZANINE] (27 UNITS TOTAL)] || 100908296: 24 [REVISION TO PERMIT 100873914 - CONVERT 24 DU TO 27 DU BY CONVERTING 1ST FLOOR RETAIL USES TO 3 DU W/ NEW MEZZANINE FLOOR ADDITIONS; CONVERT 12-C] || 100908296: 27 [REVISION TO PERMIT 100873914 - CONVERT 24 DU TO 27 DU BY CONVERTING 1ST FLOOR RETAIL USES TO 3 DU W/ NEW MEZZANINE FLOOR ADDITIONS; CONVERT 12-CAR ATTACH] || 100908296: 3 [REVISION TO PERMIT 100873914 - CONVERT 24 DU TO 27 DU BY CONVERTING 1ST FLOOR RETAIL USES TO 3 DU W/ NEW MEZZANINE FLOOR ADDITIONS; CONVERT 12-CAR ATTACHED GARAGE TO 16-CAR (TOTAL 28 PARKING STALLS]",NA,conflicting_unit_counts
commercial_13203280120000,permit_chain_100873919,6,1,100873919/100905499/100908159/100928403/100942505/B100971130,3207 N NARRAGANSETT AVE,3207 N NARRAGANSETT,2020-09-24,2020-10-27,2022-05-10,COMPLETE,"100873919: ERECT 5-STORY, MIXED USE BLDG. (RETAIL / 24 UNITS), ATTACHED 12-CAR GARAGE,  12-BIKE ROOM, EXTERIOR 12-CAR PARKING STALLS, AND TRASH ENCLOSURE, 160' OF FENCING.  OCCUPANCY CLASS A2 - MULTIPLE DWELLING UNITS; TYPE IIIB CONSTRUCTION WITH FIRE SPRINKLER SYSTEM. [SEE #100908159 TO CONVERT FROM 24 TO 27 UNITS] || 100905499: REVISION TO CHANGE OF MASONARY CONTRACTOR PERMIT#100873919 TO MARK C CONSTRUCTION. || 100928403: REVISION TO PERMIT#100873919 ALT. CODE APPROVAL:CHANGE APPROVE ABOVE AND UNDERGROUND WASTE AND VENT CAST IRON PIPING TO PVC OF NEW 4 STORY RESIDENTIAL BUILDING INCLUDING 1ST FLOOR MEZZANINE APARTMENTS. || 100942505: REVISION TO CHANGE OF PLUMBING CONTRACTOR PERMIT #100873919 TO J & K PLUMBING 1 INC. || 100908159: REVISION TO PERMIT 100873919 - CONVERSION 24 DU TO 27 DU WITH (3)  OFFICE/RETAIL LIVE/WORK UNITS W/ NEW MEZZANINE FLOOR ADDITIONS; CONVERT 12-CAR GARAGE TO 15-CAR; IN EXISTING 4-STORY BUILDING, WITH 5TH FLOOR OF ROOFTOP STAIRWAY /ELEVATOR ENCL. SUBMITTED FOR REVIEW UNDER THE MOST RECENT 2019 C.B.C. || B100971130: CHANGE IN SIZE OF ELECTRICAL SERVICE TO 1200A 3-PHASE 120/208V FOR  PERMIT #100908159",2,24/27,"100873919: 24 [ERECT 5-STORY, MIXED USE BLDG. (RETAIL / 24 UNITS), ATTACHED 12-CAR GARAGE, 12-BIKE ROOM, EXTERIOR 12-CAR PARKING STALLS, AND TRASH ENCLOSURE, 160'] || 100873919: 27 [ING UNITS; TYPE IIIB CONSTRUCTION WITH FIRE SPRINKLER SYSTEM. [SEE #100908159 TO CONVERT FROM 24 TO 27 UNITS]] || 100908159: 24 [REVISION TO PERMIT 100873919 - CONVERSION 24 DU TO 27 DU WITH (3) OFFICE/RETAIL LIVE/WORK UNITS W/ NEW MEZZANINE FLOOR ADDITIONS; CONVERT 12-CAR G] || 100908159: 27 [REVISION TO PERMIT 100873919 - CONVERSION 24 DU TO 27 DU WITH (3) OFFICE/RETAIL LIVE/WORK UNITS W/ NEW MEZZANINE FLOOR ADDITIONS; CONVERT 12-CAR GARAGE TO]",NA,conflicting_unit_counts
commercial_13243220400000,permit_chain_100089541,2,1,100089541/100399603,2908 W BELMONT AVE,2908 W BELMONT,2006-01-12,2006-07-07,2011-06-22,COMPLETE,100089541: NEW 3B MIX USE 2 RETAIL 12 DU AS PER PLAN 4 STORY || 100399603: REINSTATE PERMIT 100089541 FOR OCCUPANCY PURPOSE ONLY,1,12,100089541: 12 [NEW 3B MIX USE 2 RETAIL 12 DU AS PER PLAN 4 STORY],12,single_unit_count
commercial_13253150250000,permit_chain_100137585,3,1,100137585/100313344/100417625,2510 N WILLETTS CT,2510 N WILLETTS,2006-09-18,2006-11-22,2012-01-20,COMPLETE,"100137585: ERECT 4 STRY; 3B CONSTRUCTION; MASONRY; 6 DU BUILDING W/ ENCLOSED PARKING PARKING 5 CARS, DETACHED GARAGE & SURFACE PARKING. ( SEE PERMIT #100417625 ISSUED ON 01-13-12 TO CONVERT 6 UNITS TO 8 UNITS FOR THE RANGE ADDRESS OF 2510-2512 N. WILLETTS CT ) || 100313344: REINSTATE PERMIT 100137585 ISSUED 11/22/06 25% OF COAST AND REVISION TO PERMIT TO CHANGE PLUMBER CONTRACTOR. SUBJECT TO FIELD INSPECTION || 100417625: MODIFICATION TO EXISTING BUILDING PERMIT TO ALLOW 8 DWELLING UNITS INSTEAD OF 6 DWELLING UNITS WITH THE FIRST FLOOR AREA BEING CHANGED FROM LIVE WORK TO STUDIO APARTMENT UNITS.  ORIGINALLY PERMITED AS PERMIT NUMBER 100137585 FOR BUILDING 2510-2512 N. WILLETTS COURT.  THE PROPERTY HAS BEEN REZONED FROM C2-2 TO B2-3 TO ALLOW FOR THE ADDITIONAL DWELLING UNITS.  REINSTATE THE ORIGINAL PERMIT.",2,6/8,"100137585: 6 [ERECT 4 STRY; 3B CONSTRUCTION; MASONRY; 6 DU BUILDING W/ ENCLOSED PARKING PARKING 5 CARS, DETACHED GARAGE & SURFACE PARKING. ( SEE PERMIT #10041] || 100137585: 6 [NG 5 CARS, DETACHED GARAGE & SURFACE PARKING. ( SEE PERMIT #100417625 ISSUED ON 01-13-12 TO CONVERT 6 UNITS TO 8 UNITS FOR THE RANGE ADDRESS OF 2510-2512 N. WILLETTS CT )] || 100137585: 8 [DETACHED GARAGE & SURFACE PARKING. ( SEE PERMIT #100417625 ISSUED ON 01-13-12 TO CONVERT 6 UNITS TO 8 UNITS FOR THE RANGE ADDRESS OF 2510-2512 N. WILLETTS CT )] || 100417625: 8 [MODIFICATION TO EXISTING BUILDING PERMIT TO ALLOW 8 DWELLING UNITS INSTEAD OF 6 DWELLING UNITS WITH THE FIRST FLOOR AREA BEING CHANGED FROM LIVE WORK TO STUDIO APARTM] || 100417625: 6 [MODIFICATION TO EXISTING BUILDING PERMIT TO ALLOW 8 DWELLING UNITS INSTEAD OF 6 DWELLING UNITS WITH THE FIRST FLOOR AREA BEING CHANGED FROM LIVE WORK TO STUDIO APARTMENT UNITS. ORIGINALLY PERMI]",NA,conflicting_unit_counts
commercial_13261040230000,permit_chain_100801726,1,1,100801726,3114 N RIDGEWAY AVE,3114 N RIDGEWAY,2020-01-23,2020-05-22,2020-05-22,ACTIVE,"100801726: ERECT 4 STORY 27 D.U. BUILDING (3B CONSTRUCTION), 1ST FLOOR RETAIL, ATTACHED 28 CAR GARAGE (3B CONSTRUCTION) AT 1ST FLOOR W/ROOF DECK ABOVE, ROOFTOP STAIR ENCLOSURES, ELEVATOR PENTHOUSE, 13 OPEN EXTERIOR PARKING SPACES AND 1 LOADING BERTH, NEW 6' TALL 59' LONG WOOD FENCE, DECKS AT 2ND TO 4TH FLOORS AS PER PLAN. **CERTIFIED PLANS CORRECTIONS: CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS **",1,27,"100801726: 27 [ERECT 4 STORY 27 D.U. BUILDING (3B CONSTRUCTION), 1ST FLOOR RETAIL, ATTACHED 28 CAR GARAGE (3B CONSTRUCTION) AT 1ST FLOO]",27,single_unit_count
commercial_13273040010000,permit_chain_100254118,1,1,100254118,2715 N CICERO AVE,2715 N CICERO,2008-08-21,2008-08-25,2008-08-25,COMPLETE,100254118: ERECT 6 STORY  85 UNIT SENIOR HOUSING RESIDENCE WITH SENIOR CENTER AND 42 PARKING SPACES,1,85,100254118: 85 [ERECT 6 STORY 85 UNIT SENIOR HOUSING RESIDENCE WITH SENIOR CENTER AND 42 PARKING SPACES],85,single_unit_count
commercial_13312050180000,permit_chain_100792886,2,1,100792886/100837221,2158 N NASHVILLE AVE,2158 N NASHVILLE,2019-03-18,2019-03-18,2019-08-22,COMPLETE,"100792886: SELF CERTIFICATION PROCESS, ERECT NEW 3 STORY MASONRY BUILDING FOR 3 DWELLING UNITS AND SITE WORK AS PER PLANS, || 100837221: REVISION TO PERMIT #100792886 TO CHANGE APPROVED UNDEGROUND WASTE & IRON PIPING TO PVC (SCHEDULE 40) FOR A NEW CONSTRUCTION OF MULTIFAMILY REISDENCE",1,3,"100792886: 3 [SELF CERTIFICATION PROCESS, ERECT NEW 3 STORY MASONRY BUILDING FOR 3 DWELLING UNITS AND SITE WORK AS PER PLANS,]",3,single_unit_count
