project_id,source_family,project_kind,component_pins,component_count,construction_year,dwelling_units,building_sqft,land_sqft,class_values,source_row_ids,permit_chain_ids,permit_numbers,direct_permit_ids,year_source,units_source,building_source,land_source,current_distance_m,current_within_1500ft,selected_vintage,selected_source_addresses,selected_property_type_use,selected_property_description,observed_2021,observed_2024,selected_vintage_conflict,stable_component_membership,substantive_unit_change,substantive_building_change,substantive_land_change,selected_parser_repair,selected_parser_residue,same_address_cross_family,documented_manual_case,student_housing,permit_unit_mismatch,permit_unit_evidence,documented_case_pins,documented_case_actions,documented_case_evidence,documented_case_confidence,candidate_status,decision_reason,units_2021,units_2024,permit_addresses,addresses_with_unit_counts,addresses_with_resolved_units,resolved_address_unit_sum,resolved_permit_unit_values,resolved_permit_address_evidence,unit_permit_chain_ids,unit_permit_numbers,unit_permit_addresses,unit_permit_counts,unit_permit_contexts,unit_permit_descriptions,stable_two_vintages,changed_two_vintages,only_2021,only_2024,permit_supports_2021,permit_supports_2024,source_count_pattern,recommended_units,recommended_units_source,unit_review_required,unit_review_reason
commercial_11311130550000,commercial,commercial_entity_family,11311130550000,1,2008,9,15048,9868,commercial_2024,44617,NA,NA,NA,commercial_2024_rows:44617,commercial_2024_apartment_unit_sum_rows:44617,commercial_2024_rows:44617,commercial_2024_rows:44617,546.1552064520812,FALSE,2024,2338 W MORSE CHICAGO,Multifamily-Mixed Use Mid rise (4 to 12 floors),NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,retain_mechanical,coherent_2024_revision_same_entity,9,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,9,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_11312060010000,commercial,commercial_entity_family,11312060010000,1,2019,54,54517,21200,commercial_2024,44646,permit_chain_100705428,100705428,2847732,commercial_2024_rows:44646,commercial_2024_apartment_unit_sum_rows:44646,commercial_2024_rows:44646,commercial_2024_rows:44646,622.6484425341444,FALSE,2024,1767 W ESTES CHICAGO,Multifamily-SAP35,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,NA,NA,NA,NA,retain_mechanical,coherent_2024_primary_entity,NA,54,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2024_only,54,commercial_2024_only_report,FALSE,unit_count_resolved
commercial_11321040200000,commercial,commercial_entity_family,11321040200000/11321040210000,2,2006,16,24906,17200,commercial_2024,44799,NA,NA,NA,commercial_2024_rows:44799,commercial_2024_apartment_unit_sum_rows:44799,commercial_2024_rows:44799,commercial_2024_rows:44799,581.4950311767643,FALSE,2024,1528 W GREENLEAF CHICAGO,Multifamily-Low Rise (3 floors or less),NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,retain_mechanical,coherent_2024_revision_same_entity,8,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,changed_2021_2024,16,commercial_2024_primary_report,FALSE,unit_count_resolved
commercial_11321090090000,commercial,commercial_entity_family,11321090090000,1,2024,30,39479,12040,commercial_2024,44811,permit_chain_100858540,100858540/101005260,3100063/3306473,commercial_2024_rows:44811,commercial_2024_apartment_unit_sum_rows:44811,commercial_2024_rows:44811,commercial_2024_rows:44811,920.9728359574808,FALSE,2024,7000 N GLENWOOD CHICAGO,Multifamily-MidRise (4 to 12 floors),NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,NA,NA,NA,NA,exclude_outside_period,construction_year_outside_2006_2022,NA,30,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2024_only,30,commercial_2024_only_report,FALSE,unit_count_resolved
commercial_11321130260000,commercial,commercial_entity_family,11321130260000,1,2008,16,36120,8550,commercial_2024,44833,permit_chain_100152109,100152109,1755928,commercial_2024_rows:44833,commercial_2024_apartment_unit_sum_rows:44833,commercial_2024_rows:44833,commercial_2024_rows:44833,310.9630277179136,TRUE,2024,1412 W MORSE CHICAGO,Multifamily-MidRise (4 to 12 floors),NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,NA,NA,NA,NA,retain_mechanical,2024_primary_year_recode,16,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,16,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_11321130300000,commercial,commercial_entity_family,11321130300000/11321130320000,2,2008,12,24590,12000,commercial_2024,44834,permit_chain_100142629,100142629,1733520,commercial_2024_rows:44834,commercial_2024_apartment_unit_sum_rows:44834,commercial_2024_rows:44834,commercial_2024_rows:44834,315.9183590079969,TRUE,2024,1444 W MORSE CHICAGO,Multifamily-MidRise (4 to 12 floors),NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,NA,NA,NA,NA,retain_mechanical,2024_primary_year_recode,12,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,12,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_11321140130000,commercial,commercial_entity_family,11321140130000/11321140140000,2,2012,12,20970,5190,commercial_2024,44839,permit_chain_100391361,100391361,2268135,commercial_2024_rows:44839,commercial_2024_apartment_unit_sum_rows:44839,commercial_2024_rows:44839,commercial_2024_rows:44839,329.9534889302768,TRUE,2024,1334 W MORSE CHICAGO,Multifamily-Mixed Use Mid rise (4 to 12 floors),NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,NA,NA,NA,NA,retain_mechanical,2024_primary_year_recode,12,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,12,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_11321180180000,commercial,commercial_entity_family,11321180180000,1,2019,50,82268,14204,commercial_2024,44861,permit_chain_100721033,100721033/100744312,2873056/2911822,commercial_2024_rows:44861,commercial_2024_apartment_unit_sum_rows:44861,commercial_2024_rows:44861,commercial_2024_rows:44861,714.419593842339,FALSE,2024,1323 W MORSE CHICAGO,Multifamily-MidRise (4 to 12 floors),NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,NA,NA,NA,NA,retain_mechanical,2024_primary_year_recode,50,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,50,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_11322020030000,commercial,commercial_entity_family,11322020030000,1,1963,27,20874,7347,commercial_2024,44891,NA,NA,NA,commercial_2024_rows:44891,commercial_2024_apartment_unit_sum_rows:44891,commercial_2024_rows:44891,commercial_2024_rows:44891,789.235656775235,FALSE,2024,6821 N SHERIDAN CHICAGO,Multifamily-MidRise (4 to 12 floors),NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,exclude_outside_period,construction_year_outside_2006_2022,27,27,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,27,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_11323190080000,commercial,commercial_entity_family,11323190080000/11323190090000,2,2015,29,44856,22692,commercial_2024,44949,permit_chain_100449927,100449927,2389260,commercial_2024_rows:44949,commercial_2024_apartment_unit_sum_rows:44949,commercial_2024_rows:44949,commercial_2024_rows:44949,464.4380653258037,FALSE,2024,1217 W ALBION CHICAGO,Multifamily-Low Rise (3 floors or less),NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29,NA,NA,NA,NA,retain_mechanical,coherent_2024_revision_same_entity,30,29,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,changed_2021_2024,29,commercial_2024_primary_report,FALSE,unit_count_resolved
commercial_11323190150000,commercial,commercial_entity_family,11323190150000/11323190160000,2,2014,41,43500,15000,commercial_2024,44950,permit_chain_100441103,100441103,2372381,commercial_2024_rows:44950,commercial_2024_apartment_unit_sum_rows:44950,commercial_2024_rows:44950,commercial_2024_rows:44950,403.6009466712793,TRUE,2024,6556 N SHERIDAN CHICAGO,Multifamily-Mixed Use Mid rise (4 to 12 floors),NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,retain_mechanical,coherent_2024_revision_same_entity,52,41,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,changed_2021_2024,41,commercial_2024_primary_report,FALSE,unit_count_resolved
commercial_11323200060000,commercial,commercial_entity_family,11323200060000,1,2021,11,28487,11284,commercial_2024,44952,permit_chain_100802483,100802483,3007230,commercial_2024_rows:44952,commercial_2024_apartment_unit_sum_rows:44952,commercial_2024_rows:44952,commercial_2024_rows:44952,309.54611235113924,TRUE,2024,1317 W LOYOLA CHICAGO,Multifamily-MidRise (4 to 12 floors),NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,NA,NA,NA,NA,retain_mechanical,coherent_2024_primary_entity,NA,11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2024_only,11,commercial_2024_only_report,FALSE,unit_count_resolved
commercial_11323280420000,commercial,commercial_entity_family,11323280420000/11323280430000/11323280440000,3,2023,10,23520,10435,commercial_2024,44965,permit_chain_100997787,100997787,3294702,commercial_2024_rows:44965,commercial_2024_apartment_unit_sum_rows:44965,commercial_2024_rows:44965,commercial_2024_rows:44965,25.51844391005242,TRUE,2024,6400 N WAYNE CHICAGO,Multifamily-Mixed Use Mid rise (4 to 12 floors),NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,NA,NA,NA,NA,exclude_outside_period,construction_year_outside_2006_2022,NA,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2024_only,10,commercial_2024_only_report,FALSE,unit_count_resolved
commercial_11323290410000,commercial,commercial_entity_family,11323290410000,1,2005,8,13200,7500,commercial_2024,44967,NA,NA,NA,commercial_2024_rows:44967,commercial_2024_apartment_unit_sum_rows:44967,commercial_2024_rows:44967,commercial_2024_rows:44967,226.6721925708897,TRUE,2024,1314 W DEVON CHICAGO,Multifamily-Low Rise (3 floors or less),NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,exclude_outside_period,construction_year_outside_2006_2022,8,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,8,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_11323300400000,commercial,commercial_entity_family,11323300400000/11323300410000/11323300420000/11323300430000,4,2014,10,21000,10000,commercial_2024,44969,permit_chain_100580106,100580106,2630458,commercial_2024_rows:44969,commercial_2024_apartment_unit_sum_rows:44969,commercial_2024_rows:44969,commercial_2024_rows:44969,166.6305817812955,TRUE,2024,1240 W DEVON CHICAGO,Multifamily-Mixed Use Low rise (3 floors or less),NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,NA,NA,NA,NA,retain_mechanical,2024_primary_year_recode,10,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,10,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_11323310340000,commercial,commercial_entity_family,11323310340000,1,2008,152,200952,31919,commercial_2024,44970,permit_chain_100217431/permit_chain_100221353/permit_chain_100236353,100217431/100221353/100236353,1877571/1885283/1923410,commercial_2024_rows:44970,commercial_2024_apartment_unit_sum_rows:44970,commercial_2024_rows:44970,commercial_2024_rows:44970,32.78697415288783,TRUE,2024,1209 W ARTHUR CHICAGO,Multifamily-Student Housing,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,152,NA,NA,NA,NA,review_required,student_housing_unit_definition_requires_review,152,152,1,1,1,152,152,1209 W ARTHUR=152,permit_chain_100217431 / permit_chain_100221353,100217431 / 100221353/100261628/B100261495,1209 W ARTHUR AVE / 1209 W ARTHUR AVE,152 / 152,"100217431: 152 [CONSTRUCT FOUNDATIONS ONLY FOR PROPOSED 152 UNIT APARTMENT BUILDING PER PLANS.] || 100221353: 152 [NEW CONSTRUCTION OF AN 8 STORY, 152 UNIT RESIDENTIAL BUILDING WITH GROUND FLOOR RETAIL AS PER PLANS]","100217431: CONSTRUCT FOUNDATIONS ONLY FOR PROPOSED 152 UNIT APARTMENT BUILDING PER PLANS.                                                                                                                                            MODIFICATION OF THE PUBLIC WAY, INCLUDING REMOVAL OF EXISTING TREES, IS NOT PERMITTED UNDER THIS PERMIT. || 100221353: NEW CONSTRUCTION OF AN 8 STORY, 152 UNIT RESIDENTIAL BUILDING WITH GROUND FLOOR RETAIL AS PER PLANS || B100261495: CHANGE NAME OF ELECTRICAL CONTRACTOR TO SHAMROCK ELECTRIC CO. INC. FOR BUILDING PERMIT NO. 100221353 || 100261628: MECHANICAL REVISION TO EXISTING PERMIT # 100221353.",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,stable_2021_2024,NA,NA,TRUE,student_housing_beds_and_dwelling_units_require_reconciliation
commercial_11323310360000,commercial,commercial_entity_family,11323310360000,1,2019,111,100093,45094,commercial_2024,44971,NA,NA,NA,commercial_2024_rows:44971,commercial_2024_apartment_unit_sum_rows:44971,commercial_2024_rows:44971,commercial_2024_rows:44971,103.16761621578952,TRUE,2024,6418 N SHERIDAN CHICAGO,Multifamily-SAP35,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,retain_mechanical,coherent_2024_revision_same_entity,111,111,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,111,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_12111020160000,commercial,commercial_entity_family,12111020160000,1,2002,15,22500,19205,commercial_2024,21367,NA,NA,NA,commercial_2024_rows:21367,commercial_2024_apartment_unit_sum_rows:21367,commercial_2024_rows:21367,commercial_2024_rows:21367,1139.3127113514076,FALSE,2024,8745 W EVELYN CHICAGO,Multifamily-Low Rise (3 floors or less),NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,exclude_outside_period,construction_year_outside_2006_2022,15,15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,15,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
