project_id,address_key,permit_chains,permits_with_unit_mentions,distinct_unit_counts,unit_counts,unit_contexts,resolved_address_units,address_resolution
commercial_13143060050000,3639 W MONTROSE,1,1,1,6,"100488250: 6 [**SELF CERT PROJECT** - ERECT A NEW 3 STORY MASONRY BUILDING WITH BASEMENT, 6 RESIDENTIAL UNITS TYPE 3B CONSTRUCTION, ERECT 6 CAR MASONRY DETACHED GARAGE 35' X 20' AND 18' X 20' ( PROROTYPE SELF]",6,single_unit_count
commercial_13143060050000,3643 W MONTROSE,1,1,1,6,"100488254: 6 [ERECT A NEW 3 STORY MASONRY BUILDING WITH BASEMENT, 6 RESIDENTIAL UNITS TYPE 3B CONSTRUCTION, ERECT 6 CAR MASONRY DETACHED GARAGE 35' X 20' AND 18' X 20' ( PROROTYPE SELF-]",6,single_unit_count
commercial_13143060050000,3647 W MONTROSE,1,1,1,3,"100488245: 3 [ERECT NEW 3 STORY MASONRY BUILDING 3 DWELLING UNITS, A NEW NON-COMBUSTIBLE METAL STAIR SYSTEM AND A NEW 3 CAR DETACHED MASONRY GARAGE 25' X 20' AS PER]",3,single_unit_count
commercial_13173090120000,4111 N NARRAGANSETT,1,2,1,15,"100675550: 15 [ERECT NEW 3 STORY MASONRY BUILDING 15 DWELLING UNITS AS PER PLANS. PERMIT INCLUDES 6'-0"" TALL WOOD FENCE AND 20'-0"" X 6'-4"" TRASH ENCLOSURE**CERTIFIED C] || 100733766: 15 [SION TO PERMIT 100675550, ELECTRICAL AND HVAC MECHANICAL REVISIONS AS PER PLANS TO EXISTING 3 STORY 15 DWELLING UNITS AS PER PLANS.]",15,single_unit_count
commercial_13173090120000,4119 N NARRAGANSETT,1,2,1,15,"100675556: 15 [ERECT NEW 3 STORY MASONRY BUILDING 15 DWELLING UNITS AS PER PLANS. PERMIT ALSO INCLUDES A 6'-0"" WOOD FENCE AND A 12'X12' TRASH ENCLOSURE**CERTIFIED CORR] || 100733768: 15 [REVISION TO PERMIT 100675556, ELECTRICAL AND HVAC MECHANICAL AS PER PLANS TO AN EXISTING 2 STORY 15 DWELLING UNITS AS PER PLANS.(CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS)]",15,single_unit_count
commercial_13173110010000,4015 N NARRAGANSETT,1,1,1,15,"100703769: 15 [ERECT NEW 3 STORY MASONRY BUILDING TYPE 3B CONSTRUCTION 15 DWELLING UNITS, NEW MASONRY TRASH ENCLOSURE 8'-4"" X 9'-8""X 6'-0"" AND 20 OUTDOOR PARKING SPACES AND SITE WORK AS PE]",15,single_unit_count
commercial_13203280120000,3207 N NARRAGANSETT,1,2,2,24/27,"100873919: 24 [ERECT 5-STORY, MIXED USE BLDG. (RETAIL / 24 UNITS), ATTACHED 12-CAR GARAGE, 12-BIKE ROOM, EXTERIOR 12-CAR PARKING STALLS, AND TRASH ENCLOSURE, 160'] || 100873919: 27 [ING UNITS; TYPE IIIB CONSTRUCTION WITH FIRE SPRINKLER SYSTEM. [SEE #100908159 TO CONVERT FROM 24 TO 27 UNITS]] || 100908159: 24 [REVISION TO PERMIT 100873919 - CONVERSION 24 DU TO 27 DU WITH (3) OFFICE/RETAIL LIVE/WORK UNITS W/ NEW MEZZANINE FLOOR ADDITIONS; CONVERT 12-CAR G] || 100908159: 27 [REVISION TO PERMIT 100873919 - CONVERSION 24 DU TO 27 DU WITH (3) OFFICE/RETAIL LIVE/WORK UNITS W/ NEW MEZZANINE FLOOR ADDITIONS; CONVERT 12-CAR GARAGE TO]",NA,conflicting_unit_counts
commercial_13203280120000,6340 W BELMONT,1,2,3,3/24/27,"100873914: 24 [MIXED USE DEVELOPMENT WITH 24 DWELLING UNITS, GROUND FLOOR RETAIL SPACE, AND 12 CAR ATTACHED GARAGE, WITH EXTERIOR TRASH ENCLOSURE, 170' OF FENC] || 100873914: 3 [YSTEM. ""STRUCTURAL PEER REVIEW REPORT"" [SEE REVISION #100908296 TO CONVERT 1ST FLOOR RETAIL USES TO 3 DU W/ NEW MEZZANINE] (27 UNITS TOTAL)] || 100873914: 27 [REVIEW REPORT"" [SEE REVISION #100908296 TO CONVERT 1ST FLOOR RETAIL USES TO 3 DU W/ NEW MEZZANINE] (27 UNITS TOTAL)] || 100908296: 24 [REVISION TO PERMIT 100873914 - CONVERT 24 DU TO 27 DU BY CONVERTING 1ST FLOOR RETAIL USES TO 3 DU W/ NEW MEZZANINE FLOOR ADDITIONS; CONVERT 12-C] || 100908296: 27 [REVISION TO PERMIT 100873914 - CONVERT 24 DU TO 27 DU BY CONVERTING 1ST FLOOR RETAIL USES TO 3 DU W/ NEW MEZZANINE FLOOR ADDITIONS; CONVERT 12-CAR ATTACH] || 100908296: 3 [REVISION TO PERMIT 100873914 - CONVERT 24 DU TO 27 DU BY CONVERTING 1ST FLOOR RETAIL USES TO 3 DU W/ NEW MEZZANINE FLOOR ADDITIONS; CONVERT 12-CAR ATTACHED GARAGE TO 16-CAR (TOTAL 28 PARKING STALLS]",NA,conflicting_unit_counts
commercial_13243220400000,2908 W BELMONT,1,1,1,12,100089541: 12 [NEW 3B MIX USE 2 RETAIL 12 DU AS PER PLAN 4 STORY],12,single_unit_count
commercial_13253150250000,2510 N WILLETTS,1,2,2,6/8,"100137585: 6 [ERECT 4 STRY; 3B CONSTRUCTION; MASONRY; 6 DU BUILDING W/ ENCLOSED PARKING PARKING 5 CARS, DETACHED GARAGE & SURFACE PARKING. ( SEE PERMIT #10041] || 100137585: 6 [NG 5 CARS, DETACHED GARAGE & SURFACE PARKING. ( SEE PERMIT #100417625 ISSUED ON 01-13-12 TO CONVERT 6 UNITS TO 8 UNITS FOR THE RANGE ADDRESS OF 2510-2512 N. WILLETTS CT )] || 100137585: 8 [DETACHED GARAGE & SURFACE PARKING. ( SEE PERMIT #100417625 ISSUED ON 01-13-12 TO CONVERT 6 UNITS TO 8 UNITS FOR THE RANGE ADDRESS OF 2510-2512 N. WILLETTS CT )] || 100417625: 8 [MODIFICATION TO EXISTING BUILDING PERMIT TO ALLOW 8 DWELLING UNITS INSTEAD OF 6 DWELLING UNITS WITH THE FIRST FLOOR AREA BEING CHANGED FROM LIVE WORK TO STUDIO APARTM] || 100417625: 6 [MODIFICATION TO EXISTING BUILDING PERMIT TO ALLOW 8 DWELLING UNITS INSTEAD OF 6 DWELLING UNITS WITH THE FIRST FLOOR AREA BEING CHANGED FROM LIVE WORK TO STUDIO APARTMENT UNITS. ORIGINALLY PERMI]",NA,conflicting_unit_counts
commercial_13261040230000,3114 N RIDGEWAY,1,1,1,27,"100801726: 27 [ERECT 4 STORY 27 D.U. BUILDING (3B CONSTRUCTION), 1ST FLOOR RETAIL, ATTACHED 28 CAR GARAGE (3B CONSTRUCTION) AT 1ST FLOO]",27,single_unit_count
commercial_13273040010000,2715 N CICERO,1,1,1,85,100254118: 85 [ERECT 6 STORY 85 UNIT SENIOR HOUSING RESIDENCE WITH SENIOR CENTER AND 42 PARKING SPACES],85,single_unit_count
commercial_13312050180000,2158 N NASHVILLE,1,1,1,3,"100792886: 3 [SELF CERTIFICATION PROCESS, ERECT NEW 3 STORY MASONRY BUILDING FOR 3 DWELLING UNITS AND SITE WORK AS PER PLANS,]",3,single_unit_count
commercial_13312050180000,6601 W FULLERTON,1,0,0,,:  [],NA,no_unit_count
commercial_13312140010000,2112 N NASHVILLE,1,0,0,,:  [],NA,no_unit_count
commercial_13312140010000,2114 N NASHVILLE,1,1,1,6,"100792919: 6 [SELF CERTIFICATION PROCESS, ERECT NEW 3 STORY MASONRY BUILDING 6 DWELLING UNITS AND SITE WORK AS PER PLANS]",6,single_unit_count
commercial_13312140010000,2116 N NASHVILLE,1,0,0,,:  [],NA,no_unit_count
commercial_13312140010000,2116 N NATCHEZ,1,0,0,,:  [],NA,no_unit_count
commercial_13312140010000,2122 N NASHVILLE,1,1,1,3,"100792894: 3 [SELF CERTIFICATION PROCESS, ERECT NEW 3 STORY MASONRY BUILDING 3 DWELLING UNITS AND SITE WORK AS PER PLANS.]",3,single_unit_count
commercial_13312140010000,2128 N NASHVILLE,1,1,1,6,"100792916: 6 [SELF CERTIFICATION PROCESS, ERECT NEW 3 STORY MASONRY BUILDING 6 DWELLING UNITS AS PER PLANS.]",6,single_unit_count
commercial_13312140010000,2130 N NASHVILLE,1,0,0,,:  [],NA,no_unit_count
commercial_13312140010000,2134 N NASHVILLE,1,1,1,6,"100792911: 6 [SELF CERTIFICATION PROCESS, ERECT NEW 3 STORY MASONRY BUILDING 6 DWELLING UNITS AND SITE WORK AS PER PLANS.]",6,single_unit_count
commercial_13312140010000,2140 N NASHVILLE,1,1,1,3,"100792889: 3 [SELF CERTIFICATION, ERECT NEW 3 STORY MASONRY BUILDING 3 DWELLING UNITS AND SITE WORK AS PER PLANS.]",3,single_unit_count
commercial_13312140010000,2146 N NASHVILLE,1,1,1,6,"100792902: 6 [SELF CERTIFICATION PROCESS, ERECT NEW 3 STORY MASONRY BUILDING 6 DWELLING UNITS AND SITE WORK AS PER PLANS]",6,single_unit_count
commercial_13312140010000,2154 N NASHVILLE,1,1,1,6,"100792901: 6 [SELF CERTIFICATION PROCESS, ERECT NEW 3 STORY MASONRY BUILDING 6 DWELLING UNITS AND SITE WORK AS PER PLANS]",6,single_unit_count
commercial_13312140010000,6533 W DICKENS,1,1,1,6,"100716755: 6 [ISSUED BASED ON PROTOTYPE PERMIT # 100716815 ISSUED ON 9-27-17. ERECT NEW 3 STORY MASONRY BUILDING 6 DWELLING UNITS TYPE 3B CONSTRUCTION (FOR ALL LANDSCAPE, GARAGE AND CIVIL DRAWINGS PLEASE SEE 6536 W DICKENS AVE).]",6,single_unit_count
commercial_13312140010000,6535 W SHAKESPEARE,1,1,1,6,"100716815: 6 [ERECT NEW 3 STORY MASONRY BUILDING 6 DWELLING UNITS TYPE 3B CONSTRUCTION (FOR ALL LANDSCAPE, GARAGE AND CIVIL DRAWINGS PLEASE SEE 6536 W SHAKESPEARE AV]",6,single_unit_count
commercial_13312140010000,6536 W DICKENS,1,1,1,6,"100716830: 6 [ERECT NEW 3 STORY MASONRY BUILDING 6 DWELLING UNITS TYPE 3B CONSTRUCTION, (11) 3 CAR MASONRY GARAGES, (1) 2 CAR MASONRY GARAGE, WITH 80 OUTDOOR PARKING]",6,single_unit_count
commercial_13312140010000,6537 W DICKENS,2,1,1,6,"100716776: 6 [ISSUED BASED ON PROTOTYPE PERMIT # 100716830 ISSUED ON 9-27-17. ERECT NEW 3 STORY MASONRY BUILDING 6 DWELLING UNITS TYPE 3B CONSTRUCTION (FOR ALL LANDSCAPE, GARAGE AND CIVIL DRAWINGS PLEASE SEE 6536 W DICKENS AVE)]",6,single_unit_count
commercial_13312140010000,6539 W SHAKESPEARE,1,1,1,6,"100716809: 6 [ISSUED BASED ON PROTOTYPE PERMIT # 100716830 ISSUED ON 9-27-17. ERECT NEW 3 STORY MASONRY BUILDING 6 DWELLING UNITS TYPE 3B CONSTRUCTION (FOR ALL LANDSCAPE, GARAGE AND CIVIL DRAWINGS PLEASE SEE 6536 W DICKENS AVE)]",6,single_unit_count
commercial_13312140010000,6541 W DICKENS,1,1,1,6,"100716645: 6 [ISSUED BASED ON PROTOTYPE PERMIT # 100716830 ISSUED ON 9-27-17. ERECT NEW 3 STORY MASONRY BUILDING, 6 DWELLING UNITS TYPE 3 B CONSTRUCTION (FOR ALL LANDSCAPE, GARAGE AND CIVIL DRAWINGS PLEASE SEE 6536 W DICKENS AVE)]",6,single_unit_count
commercial_13312140010000,6542 W DICKENS,1,1,1,6,"100716823: 6 [ISSUED BASED ON PROTOTYPE PERMIT # 100716815 ISSUED ON 9-27-17. ERECT NEW 3 STORY MASONRY BUILDING 6 DWELLING UNITS TYPE 3B CONSTRUCTION ( FOR ALL LANDSCAPE , GARAGE AND CIVIL DRAWINGS PLEASE SEE 6536 W DICKENS AVE)]",6,single_unit_count
commercial_13312140010000,6545 W DICKENS,1,1,1,6,"100716661: 6 [ISSUED BASED ON PROTOTYPE PERMIT # 100716830 ISSUED ON 9-27-17. ERECT NEW 3 STORY MASONRY BUILDING, 6 DWELLING UNITS TYPE 3B CONSTRUCTION (FOR ALL LANDSCAPE, GARAGE AND CIVIL DRAWINGS PLEASE SEE 6536 W DICKENS AVE)]",6,single_unit_count
commercial_13361030360000,2340 N CALIFORNIA,1,2,2,1/138,"100674376: 138 [(DIRECT DEVELOPER SERVICES) NEW CONSTRUCTION OF A SIX (6) STORY RESIDENTIAL BUILDING (138 DWELLING UNITS) TO INCLUDE 1ST FLOOR PARKING (44 PARKING SPACES + 138 BIKE SPACES), RETAIL AND ASSOCIATED SITE WOR] || 100728674: 1 [DIRECT DEVELOPER SERVICES** REVISION TO PERMIT# 100674376 FOR MODIFICATIONS TO LEVEL 2 (REMOVAL OF 1 RESIDENTIAL UNIT AND ENLARGEMENT OF THE AMENITY SPACE) AND LEVEL 6 (REMOVAL OF A 2 BEDROOM UNIT AND REPLACEMENT WITH]",NA,conflicting_unit_counts
commercial_13361150430000,2008 N WHIPPLE,1,1,1,24,100489641: 24 [ERECT 24 D.U. MASONRY BUILDING (3B CONSTRUCTION) WITH 1ST FLOOR RETAIL SPACES ATTACHED 20 CAR & 4 CAR MASONRY GA],24,single_unit_count
commercial_13362100010000,2210 N WASHTENAW,2,0,0,,:  [],NA,no_unit_count
commercial_13362100010000,2733 W BELDEN,2,0,0,,:  [],NA,no_unit_count
commercial_13362150350000,2211 N MILWAUKEE,1,1,1,120,"100588900: 120 [NEW 120 UNIT APARTMENT BUILDING WITH GROUND FLOOR RETAIL. - PV PANELS, LEED CERTIFICATION, PLANNED DEVELOPMENT]",120,single_unit_count
commercial_13363150560000,1812 N CALIFORNIA,1,1,1,6,100529973: 6 [ERECT 3-STY W/BSMT MASONRY 6 D.U. BUILDING (3B CONSTRUCTION) WITH DETACHED 5-CAR MASONRY GARAGE (3B CONSTRUCTION) WITH ROOF TOP DECK],6,single_unit_count
commercial_13363150590000,1808 N CALIFORNIA,1,1,1,6,100529966: 6 [ERECT MASONRY 6 D.U. BUILDING (3B CONSTRUCTION) WITH DETACHED 5 CAR MASONRY GARAGE WITH ROOF TOP DECK (3B CONSTRUCTION)],6,single_unit_count
commercial_13363150590000,1812 N CALIFORNIA,1,1,1,6,100529973: 6 [ERECT 3-STY W/BSMT MASONRY 6 D.U. BUILDING (3B CONSTRUCTION) WITH DETACHED 5-CAR MASONRY GARAGE (3B CONSTRUCTION) WITH ROOF TOP DECK],6,single_unit_count
commercial_13364000330000,1929 N CALIFORNIA,2,1,1,6,"100445937: 6 [ERECT 6 D.U. MASONRY BUILDING WITH 1ST FLOOR COMMERCIAL SPACES, 9 EXTERIOR PARKING SPACES ON CONCRETE PAD, 6' H]",6,single_unit_count
commercial_13364000330000,1935 N CALIFORNIA,2,1,1,6,"100445934: 6 [ERECT 6 D.U. MASONRY BUILDING WITH 1ST FLOOR COMMERCIAL SPACES, 8 EXTERIOR PARKING SPACES ON CONCRETE PAD, 6' H]",6,single_unit_count
commercial_13364000330000,1943 N CALIFORNIA,1,0,0,,:  [],NA,no_unit_count
commercial_13364010010000,1957 N FAIRFIELD,1,2,1,59,"100709407: 59 [ERECT 4 STORY 59 D.U. BUILDING 3B OVER EXISTING FOUNDATION WALLS, 1ST FLOOR RETAIL, 73 CAR GARAGE AT BASEMENT (1A CONST.] || 100870376: 59 [UT (3B CONSTRUCTION) FOR AMENITY ROOM ONLY THIS IS FOR RESIDENTIAL UNITS ABOVE AT EXISTING 4 STORY 59 D.U. AS PER PLAN.]",59,single_unit_count
commercial_13364140420000,2404 W MOFFAT,1,1,1,7,"100739501: 7 [ERECT 4 STORY 7 D.U. BUILDING (3B CONSTRUCTION) WITH BASEMENT, 1ST FLOOR COMMERCIAL, DECKS AT 2ND/3RD/4TH FLOORS, ROOF]",7,single_unit_count
commercial_13364140420000,456 N MAY,1,0,0,,:  [],NA,no_unit_count
commercial_13364250360000,2740 W NORTH,1,1,1,15,"100529286: 15 [ERECT MASONRY 15 D.U. BUILDING (3B CONSTRUCTION) WITH 1ST FLOOR OFFICE & ROOF TOP DECK, ATTACHED 15 CAR MASONRY GARAGE]",15,single_unit_count
commercial_14051050140000,6354 N LAKEWOOD,1,1,1,6,"100572557: 6 [NEW CONSTRUCTION, 6 DWELLING UNITS ON 2ND AND 3RD FLOORS OVER GROUND FLOOR RETAIL TENANT SPACE, WITH 5 OPEN PARKING STALLS ACCESSED FR]",6,single_unit_count
commercial_14051050280000,6355 N WAYNE,1,1,1,6,"100573401: 6 [NEW CONSTRUCTION, 6 DWELLING UNITS ON 2ND AND 3RD FLOORS OVER GROUND FLOOR RETAIL TENANT SPACE, WITH 5 OPEN PARKING STALLS ACCESSED FR]",6,single_unit_count
commercial_14052000010000,1135 W SHERIDAN,2,1,1,58,100743368: 58 [*** DIRECT DEVELOPER SERVICES*** NEW 58 DWELLING UNIT RESIDENTIAL BUILDING WITH 29 PARKING SPACES AND 47 BICYCLE SPACES; RETAIL ON THE GROUND FLOOR; ALL],58,single_unit_count
commercial_14074180020000,1801 W ARGYLE,2,1,1,21,100506613: 21 [ERECT NEW 5 STORY LIGHT GAUGE STEEL FRAME STRUCTURE WITH 21 RESIDENTAL UNITS (BUILDING#4) WITH 111 ON GRADE PARKING SPACES PER PLAN],21,single_unit_count
commercial_14074180020000,1803 W ARGYLE,1,1,1,17,100507255: 17 [ERECT NEW 3 STORY WOOD FRAME STRUCTURE WITH 17 RESIDENTAL UNITS (BUILDING 3A) WITH 111 ON GRADE PARKING SPACES PER PLAN],17,single_unit_count
commercial_14074180020000,1805 W ARGYLE,1,1,1,18,100507256: 18 [ERECT NEW 3 STORY WOOD FRAME STRUCTURE WITH 18 RESIDENTAL UNITS (BUILDING #3B) WITH 111 ON GRADE PARKING SPACES PER PLAN],18,single_unit_count
commercial_14074180020000,1807 W ARGYLE,1,1,1,28,100507257: 28 [ERECT NEW 5 STORY LIGHT GAUGE STEEL FRAME STRUCTURE WITH 28 RESIDENTAL UNITS (BUILDING #5) WITH 111 ON GRADE PARKING SPACES PER PLAN],28,single_unit_count
commercial_14074180020000,1809 W ARGYLE,1,1,1,18,100507258: 18 [ERECT NEW 3 STORY WOOR FRAME STRUCTURE WITH 18 RESIDENTAL UNITS (BUILDING 1A) WITH 111 ON GRADE PARKING SPACES],18,single_unit_count
commercial_14074180020000,1811 W ARGYLE,1,1,1,18,100507259: 18 [ERECT NEW 3 STORY WOOD FRAME STRUCTURE WITH 18 RESIDENTAL UNITS (BUILDING #1B) WITH 111 ON GRADE PARKING SPACES.],18,single_unit_count
commercial_14074180020000,1813 W ARGYLE,1,1,1,12,100507260: 12 [ERECT NEW 3 STORY WOOD FRAME STRUCTURE WITH 12 RESIDENTAL UNITS (BUILDING #2A) WITH 111 ON GRADE PARKING SPACES.],12,single_unit_count
commercial_14074180020000,1815 W ARGYLE,1,1,1,18,100507261: 18 [ERECT NEW 3 STOR WOOD FRAME STRUCTURE WITH 18 RESIDENTAL UNITS (BUILDING #2B) WITH 111 ON GRADE PARKING SPACES.],18,single_unit_count
commercial_14083170400000,4806 N MAGNOLIA,1,3,2,10/44,"100856500: 44 [R SERVICES *** FOUNDATION ONLY FOR A NEW 5 STORY III-A MIXED USE BUILDING (RETAIL, 10 EFFICIENCY U, 44 DU). ROOFTOP STAIRWAY ENCL., ELEVATOR OVERRUN; A NEW PARKING LOT WITH 27-CAR (TSL) AND 1 LOADING. AL] || 100860516: 44 [CT DEVELOPER SERVICES *NEW CONSTRUCTION OF A 5-STORY MIXED USE BUILDING (RETAIL, 10 EFFICIENCY, AND 44 DU) TYPE III-A CONSTRUCTION WITH 27 EXTERIOR PARKING SPACES. BUILDING IS FULLY SPRINKLERED. - CHICAGO] || 100903798: 44 [NEW TANKLESS HOT WATER HEATERS AT EACH RESIDENTIAL UNIT ONLY. ALL WORK PER PLANS FOR AN EXISTING (44 UNITS, 10 EFFICIENCY UNITS, & MERCANTILE) 5 STORY BUILDING.(OCCUPANCY A-2, M, R2: CONSTRUCTION TYPE IIIA)] || 100903798: 10 [ESS HOT WATER HEATERS AT EACH RESIDENTIAL UNIT ONLY. ALL WORK PER PLANS FOR AN EXISTING (44 UNITS, 10 EFFICIENCY UNITS, & MERCANTILE) 5 STORY BUILDING.(OCCUPANCY A-2, M, R2: CONSTRUCTION TYPE IIIA) CONSULTANT REVIEWER:]",NA,conflicting_unit_counts
commercial_14084040010000,1135 W WINONA,1,1,1,64,"100906143: 64 [DDS 2019 CBC: NEW CONSTRUCTION OF A 5-STORY RESIDENTIAL BUILDING WITH 64 DWELLING UNITS (OCC. R-2, M; TYPE II-A). FOUNDATIONS AND PARTIAL SUPERSTRUCTURE PERMITTED UNDER 100900621. CONSULT]",64,single_unit_count
commercial_14171000010000,4753 N ASHLAND,1,2,1,39,"100761424: 39 [ERECT 4 STORY 39 D.U. BUILDING (3B CONSTRUCTION), FIRST FLOOR RETAIL, ROOFTOP DECK, ROOFTOP STAIR ENCLOSURE, 35 CAR GARA] || 100854981: 39 [LOORS, REVISE MECHANICAL DUCTS 2ND THROUGH 4TH FLOORS, REVISE RETAIL SPACE AT 1ST FLOOR AT EXISTING 39 D.U./RETAIL (3B CONSTRUCTION) BUILDING AS PER PLAN .]",39,single_unit_count
commercial_14171200250000,4410 N CLARK,2,1,2,25/26,"100873964: 25 [NEW PROPOSED 4 STORY 3-B BUILDING WITH 25 DWELLING UNITS, ROOF DECK, 13 PARKING SPACES, 19 BIKE PARKING SPACES AND 1ST FLOOR RETAIL SPACE AS PER PLANS [SEE] || 100873964: 26 [ACES AND 1ST FLOOR RETAIL SPACE AS PER PLANS [SEE REVISION #100914536 TO ADD LIVE/WORK UNIT - TOTAL 26 UNITS]]",NA,conflicting_unit_counts
commercial_14172290080000,804 W MONTROSE,1,0,0,,:  [],NA,no_unit_count
commercial_14172290080000,811 W AGATITE,2,2,1,373,100683174: 373 [TRUCTURE THROUGH THE UNDERSIDE OF THE FIFTH FLOOR FOR A PROPOSED 27 STORY RESIDENTIAL BUILDING WITH 373 DWELLING UNITS; GROUND FLOOR RETAIL; 278 PARKING SPACES; ALL AS PER PLANS.] || 100695546: 373 [DIRECT DEVELOPER SERVICES*** FULL BUILDING PERMIT FOR A PROPOSED 27 STORY RESIDENTIAL BUILDING WITH 373 DWELLING UNITS; GROUND FLOOR RETAIL; 278 PARKING SPACES; ALL AS PER PLANS.],373,single_unit_count
commercial_14172290080000,813 W AGATITE,1,0,0,,:  [],NA,no_unit_count
commercial_14181140140000,4646 N DAMEN,1,1,1,24,"100736146: 24 [ERECT A 4 STORY IIIB MASONRY 24 UNIT APARTMENT BUILDING WITH GROUND FLOOR COMMERCIAL, AS PER PLANS. - INLCUDING A 6'-0"" TALL FENCE**CERT]",24,single_unit_count
commercial_14194350290000,3220 N LINCOLN,1,1,1,19,100689567: 19 [5 STORY RESIDENTIAL BUILDING WITH 19 DWELLING UNITS AND PARKING AND ONE COMMERCIAL UNIT ON GROUND FLOOR. TYPE I-C CONSTRUCTION.],19,single_unit_count
commercial_14201040060000,3839 N CLARK,1,0,0,,:  [],NA,no_unit_count
commercial_14202240190000,1118 W PATTERSON,1,1,1,18,100890019: 18 [***DIRECT DEVELOPER SERVICES*** CBC 2019; ERECT FOUR (4) STORY 18 DU RESIDENTIAL BUILDING WITH STAIR AND ELEVATOR LOBBY PENTHOUSE AT ROOF LEVEL; ROOF DECK WITH VERTICAL],18,single_unit_count
commercial_14202300160000,808 W ADDISON,1,0,0,,:  [],NA,no_unit_count
commercial_14202300160000,850 W ADDISON,1,0,0,,:  [],NA,no_unit_count
