selected_address,address_query,response_json
1300 N WOOD ST,"1300 N WOOD ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1300 N WOOD ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""604589976""},""coordinates"":{""x"":-87.672462653931,""y"":41.905600809578},""addressComponents"":{""zip"":""60622"",""streetName"":""WOOD"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1300"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""1302"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1300 N WOOD ST, CHICAGO, IL, 60622""}]}}"
1332 S KILDARE AVE,"1332 S KILDARE AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1332 S KILDARE AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""605040832""},""coordinates"":{""x"":-87.732501262796,""y"":41.863232309522},""addressComponents"":{""zip"":""60623"",""streetName"":""KILDARE"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""S"",""suffixDirection"":"""",""fromAddress"":""1300"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1342"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1332 S KILDARE AVE, CHICAGO, IL, 60623""}]}}"
1349 W BELMONT AVE,"1349 W BELMONT AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1349 W BELMONT AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""605239334""},""coordinates"":{""x"":-87.662240001595,""y"":41.939731924964},""addressComponents"":{""zip"":""60657"",""streetName"":""BELMONT"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""W"",""suffixDirection"":"""",""fromAddress"":""1305"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1399"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1349 W BELMONT AVE, CHICAGO, IL, 60657""}]}}"
14 W SUPERIOR ST,"14 W SUPERIOR ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""14 W SUPERIOR ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""605049926""},""coordinates"":{""x"":-87.628668912179,""y"":41.895731043431},""addressComponents"":{""zip"":""60654"",""streetName"":""SUPERIOR"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""W"",""suffixDirection"":"""",""fromAddress"":""2"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""26"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""14 W SUPERIOR ST, CHICAGO, IL, 60654""}]}}"
1430 W FILLMORE ST,"1430 W FILLMORE ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1430 W FILLMORE ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""111845842""},""coordinates"":{""x"":-87.662661324753,""y"":41.868589445541},""addressComponents"":{""zip"":""60607"",""streetName"":""FILLMORE"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""W"",""suffixDirection"":"""",""fromAddress"":""1418"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""1498"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1430 W FILLMORE ST, CHICAGO, IL, 60607""}]}}"
1445 E 65TH PL,"1445 E 65TH PL, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1445 E 65TH PL, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""111774519""},""coordinates"":{""x"":-87.590013908322,""y"":41.77598942658},""addressComponents"":{""zip"":""60637"",""streetName"":""65TH"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""E"",""suffixDirection"":"""",""fromAddress"":""1401"",""state"":""IL"",""suffixType"":""PL"",""toAddress"":""1499"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1445 E 65TH PL, CHICAGO, IL, 60637""}]}}"
1447 E 65TH PL,"1447 E 65TH PL, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1447 E 65TH PL, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""111774519""},""coordinates"":{""x"":-87.589974067183,""y"":41.775989993711},""addressComponents"":{""zip"":""60637"",""streetName"":""65TH"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""E"",""suffixDirection"":"""",""fromAddress"":""1401"",""state"":""IL"",""suffixType"":""PL"",""toAddress"":""1499"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1447 E 65TH PL, CHICAGO, IL, 60637""}]}}"
1449 E 65TH PL,"1449 E 65TH PL, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1449 E 65TH PL, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""111774519""},""coordinates"":{""x"":-87.589934226044,""y"":41.775990560843},""addressComponents"":{""zip"":""60637"",""streetName"":""65TH"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""E"",""suffixDirection"":"""",""fromAddress"":""1401"",""state"":""IL"",""suffixType"":""PL"",""toAddress"":""1499"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1449 E 65TH PL, CHICAGO, IL, 60637""}]}}"
1455 S HALSTED ST,"1455 S HALSTED ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1455 S HALSTED ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""642123597""},""coordinates"":{""x"":-87.646694201002,""y"":41.862130883268},""addressComponents"":{""zip"":""60607"",""streetName"":""HALSTED"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""S"",""suffixDirection"":"""",""fromAddress"":""1443"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""1499"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1455 S HALSTED ST, CHICAGO, IL, 60607""}]}}"
1460 S EMERALD AVE,"1460 S EMERALD AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1460 S EMERALD AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""618344851""},""coordinates"":{""x"":-87.64568502808,""y"":41.862075512843},""addressComponents"":{""zip"":""60607"",""streetName"":""EMERALD"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""S"",""suffixDirection"":"""",""fromAddress"":""1444"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1498"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1460 S EMERALD AVE, CHICAGO, IL, 60607""}]}}"
