target_year,reference_x_3435,reference_y_3435
2014,1155703.198661214,1922846.4905570704
2014,1155708.994831412,1922897.649803281
2014,1155709.010087289,1922917.599730572
2014,1155713.0955840198,1922873.2946500413
2014,1155914.8175241426,1911475.830471256
2014,1155915.5907462088,1911451.0222159124
2014,1156467.0351495876,1910980.445833064
2014,1156467.8180725407,1910955.3009982775
2014,1156470.2578245755,1910875.7304759533
2014,1156470.96332838,1910853.254345281
2014,1156676.5220694316,1905420.56518023
2014,1156679.745827058,1905452.2521079453
2014,1156863.2298917044,1931525.4799885305
2014,1157152.6657841618,1905262.399393259
2014,1157157.910515173,1905385.6040138367
2014,1157158.5316441343,1905361.5376575645
2014,1157159.1675222996,1905337.546059933
2014,1157159.803773621,1905313.5545581544
2014,1157160.3042850688,1905289.547802787
2014,1158140.7365096179,1915405.655807883
2014,1158165.7561271265,1915406.1621071585
2014,1158215.739653943,1915407.1247804612
2014,1158456.2878426176,1933670.69915994
2014,1158833.045845874,1923919.178335268
2014,1158882.2263601853,1923919.9591062877
2014,1158918.4859639294,1923920.048681112
2014,1158923.7604980054,1932714.7921727935
2014,1158961.5551150637,1932676.6482914991
2014,1159036.9748341104,1916599.2703262032
2014,1159037.7776956975,1916574.3341516824
2014,1159173.6751613896,1933889.3910993212
2014,1159340.4105980543,1900501.3904617548
2014,1159472.8145932269,1923933.447392834
2014,1159498.0652596666,1923933.9026138273
2014,1159546.4610922306,1923934.5158398128
2014,1159619.8362607767,1878454.321095252
2014,1159819.663118841,1904023.4292267957
2014,1159842.4077176552,1904023.9301743591
2014,1159987.3898236912,1881325.1341855072
2014,1159989.3306602233,1881255.839664123
2014,1159990.7075606214,1881209.1669074465
2014,1159993.1969396234,1881139.5451223168
2014,1159994.0464360774,1881093.7450368984
2014,1159995.9150870326,1881025.2471811716
2014,1160011.3323751818,1881325.901541847
2014,1160013.2676538364,1881256.628953404
2014,1160014.6094006393,1881209.9583245823
2014,1160017.126640281,1881140.3422239304
2014,1160017.9334389355,1881094.5333373237
2014,1160019.8619389045,1881026.040337367
2014,1160034.9856336662,1881326.647471664
2014,1160036.9197385372,1881257.4118896967
2014,1160038.2615305225,1881210.741512674
2014,1160040.7831677934,1881141.1227028416
2014,1160041.5806249997,1881095.3138750012
2014,1160043.5284768145,1881026.823856324
2014,1160058.6387822477,1881327.393448999
2014,1160060.5667530412,1881258.1947458405
2014,1160061.908602552,1881211.5243809724
2014,1160064.4401047823,1881141.906100512
2014,1160065.2278721277,1881096.094450357
2014,1160067.2058110957,1881027.6077875928
2014,1160067.7397302962,1903711.8399910345
2014,1160082.2919567528,1881328.139430222
2014,1160084.203764705,1881258.9771752805
2014,1160085.5556471376,1881212.3074050203
2014,1160088.097049542,1881142.6893007564
2014,1160088.8845434678,1881096.8774922744
2014,1160090.882711871,1881028.389090187
2014,1160105.9408269497,1881328.884667185
2014,1160107.8408565372,1881259.75965403
2014,1160109.2125578823,1881213.0907002063
2014,1160111.75425012,1881143.4666199968
2014,1160112.5518081938,1881097.661487915
2014,1160114.4617154768,1881029.167933828
2014,1160129.5901138473,1881329.6258097524
2014,1160131.4829534895,1881260.5422475324
2014,1160132.8745991196,1881213.874247115
2014,1160135.4061800635,1881144.252817596
2014,1160136.09866328,1881098.4396601703
2014,1160138.1334246532,1881029.9515899797
2014,1160153.2434563914,1881330.3676900915
2014,1160155.1609940724,1881261.328500441
2014,1160156.5317040363,1881214.6575460732
2014,1160159.0631263086,1881145.0360204496
2014,1160159.7706887233,1881099.2212123668
2014,1160161.7808635137,1881030.735686276
2014,1160177.78261016,1881331.1841788583
2014,1160179.5306646023,1881262.159624587
2014,1160180.433639273,1881215.4489314512
2014,1160182.8865512123,1881145.8854682911
2014,1160183.7073145674,1881100.0170855273
2014,1160185.6676628436,1881031.526159477
2014,1160194.769862726,1911144.0650725896
2014,1160432.4731821816,1895743.2448960177
2014,1160472.0173575033,1880643.899501352
2014,1160499.3721254684,1880644.81633022
2014,1160526.726969901,1880645.7331346313
2014,1160554.0548549942,1880646.6834076624
2014,1160604.0284242756,1882665.0814835343
2014,1160615.2982820391,1882638.8995713056
2014,1160647.5379074705,1882544.040842884
2014,1160682.9964947568,1880650.9512766476
2014,1160701.659872808,1880542.487732018
2014,1160702.4320403668,1880516.7427911712
2014,1160703.2043582888,1880490.997915142
2014,1160704.7490519483,1880439.5080266723
2014,1160706.2936684508,1880388.0181326552
2014,1160713.898012994,1880652.0258344288
2014,1160721.7089007366,1919785.352240011
2014,1160744.799600219,1880653.1002938077
2014,1160775.6848052675,1918901.885395065
2014,1160872.3820166362,1918879.89253098
2014,1160953.380747327,1911867.0192402075
2014,1160986.4984065194,1911844.63258728
2014,1161002.4273811874,1911830.9399994968
2014,1161017.881986122,1911816.2099214157
2014,1161036.3477712895,1911800.360246311
2014,1161039.509432828,1935737.0580154883
2014,1161053.2684270593,1911787.2974457792
2014,1161069.2760928662,1911773.684906449
2014,1161069.4694567453,1935737.8773453536
2014,1161085.222378867,1911760.0347601403
2014,1161108.7489976117,1911739.7594510303
2014,1161124.66111864,1911726.075961093
2014,1161140.5757162138,1911712.3839674485
2014,1161174.960018091,1911681.3576478504
2014,1161191.929294397,1911668.3354168008
2014,1161207.974414965,1911654.7028353496
2014,1161223.9693986827,1911641.0367864843
2014,1161247.4636861703,1911620.75143978
2014,1161263.4342783224,1911607.0485287996
2014,1161279.3360425304,1911593.381409499
2014,1161294.569747311,1911578.6627726953
2014,1161329.6491977156,1911550.1953144297
2014,1161345.5467824864,1911536.5441326592
2014,1161370.388299594,1911509.3172736
2014,1161535.5197707782,1904068.0847559336
2014,1161583.499350108,1904069.4895173768
2014,1161647.6570501493,1923831.0501724232
2014,1161648.5527847789,1923798.5606770169
2014,1161649.3646495133,1923769.071858548
2014,1161650.1884715294,1923739.0817940936
2014,1161683.2920819996,1932943.545228718
2014,1162930.447274943,1935790.5692519487
2014,1162956.1908721724,1882061.8403871944
2014,1162957.0972971206,1935791.330052614
2014,1162968.2280467066,1882004.707118414
2014,1162968.5831702384,1881982.7390728733
2014,1162969.6606296478,1881960.7563655723
2014,1162983.4734558417,1882062.170752496
2014,1162998.8711655596,1934355.945470638
2014,1162999.5971551293,1934330.955550459
2014,1163006.2988276528,1882062.4325874073
2014,1163029.1694623302,1882062.679068549
2014,1163052.0522731948,1882062.9259945275
2014,1163075.1035935718,1882063.189415842
2014,1163685.860320362,1908782.7894340048
2014,1163687.05184127,1908728.901735701
2014,1163808.5757591105,1938052.000132459
2014,1163841.632125072,1938053.0657183784
2014,1163901.7010097585,1938054.9717754629
2014,1163931.8064312886,1938055.9359654076
2014,1163961.0416967114,1912444.998119404
2014,1163961.8746154725,1938056.896133267
2014,1163991.922471625,1938057.8436853336
2014,1164021.9748142574,1938058.8090015876
2014,1164052.012121682,1938059.769153795
2014,1164062.0446892057,1931408.416703076
2014,1164082.0816244618,1938060.719991782
2014,1164112.1546115866,1938061.6861907165
2014,1164244.0956973117,1922698.2975823777
2014,1164267.2023102783,1921057.641858389
2014,1164291.529914028,1921058.1229473476
2014,1164380.3385271975,1926945.6547979969
2014,1164766.563791693,1924371.3221933232
2014,1165321.789986319,1900329.779892168
2014,1165415.5339299066,1879281.9937494972
2014,1165416.2020113226,1879255.5021333976
2014,1165416.8701363213,1879229.0105084807
2014,1165417.5382355305,1879202.5188879303
2014,1165419.5425467489,1879123.044594366
2014,1165420.8785875104,1879070.0614275204
2014,1165421.5463638809,1879043.56984527
2014,1165422.882240496,1878990.58667842
2014,1165423.550576938,1878964.0951096064
2014,1165897.5266852556,1924243.2564487257
2014,1166742.35076145,1885541.962632522
2014,1166763.7234436364,1885555.0199375316
2014,1166784.260176669,1885569.35481176
2014,1166805.634123283,1885582.407301759
2014,1166826.151189743,1885596.753275192
2014,1166842.3877544475,1885618.5259883157
2014,1166863.778854717,1885633.153452292
2014,1166885.768502555,1885646.8658354944
2014,1166907.158559785,1885661.4974749256
2014,1166927.514824237,1885674.4687666844
2014,1167065.107808329,1918501.177035381
2014,1167067.2183383466,1918445.197222901
2014,1168687.4500096198,1920190.4299880716
2014,1169041.150014063,1914538.8508859384
2014,1169043.673696194,1914460.262981175
2014,1169070.9588089844,1916533.004521248
2014,1169092.7298019358,1916534.933139814
2014,1169114.377180678,1916535.598889053
2014,1169136.1754040753,1916536.3634349017
2014,1169162.3165578726,1916548.6056854047
2014,1169242.4851059152,1912426.2446459944
2014,1169288.8938880328,1912441.3045831765
2014,1169415.712429431,1887317.5968248933
2014,1169661.430664495,1917232.040652576
2014,1169697.0948079117,1925072.4919102783
2014,1169698.8971442138,1917233.19103009
2014,1170200.7599999998,1913725.25
2014,1170933.0412995808,1911804.545839975
2014,1172012.035298271,1901398.794923052
2014,1172087.4619826712,1901442.566819415
2014,1172157.7589102257,1891747.7543879747
2014,1172158.5425337013,1891722.8177595937
2014,1172517.9919915823,1892198.7343995452
2014,1172733.775118702,1907418.0189555327
2014,1172737.5090084032,1907314.4938282764
2014,1172756.998253195,1907418.5841960353
2014,1172760.7636750145,1907315.6047016173
2014,1172774.9610371594,1907420.229888174
2014,1172778.6874438813,1907318.1215392184
2014,1172792.9933569531,1907420.5875928565
2014,1172796.6943541348,1907318.617189951
2014,1172799.6337794613,1907227.7865592968
2014,1172810.9982145843,1907420.3754337549
2014,1172814.6931515315,1907319.1615467444
2014,1172817.5698627096,1907230.301147633
2014,1172831.5633898089,1907423.6627861897
2014,1172835.2968162245,1907315.6923422797
2014,1172837.7157613658,1907233.2965463104
2014,1172854.992489349,1907419.7037301864
2014,1172858.0733226142,1907320.3694425696
2014,1172860.713534812,1907227.8665108955
2014,1172875.4330050997,1907422.1005863112
2014,1172878.3601247347,1907318.970672552
2014,1172880.881491255,1907230.1140677445
2014,1172893.4264270314,1907422.6151925365
2014,1172896.203521086,1907320.744653993
2014,1172898.8742305862,1907230.6295654257
2014,1172900.9024591304,1907139.1180792255
2014,1172910.984752234,1907423.880419541
2014,1172914.3530762522,1907321.7879975953
2014,1172916.962847693,1907232.0915298832
2014,1172928.9618692044,1907424.8517500863
2014,1172932.36401909,1907321.7471429296
2014,1172934.8031727576,1907233.6595911656
2014,1172947.00388252,1907423.9238493096
2014,1172950.3720628128,1907321.808540144
2014,1172953.446731333,1907233.247459192
2014,1172966.9090512886,1907426.9048765588
2014,1172970.7915490705,1907318.6802567944
2014,1172974.0676216038,1907237.8728450292
2014,1172978.2824655958,1907140.843398442
2014,1173331.8082918162,1879201.7733317327
2014,1173332.2711620063,1879182.1925246727
2014,1173333.252571067,1879140.619189032
2014,1173334.219315122,1879099.6658803225
2014,1173469.602933173,1903400.5037182071
2014,1174598.2172403594,1908896.9154695456
2014,1174603.2904625428,1908797.163141109
2014,1174604.4464839762,1908663.6640828191
2014,1174607.112378885,1908580.4062899025
2014,1178153.5568705609,1892143.623982577
2014,1178153.751379941,1892090.1082774904
2014,1178154.1941626177,1892062.6839996008
2014,1178157.1452781914,1891985.570190963
2014,1178158.3257722864,1891923.3371214832
2014,1178173.9299785397,1892151.687362283
2014,1178174.387319476,1892086.0829146649
2014,1178174.9647364838,1892060.298460637
2014,1178177.461716669,1891995.799524675
2014,1178179.1321847376,1891914.2835499807
2014,1178192.8593030404,1892151.973513534
2014,1178193.263857165,1892086.8812716592
2014,1178193.957437022,1892060.8132914535
2014,1178196.3938337143,1891996.2505694053
2014,1178198.06312169,1891915.0868537824
2014,1178210.852967827,1892152.450794622
2014,1178211.2578600163,1892087.3739211513
2014,1178211.9518646856,1892061.3048672075
2014,1178214.378745091,1891996.6323397253
2014,1178216.0567017468,1891915.5639650016
2014,1178230.4266696493,1892153.140018244
2014,1178230.8472662102,1892087.7393846093
2014,1178231.5282142132,1892061.8353616907
2014,1178233.965539721,1891997.0670037377
2014,1178235.639341053,1891915.9132226089
2014,1178292.5211344892,1892166.3351628615
2014,1178293.3055600247,1892143.6789085648
2014,1178293.5633859597,1892121.7408168935
2014,1178294.521837438,1892089.0553062377
2014,1178295.0072480305,1892065.9143270992
2014,1178295.544476699,1892045.4243798095
2014,1178296.110769686,1892023.6820373293
2014,1178296.6707024227,1892001.93892192
2014,1178297.241811083,1891979.6107129853
2014,1178298.0504828512,1891931.4386665723
2014,1178298.6160828553,1891909.112141265
2014,1178299.1814579193,1891887.369180939
2014,1178299.7422287914,1891865.62667161
2014,1178300.305299653,1891843.883948416
2014,1178301.0076722417,1891821.9924724377
2014,1178301.7908488696,1891786.5778605829
2014,1178302.2194219064,1891764.677074252
2014,1178302.799880837,1891742.3496617
2014,1178635.7509355713,1891244.925756493
2014,1178636.190064623,1891226.3909942089
2014,1178636.604499997,1891208.8957499992
2014,1178637.0293818028,1891190.9409232852
2014,1178728.3266737752,1891240.4423530104
2014,1178736.2413017862,1891218.8692862352
2014,1178738.5387762694,1891198.043290642
2014,1179251.783720133,1882418.2475598631
2014,1179252.2673964133,1882397.3530858024
2014,1179252.3262219953,1882373.839849376
2014,1179499.692774046,1873115.740548496
2014,1179499.8282489737,1873090.2954089392
2014,1180282.1951532438,1877837.7745544105
2014,1180307.3457700824,1877838.463083512
2014,1180838.5964120117,1874408.17320184
2014,1180866.0863669673,1874408.9774572288
2014,1181116.906692187,1873266.3006503116
2014,1181144.2019989528,1873268.628654696
2014,1181167.6949387805,1873205.3202968463
2014,1181168.211807385,1873269.331329176
2014,1181192.451410329,1873270.0407253655
2014,1181314.444693052,1873159.6051496617
2014,1181315.0462954275,1873134.6250420953
2014,1181315.665253972,1873109.6496570352
2014,1181514.4651960754,1872892.6195648129
2014,1184259.2290799976,1863949.7607781447
2014,1184334.3013900432,1863951.6508797535
2014,1185244.0911425063,1861903.663957327
2014,1185244.7365609035,1861878.573966277
2014,1186428.556731145,1861400.4096286823
2015,1131713.1583340534,1868729.175394163
2015,1144929.166412688,1923766.7715700527
