attom_id,address
3034895,"3827 W 59TH ST, CHICAGO, IL, 60629-4501"
175227062,"2937 S SHIELDS AVE, CHICAGO, IL, 60616-2627"
43610777,"2615 S KARLOV AVE, CHICAGO, IL, 60623-4434"
9746012,"2620 N MELVINA AVE, CHICAGO, IL, 60639-1012"
175052708,"3032 N SAYRE AVE, CHICAGO, IL, 60634-4745"
51623371,"5142 N LONG AVE, CHICAGO, IL, 60630-2232"
24974474,"3322 N OZARK AVE, CHICAGO, IL, 60634-3014"
149659588,"2424 W GRACE ST, CHICAGO, IL, 60618-4719"
53106034,"3836 W HAYFORD ST, CHICAGO, IL, 60652-1322"
21880724,"7945 S KOLMAR AVE, CHICAGO, IL, 60652-2031"
42012621,"5743 S KOLMAR AVE, CHICAGO, IL, 60629-5309"
24648443,"3755 N FRANCISCO AVE, CHICAGO, IL, 60618-3501"
45685437,"5118 S ROCKWELL ST, CHICAGO, IL, 60632-1545"
175087041,"2320 N DAMEN AVE, CHICAGO, IL, 60647-3367"
25138055,"8244 S ASHLAND AVE, CHICAGO, IL, 60620-4660"
23840312,"9806 S INDIANA AVE, CHICAGO, IL, 60628-1444"
176212897,"11416 S SAWYER AVE, CHICAGO, IL, 60655-2808"
176287448,"2914 W 36TH PL, CHICAGO, IL, 60632-1707"
5025498,"1642 N LARRABEE ST, CHICAGO, IL, 60614-5620"
26248355,"9327 S KIMBARK AVE, CHICAGO, IL, 60619-8035"
53026250,"10901 S AVENUE G, CHICAGO, IL, 60617-6745"
53541549,"8610 S HONORE ST, CHICAGO, IL, 60620-4726"
175298410,"7741 S CORNELL AVE, CHICAGO, IL, 60649-4509"
207133722,"5438 S HALSTED ST, CHICAGO, IL, 60609"
49743923,"6826 S KEELER AVE, CHICAGO, IL, 60629-5715"
11921587,"1709 W JUNEWAY TER, CHICAGO, IL, 60626-1013"
17337641,"7324 S MARYLAND AVE, CHICAGO, IL, 60619-1920"
174842762,"205 N MICHIGAN AVE, CHICAGO, IL, 60601-5927"
175374283,"9701 S PROSPECT AVE, CHICAGO, IL, 60643-1223"
7645355,"2820 S TRUMBULL AVE, CHICAGO, IL, 60623-4652"
143935704,"5705 S ASHLAND AVE, CHICAGO, IL, 60636"
38935933,"2666 W 39TH PL, CHICAGO, IL, 60632-1175"
175006926,"4611 N MARIA CT, CHICAGO, IL, 60656-4163"
24888898,"1357 E 55TH PL, CHICAGO, IL, 60637-1709"
15381004,"4428 W HUTCHINSON ST, CHICAGO, IL, 60641-1996"
20573719,"748 S KENNETH AVE, CHICAGO, IL, 60624-3442"
52474938,"1625 W 71ST ST, CHICAGO, IL, 60636-3849"
4688107,"3410 N NOTTINGHAM AVE, CHICAGO, IL, 60634-3638"
21954318,"1321 S PLYMOUTH CT, CHICAGO, IL, 60605-2632"
174984782,"7318 N ASHLAND BLVD, CHICAGO, IL, 60626-1911"
175369905,"10806 S WASHTENAW AVE, CHICAGO, IL, 60655-1731"
175359944,"2600 W 104TH ST, CHICAGO, IL, 60655-1605"
204297170,"5010 S KNOX AVE, CHICAGO, IL, 60632-4943"
19595516,"7730 S TROY ST, CHICAGO, IL, 60652-1923"
52349589,"3210 S HAMLIN AVE, CHICAGO, IL, 60623-4909"
174871106,"6006 S EBERHART AVE, CHICAGO, IL, 60637-2411"
31424424,"1745 W GEORGE ST, CHICAGO, IL, 60657-4086"
140582539,"4002 S BRIGHTON PL, CHICAGO, IL, 60632-1118"
10581028,"3700 W 115TH ST, CHICAGO, IL, 60655-3608"
10067507,"1741 N AUSTIN AVE, CHICAGO, IL, 60639-4003"
175375545,"10343 S EBERHART AVE, CHICAGO, IL, 60628-2931"
38817053,"7705 W HORTENSE AVE, CHICAGO, IL, 60631-1811"
147272581,"6045 N CLAREMONT AVE, CHICAGO, IL, 60659-5201"
175370890,"11150 S MAPLEWOOD AVE, CHICAGO, IL, 60655-1324"
24102537,"171 N CLARK ST, CHICAGO, IL, 60601-3368"
38989799,"2821 W GREENLEAF AVE, CHICAGO, IL, 60645-2913"
17247472,"508 S CICERO AVE, CHICAGO, IL, 60644-4931"
175041061,"3851 N LARAMIE AVE, CHICAGO, IL, 60641-2687"
21405590,"814 S KARLOV AVE, CHICAGO, IL, 60624-3521"
143936112,"5048 W SCHOOL ST, CHICAGO, IL, 60641-4251"
4174768,"3940 W ARMITAGE AVE, CHICAGO, IL, 60647-3406"
176254947,"1034 W 109TH PL, CHICAGO, IL, 60643-3738"
175314785,"8336 S HOYNE AVE, CHICAGO, IL, 60620-6028"
23273023,"7410 S EBERHART AVE, CHICAGO, IL, 60619-1812"
175843536,"4912 S BLACKSTONE AVE, CHICAGO, IL, 60615-3004"
38914439,"18 S ABERDEEN, CHICAGO, IL, 60659"
53225195,"4343 S TALMAN AVE, CHICAGO, IL, 60632-1226"
174979969,"3722 N OKETO AVE, CHICAGO, IL, 60634-3409"
43580666,"3329 N OSCEOLA AVE, CHICAGO, IL, 60634-3343"
204241987,"3727 W EASTWOOD AVE, CHICAGO, IL, 60625-5701"
23036911,"4827 S ADA ST, CHICAGO, IL, 60609-4248"
175084164,"5450 N DAMEN AVE, CHICAGO, IL, 60625-1124"
176283604,"4726 N TROY ST, CHICAGO, IL, 60625-4423"
3830673,"1451 W 114TH PL, CHICAGO, IL, 60643-4358"
24629364,"2233 W SCHOOL ST, CHICAGO, IL, 60618-6321"
23866692,"10410 S WENTWORTH AVE, CHICAGO, IL, 60628-2526"
